    1-2021 NaN%
    2-2021 -0.76%
    3-2021 -0.2%
    4-2021 -0.17%
    5-2021 2.11%
    6-2021 0.19%
    7-2021 1.11%
2021 3.3%
    1-2020 NaN%
    2-2020 1.31%
    3-2020 -1.39%
    4-2020 -4.81%
    5-2020 5.03%
    6-2020 1.86%
    7-2020 0.91%
    8-2020 2.66%
    9-2020 1.32%
    10-2020 -1.24%
    11-2020 -1.19%
    12-2020 4.33%
2020 9.28%
    1-2019 NaN%
    2-2019 3.12%
    3-2019 0.85%
    4-2019 1.47%
    5-2019 1.06%
    6-2019 -0.81%
    7-2019 2.63%
    8-2019 0.43%
    9-2019 1.19%
    10-2019 -0.19%
    11-2019 0.63%
    12-2019 0.95%
2019 12.52%
    1-2018 NaN%
    2-2018 0.68%
    3-2018 -1.97%
    4-2018 -0.45%
    5-2018 -0.62%
    6-2018 1.12%
    7-2018 -0.06%
    8-2018 0.87%
    9-2018 1.24%
    10-2018 -0.63%
    11-2018 -2.9%
    12-2018 0.83%
2018 -4.04%
    1-2017 NaN%
    2-2017 0.64%
    3-2017 1.44%
    4-2017 -0.31%
    5-2017 0.71%
    6-2017 0.63%
    7-2017 0.01%
    8-2017 0.69%
    9-2017 0.5%
    10-2017 0.09%
    11-2017 0.59%
    12-2017 0.65%
2017 6.35%
    1-2016 NaN%
    2-2016 -0.84%
    3-2016 0.31%
    4-2016 2.48%
    5-2016 0.32%
    6-2016 0.4%
    7-2016 1.16%
    8-2016 1.5%
    9-2016 -0.17%
    10-2016 -0.29%
    11-2016 -1.36%
    12-2016 -0.64%
2016 3.19%
    1-2015 NaN%
    2-2015 0.65%
    3-2015 0.85%
    4-2015 -0.31%
    5-2015 -0.26%
    6-2015 -0.03%
    7-2015 -1.48%
    8-2015 0.89%
    9-2015 -2.19%
    10-2015 -0.64%
    11-2015 2.23%
    12-2015 -0.16%
2015 -1.95%
    1-2014 NaN%
    2-2014 -0%
    3-2014 1.62%
    4-2014 -0.24%
    5-2014 0.41%
    6-2014 1.24%
    7-2014 0.58%
    8-2014 -0.92%
    9-2014 1.9%
    10-2014 -1.41%
    11-2014 1.34%
    12-2014 1.05%
2014 5.21%
    1-2013 NaN%
    2-2013 1.02%
    3-2013 0.64%
    4-2013 0.84%
    5-2013 1.02%
    6-2013 -0.62%
    7-2013 -1.8%
    8-2013 1.64%
    9-2013 -1.43%
    10-2013 1.48%
    11-2013 1.67%
    12-2013 0.47%
2013 5.94%
    1-2012 NaN%
    2-2012 1.97%
    3-2012 1.09%
    4-2012 0.15%
    5-2012 0.45%
    6-2012 -1.36%
    7-2012 0.9%
    8-2012 1.13%
    9-2012 0.63%
    10-2012 0.56%
    11-2012 -0.59%
    12-2012 0.22%
2012 4.74%
    1-2011 NaN%
    2-2011 0.52%
    3-2011 1.02%
    4-2011 -0.19%
    5-2011 1.63%
    6-2011 0.37%
    7-2011 -1.12%
    8-2011 0.25%
    9-2011 -0.97%
    10-2011 -2.02%
    11-2011 3.4%
    12-2011 -0.47%
2011 2.38%
