    1-2021 NaN%
    2-2021 -0.88%
    3-2021 -1.17%
    4-2021 -1.12%
    5-2021 1.24%
    6-2021 0.12%
    7-2021 0.78%
2021 -0.22%
    1-2020 NaN%
    2-2020 1.7%
    3-2020 0.54%
    4-2020 -2.13%
    5-2020 2.68%
    6-2020 0.85%
    7-2020 0.65%
    8-2020 1.81%
    9-2020 -0.35%
    10-2020 -0.47%
    11-2020 -0.91%
    12-2020 2.08%
2020 6.53%
    1-2019 NaN%
    2-2019 1.55%
    3-2019 0.1%
    4-2019 1.63%
    5-2019 0.23%
    6-2019 0.79%
    7-2019 1.49%
    8-2019 0.14%
    9-2019 2.1%
    10-2019 -0.6%
    11-2019 0.21%
    12-2019 0.14%
2019 8%
    1-2018 NaN%
    2-2018 -0.64%
    3-2018 -1.47%
    4-2018 0.11%
    5-2018 -0.9%
    6-2018 0.63%
    7-2018 -0.15%
    8-2018 0.16%
    9-2018 0.6%
    10-2018 -0.72%
    11-2018 -1.61%
    12-2018 0.47%
2018 -3.21%
    1-2017 NaN%
    2-2017 0.28%
    3-2017 0.79%
    4-2017 -0.29%
    5-2017 0.61%
    6-2017 0.52%
    7-2017 -0.12%
    8-2017 0.35%
    9-2017 0.6%
    10-2017 -0.46%
    11-2017 0.13%
    12-2017 -0.03%
2017 2.74%
    1-2016 NaN%
    2-2016 0.53%
    3-2016 0.41%
    4-2016 1.32%
    5-2016 0.23%
    6-2016 0.01%
    7-2016 1.55%
    8-2016 0.8%
    9-2016 -0.3%
    10-2016 -0.28%
    11-2016 -1.12%
    12-2016 -2.1%
2016 1.13%
    1-2015 NaN%
    2-2015 1.63%
    3-2015 -0.56%
    4-2015 0.02%
    5-2015 -0.45%
    6-2015 -0.44%
    7-2015 -1.29%
    8-2015 0.67%
    9-2015 -1.1%
    10-2015 0.16%
    11-2015 0.62%
    12-2015 -0.36%
2015 -2.06%
    1-2014 NaN%
    2-2014 0.88%
    3-2014 0.73%
    4-2014 -0.33%
    5-2014 0.51%
    6-2014 0.97%
    7-2014 0.13%
    8-2014 -0.61%
    9-2014 1.25%
    10-2014 -1.08%
    11-2014 0.94%
    12-2014 0.66%
2014 3.69%
    1-2013 NaN%
    2-2013 -0.26%
    3-2013 0.46%
    4-2013 0.1%
    5-2013 0.82%
    6-2013 -1.47%
    7-2013 -1.83%
    8-2013 0.55%
    9-2013 -1.04%
    10-2013 1%
    11-2013 0.93%
    12-2013 -0.22%
2013 -1.2%
    1-2012 NaN%
    2-2012 1.08%
    3-2012 0.18%
    4-2012 -0.55%
    5-2012 0.76%
    6-2012 0.03%
    7-2012 0.18%
    8-2012 1.16%
    9-2012 0.09%
    10-2012 0.13%
    11-2012 -0.26%
    12-2012 0.07%
2012 2.13%
    1-2011 NaN%
    2-2011 0.05%
    3-2011 0.28%
    4-2011 -0.25%
    5-2011 1.24%
    6-2011 0.81%
    7-2011 -0.81%
    8-2011 0.96%
    9-2011 0.48%
    10-2011 -0.25%
    11-2011 1.07%
    12-2011 -0.52%
2011 3.31%
