    1-2021 NaN%
    2-2021 -0.45%
    3-2021 2.22%
    4-2021 2.19%
    5-2021 4.27%
    6-2021 0.37%
    7-2021 1.91%
2021 12.09%
    1-2020 NaN%
    2-2020 0.32%
    3-2020 -6.23%
    4-2020 -11.51%
    5-2020 10.91%
    6-2020 4.37%
    7-2020 1.57%
    8-2020 4.8%
    9-2020 5.5%
    10-2020 -3.18%
    11-2020 -1.87%
    12-2020 9.95%
2020 16.14%
    1-2019 NaN%
    2-2019 7.03%
    3-2019 2.75%
    4-2019 1.06%
    5-2019 3.14%
    6-2019 -4.83%
    7-2019 5.46%
    8-2019 1.15%
    9-2019 -1.1%
    10-2019 0.83%
    11-2019 1.69%
    12-2019 2.97%
2019 23.83%
    1-2018 NaN%
    2-2018 4%
    3-2018 -3.22%
    4-2018 -1.83%
    5-2018 0.09%
    6-2018 2.33%
    7-2018 0.16%
    8-2018 2.64%
    9-2018 2.82%
    10-2018 -0.41%
    11-2018 -6.11%
    12-2018 1.72%
2018 -6.11%
    1-2017 NaN%
    2-2017 1.56%
    3-2017 3.06%
    4-2017 -0.35%
    5-2017 0.95%
    6-2017 0.91%
    7-2017 0.33%
    8-2017 1.53%
    9-2017 0.26%
    10-2017 1.47%
    11-2017 1.72%
    12-2017 2.36%
2017 15.37%
    1-2016 NaN%
    2-2016 -4.28%
    3-2016 0.06%
    4-2016 5.38%
    5-2016 0.55%
    6-2016 1.38%
    7-2016 0.2%
    8-2016 3.25%
    9-2016 0.15%
    10-2016 -0.32%
    11-2016 -1.97%
    12-2016 3%
2016 8.35%
    1-2015 NaN%
    2-2015 -1.79%
    3-2015 4.36%
    4-2015 -1.14%
    5-2015 0.23%
    6-2015 0.98%
    7-2015 -1.94%
    8-2015 1.43%
    9-2015 -4.91%
    10-2015 -2.64%
    11-2015 6.25%
    12-2015 0.35%
2015 -1.68%
    1-2014 NaN%
    2-2014 -2.22%
    3-2014 3.86%
    4-2014 -0.01%
    5-2014 0.16%
    6-2014 1.9%
    7-2014 1.7%
    8-2014 -1.68%
    9-2014 3.53%
    10-2014 -2.22%
    11-2014 2.34%
    12-2014 2.04%
2014 9%
    1-2013 NaN%
    2-2013 4.22%
    3-2013 1.09%
    4-2013 2.7%
    5-2013 1.51%
    6-2013 1.5%
    7-2013 -1.73%
    8-2013 4.37%
    9-2013 -2.41%
    10-2013 2.69%
    11-2013 3.51%
    12-2013 2.19%
2013 23.82%
    1-2012 NaN%
    2-2012 4.19%
    3-2012 3.35%
    4-2012 1.92%
    5-2012 -0.32%
    6-2012 -4.84%
    7-2012 2.7%
    8-2012 1.06%
    9-2012 1.97%
    10-2012 1.65%
    11-2012 -1.42%
    12-2012 0.59%
2012 11.28%
    1-2011 NaN%
    2-2011 1.71%
    3-2011 2.88%
    4-2011 -0.03%
    5-2011 2.6%
    6-2011 -0.72%
    7-2011 -1.89%
    8-2011 -1.52%
    9-2011 -4.58%
    10-2011 -6.46%
    11-2011 9.22%
    12-2011 -0.34%
2011 0.07%
