    1-2021 NaN%
    2-2021 -0.62%
    3-2021 0.33%
    4-2021 0.16%
    5-2021 2.23%
    6-2021 0.86%
    7-2021 0.56%
2021 4.29%
    1-2020 NaN%
    2-2020 0.28%
    3-2020 -2.52%
    4-2020 -7.29%
    5-2020 5.61%
    6-2020 2.49%
    7-2020 1.54%
    8-2020 2.95%
    9-2020 1.93%
    10-2020 -1.51%
    11-2020 -1.41%
    12-2020 6.19%
2020 9.04%
    1-2019 NaN%
    2-2019 4.08%
    3-2019 1.01%
    4-2019 1.24%
    5-2019 1.41%
    6-2019 -1.81%
    7-2019 3.03%
    8-2019 -0.11%
    9-2019 0.43%
    10-2019 0.32%
    11-2019 1.25%
    12-2019 0.95%
2019 13.53%
    1-2018 NaN%
    2-2018 1.73%
    3-2018 -2.66%
    4-2018 -0.52%
    5-2018 -0.31%
    6-2018 0.42%
    7-2018 -0.76%
    8-2018 1.21%
    9-2018 0.44%
    10-2018 -0.54%
    11-2018 -4.07%
    12-2018 0.91%
2018 -6.89%
    1-2017 NaN%
    2-2017 1.37%
    3-2017 1.43%
    4-2017 0.33%
    5-2017 1.04%
    6-2017 1.16%
    7-2017 -0.12%
    8-2017 1.3%
    9-2017 0.53%
    10-2017 0.33%
    11-2017 0.87%
    12-2017 0.66%
2017 10.17%
    1-2016 NaN%
    2-2016 -1.87%
    3-2016 -0.26%
    4-2016 3.65%
    5-2016 0.75%
    6-2016 0.07%
    7-2016 0.44%
    8-2016 2.13%
    9-2016 0.02%
    10-2016 -0.04%
    11-2016 -1.44%
    12-2016 -1.04%
2016 2.76%
    1-2015 NaN%
    2-2015 0.58%
    3-2015 1.84%
    4-2015 -0.64%
    5-2015 0.94%
    6-2015 -0.25%
    7-2015 -1.97%
    8-2015 0.5%
    9-2015 -3.29%
    10-2015 -1.45%
    11-2015 3.08%
    12-2015 -0.42%
2015 -3.04%
    1-2014 NaN%
    2-2014 -1.04%
    3-2014 2.44%
    4-2014 -0.26%
    5-2014 0.62%
    6-2014 1.38%
    7-2014 0.57%
    8-2014 -1.05%
    9-2014 1.69%
    10-2014 -2.32%
    11-2014 0.97%
    12-2014 0.73%
2014 2.37%
    1-2013 NaN%
    2-2013 1.5%
    3-2013 0.22%
    4-2013 0.76%
    5-2013 1.58%
    6-2013 -1.18%
    7-2013 -2.53%
    8-2013 2.26%
    9-2013 -1.47%
    10-2013 2.64%
    11-2013 2.05%
    12-2013 0.36%
2013 7%
    1-2012 NaN%
    2-2012 3.14%
    3-2012 1.96%
    4-2012 -0.07%
    5-2012 -0.05%
    6-2012 -3.49%
    7-2012 2.01%
    8-2012 0.98%
    9-2012 1.08%
    10-2012 0.85%
    11-2012 -0.31%
    12-2012 0.58%
2012 6.88%
    1-2011 NaN%
    2-2011 0.55%
    3-2011 1.37%
    4-2011 -0.24%
    5-2011 2.42%
    6-2011 -0.34%
    7-2011 -1.19%
    8-2011 -0.13%
    9-2011 -2.59%
    10-2011 -4.26%
    11-2011 4.83%
    12-2011 -1.01%
2011 -1.97%
