    1-2021 NaN%
    2-2021 -0.75%
    3-2021 -0.25%
    4-2021 -0.27%
    5-2021 1.97%
    6-2021 0.36%
    7-2021 0.9%
2021 2.86%
    1-2020 NaN%
    2-2020 1.11%
    3-2020 -1.31%
    4-2020 -4.94%
    5-2020 4.71%
    6-2020 1.82%
    7-2020 1.03%
    8-2020 2.57%
    9-2020 1.15%
    10-2020 -1.16%
    11-2020 -1.19%
    12-2020 4.37%
2020 8.66%
    1-2019 NaN%
    2-2019 3.06%
    3-2019 0.75%
    4-2019 1.44%
    5-2019 0.99%
    6-2019 -0.76%
    7-2019 2.51%
    8-2019 0.23%
    9-2019 1.17%
    10-2019 -0.14%
    11-2019 0.71%
    12-2019 0.79%
2019 11.89%
    1-2018 NaN%
    2-2018 0.7%
    3-2018 -2.06%
    4-2018 -0.36%
    5-2018 -0.59%
    6-2018 0.83%
    7-2018 -0.26%
    8-2018 0.82%
    9-2018 0.9%
    10-2018 -0.62%
    11-2018 -2.95%
    12-2018 0.78%
2018 -4.63%
    1-2017 NaN%
    2-2017 0.76%
    3-2017 1.31%
    4-2017 -0.14%
    5-2017 0.78%
    6-2017 0.75%
    7-2017 -0.05%
    8-2017 0.78%
    9-2017 0.53%
    10-2017 0.04%
    11-2017 0.57%
    12-2017 0.52%
2017 6.65%
    1-2016 NaN%
    2-2016 -0.84%
    3-2016 0.18%
    4-2016 2.56%
    5-2016 0.42%
    6-2016 0.24%
    7-2016 1.05%
    8-2016 1.53%
    9-2016 -0.14%
    10-2016 -0.22%
    11-2016 -1.33%
    12-2016 -1.04%
2016 2.66%
    1-2015 NaN%
    2-2015 0.83%
    3-2015 0.83%
    4-2015 -0.33%
    5-2015 0.02%
    6-2015 -0.17%
    7-2015 -1.57%
    8-2015 0.74%
    9-2015 -2.27%
    10-2015 -0.7%
    11-2015 2.13%
    12-2015 -0.27%
2015 -2.26%
    1-2014 NaN%
    2-2014 -0.1%
    3-2014 1.66%
    4-2014 -0.26%
    5-2014 0.49%
    6-2014 1.22%
    7-2014 0.49%
    8-2014 -0.89%
    9-2014 1.72%
    10-2014 -1.59%
    11-2014 1.16%
    12-2014 0.89%
2014 4.15%
    1-2013 NaN%
    2-2013 0.89%
    3-2013 0.49%
    4-2013 0.67%
    5-2013 1.13%
    6-2013 -0.94%
    7-2013 -2%
    8-2013 1.59%
    9-2013 -1.36%
    10-2013 1.69%
    11-2013 1.62%
    12-2013 0.3%
2013 4.8%
    1-2012 NaN%
    2-2012 2.1%
    3-2012 1.14%
    4-2012 -0.05%
    5-2012 0.38%
    6-2012 -1.65%
    7-2012 1.05%
    8-2012 1.09%
    9-2012 0.64%
    10-2012 0.55%
    11-2012 -0.45%
    12-2012 0.29%
2012 4.79%
    1-2011 NaN%
    2-2011 0.44%
    3-2011 0.97%
    4-2011 -0.22%
    5-2011 1.76%
    6-2011 0.27%
    7-2011 -1.07%
    8-2011 0.29%
    9-2011 -1.11%
    10-2011 -2.27%
    11-2011 3.31%
    12-2011 -0.62%
2011 1.41%
