    1-2021 NaN%
    2-2021 -0.68%
    3-2021 0.21%
    4-2021 0.17%
    5-2021 2.35%
    6-2021 0.44%
    7-2021 0.99%
2021 4.47%
    1-2020 NaN%
    2-2020 0.85%
    3-2020 -2.24%
    4-2020 -6.32%
    5-2020 5.78%
    6-2020 2.32%
    7-2020 1.2%
    8-2020 2.96%
    9-2020 1.93%
    10-2020 -1.52%
    11-2020 -1.33%
    12-2020 5.51%
2020 9.83%
    1-2019 NaN%
    2-2019 3.82%
    3-2019 1.09%
    4-2019 1.35%
    5-2019 1.38%
    6-2019 -1.54%
    7-2019 3.03%
    8-2019 0.31%
    9-2019 0.71%
    10-2019 0.09%
    11-2019 0.95%
    12-2019 1.14%
2019 13.93%
    1-2018 NaN%
    2-2018 1.37%
    3-2018 -2.33%
    4-2018 -0.6%
    5-2018 -0.44%
    6-2018 0.98%
    7-2018 -0.29%
    8-2018 1.16%
    9-2018 1.1%
    10-2018 -0.58%
    11-2018 -3.61%
    12-2018 0.94%
2018 -5.24%
    1-2017 NaN%
    2-2017 0.99%
    3-2017 1.59%
    4-2017 -0.09%
    5-2017 0.85%
    6-2017 0.84%
    7-2017 -0.01%
    8-2017 0.98%
    9-2017 0.49%
    10-2017 0.3%
    11-2017 0.79%
    12-2017 0.81%
2017 8.55%
    1-2016 NaN%
    2-2016 -1.53%
    3-2016 0.09%
    4-2016 3.16%
    5-2016 0.5%
    6-2016 0.38%
    7-2016 0.81%
    8-2016 1.89%
    9-2016 -0.07%
    10-2016 -0.2%
    11-2016 -1.44%
    12-2016 -0.45%
2016 3.52%
    1-2015 NaN%
    2-2015 0.4%
    3-2015 1.53%
    4-2015 -0.51%
    5-2015 0.21%
    6-2015 -0.02%
    7-2015 -1.69%
    8-2015 0.8%
    9-2015 -2.84%
    10-2015 -1.11%
    11-2015 2.91%
    12-2015 -0.2%
2015 -2.31%
    1-2014 NaN%
    2-2014 -0.58%
    3-2014 2.12%
    4-2014 -0.22%
    5-2014 0.46%
    6-2014 1.35%
    7-2014 0.68%
    8-2014 -1.04%
    9-2014 1.98%
    10-2014 -1.81%
    11-2014 1.3%
    12-2014 1.03%
2014 4.55%
    1-2013 NaN%
    2-2013 1.49%
    3-2013 0.53%
    4-2013 0.98%
    5-2013 1.26%
    6-2013 -0.62%
    7-2013 -2.05%
    8-2013 2.11%
    9-2013 -1.54%
    10-2013 2.01%
    11-2013 1.98%
    12-2013 0.59%
2013 7.99%
    1-2012 NaN%
    2-2012 2.59%
    3-2012 1.61%
    4-2012 0.24%
    5-2012 0.2%
    6-2012 -2.44%
    7-2012 1.46%
    8-2012 1.07%
    9-2012 0.91%
    10-2012 0.77%
    11-2012 -0.57%
    12-2012 0.38%
2012 6.11%
    1-2011 NaN%
    2-2011 0.64%
    3-2011 1.32%
    4-2011 -0.19%
    5-2011 2%
    6-2011 0.02%
    7-2011 -1.21%
    8-2011 -0.05%
    9-2011 -1.88%
    10-2011 -3.23%
    11-2011 4.45%
    12-2011 -0.65%
2011 0.62%
