    1-2021 NaN%
    2-2021 -0.67%
    3-2021 0.53%
    4-2021 0.54%
    5-2021 2.75%
    6-2021 0.24%
    7-2021 1.35%
2021 5.94%
    1-2020 NaN%
    2-2020 1.01%
    3-2020 -2.84%
    4-2020 -6.82%
    5-2020 6.79%
    6-2020 2.61%
    7-2020 1.11%
    8-2020 3.3%
    9-2020 2.57%
    10-2020 -1.82%
    11-2020 -1.39%
    12-2020 6.01%
2020 11.34%
    1-2019 NaN%
    2-2019 4.29%
    3-2019 1.42%
    4-2019 1.35%
    5-2019 1.69%
    6-2019 -2.02%
    7-2019 3.48%
    8-2019 0.65%
    9-2019 0.5%
    10-2019 0.12%
    11-2019 0.95%
    12-2019 1.55%
2019 15.91%
    1-2018 NaN%
    2-2018 1.68%
    3-2018 -2.35%
    4-2018 -0.86%
    5-2018 -0.4%
    6-2018 1.48%
    7-2018 0.01%
    8-2018 1.4%
    9-2018 1.71%
    10-2018 -0.56%
    11-2018 -3.86%
    12-2018 1.09%
2018 -4.66%
    1-2017 NaN%
    2-2017 0.92%
    3-2017 1.93%
    4-2017 -0.32%
    5-2017 0.78%
    6-2017 0.72%
    7-2017 0.11%
    8-2017 0.94%
    9-2017 0.43%
    10-2017 0.51%
    11-2017 0.93%
    12-2017 1.16%
2017 9.05%
    1-2016 NaN%
    2-2016 -1.87%
    3-2016 0.24%
    4-2016 3.35%
    5-2016 0.39%
    6-2016 0.7%
    7-2016 0.87%
    8-2016 2.02%
    9-2016 -0.07%
    10-2016 -0.3%
    11-2016 -1.54%
    12-2016 0.45%
2016 4.74%
    1-2015 NaN%
    2-2015 -0.08%
    3-2015 1.9%
    4-2015 -0.56%
    5-2015 -0.11%
    6-2015 0.27%
    7-2015 -1.61%
    8-2015 1.05%
    9-2015 -3.01%
    10-2015 -1.24%
    11-2015 3.44%
    12-2015 -0%
2015 -1.87%
    1-2014 NaN%
    2-2014 -0.67%
    3-2014 2.29%
    4-2014 -0.17%
    5-2014 0.34%
    6-2014 1.44%
    7-2014 0.91%
    8-2014 -1.14%
    9-2014 2.39%
    10-2014 -1.65%
    11-2014 1.64%
    12-2014 1.35%
2014 6.35%
    1-2013 NaN%
    2-2013 1.98%
    3-2013 0.77%
    4-2013 1.4%
    5-2013 1.17%
    6-2013 0.01%
    7-2013 -1.78%
    8-2013 2.46%
    9-2013 -1.72%
    10-2013 1.84%
    11-2013 2.22%
    12-2013 0.99%
2013 11.31%
    1-2012 NaN%
    2-2012 2.64%
    3-2012 1.77%
    4-2012 0.68%
    5-2012 0.22%
    6-2012 -2.41%
    7-2012 1.44%
    8-2012 1.11%
    9-2012 1.03%
    10-2012 0.89%
    11-2012 -0.84%
    12-2012 0.33%
2012 6.7%
    1-2011 NaN%
    2-2011 0.88%
    3-2011 1.58%
    4-2011 -0.14%
    5-2011 1.92%
    6-2011 0.05%
    7-2011 -1.35%
    8-2011 -0.28%
    9-2011 -2.05%
    10-2011 -3.36%
    11-2011 5.14%
    12-2011 -0.43%
2011 1.69%
