    1-2021 NaN%
    2-2021 -0.79%
    3-2021 -0.46%
    4-2021 -0.45%
    5-2021 1.83%
    6-2021 0.24%
    7-2021 0.94%
2021 2.24%
    1-2020 NaN%
    2-2020 1.33%
    3-2020 -0.87%
    4-2020 -4.19%
    5-2020 4.31%
    6-2020 1.59%
    7-2020 0.9%
    8-2020 2.41%
    9-2020 0.83%
    10-2020 -1.02%
    11-2020 -1.12%
    12-2020 3.78%
2020 8.33%
    1-2019 NaN%
    2-2019 2.7%
    3-2019 0.62%
    4-2019 1.5%
    5-2019 0.82%
    6-2019 -0.39%
    7-2019 2.29%
    8-2019 0.28%
    9-2019 1.41%
    10-2019 -0.27%
    11-2019 0.56%
    12-2019 0.68%
2019 11.13%
    1-2018 NaN%
    2-2018 0.36%
    3-2018 -1.88%
    4-2018 -0.27%
    5-2018 -0.68%
    6-2018 0.88%
    7-2018 -0.17%
    8-2018 0.67%
    9-2018 0.94%
    10-2018 -0.65%
    11-2018 -2.6%
    12-2018 0.72%
2018 -4.08%
    1-2017 NaN%
    2-2017 0.6%
    3-2017 1.22%
    4-2017 -0.23%
    5-2017 0.71%
    6-2017 0.65%
    7-2017 -0.05%
    8-2017 0.65%
    9-2017 0.54%
    10-2017 -0.07%
    11-2017 0.47%
    12-2017 0.43%
2017 5.57%
    1-2016 NaN%
    2-2016 -0.5%
    3-2016 0.28%
    4-2016 2.22%
    5-2016 0.34%
    6-2016 0.24%
    7-2016 1.21%
    8-2016 1.34%
    9-2016 -0.19%
    10-2016 -0.26%
    11-2016 -1.29%
    12-2016 -1.17%
2016 2.45%
    1-2015 NaN%
    2-2015 0.97%
    3-2015 0.49%
    4-2015 -0.24%
    5-2015 -0.19%
    6-2015 -0.19%
    7-2015 -1.47%
    8-2015 0.77%
    9-2015 -1.95%
    10-2015 -0.46%
    11-2015 1.79%
    12-2015 -0.26%
2015 -2.11%
    1-2014 NaN%
    2-2014 0.18%
    3-2014 1.41%
    4-2014 -0.27%
    5-2014 0.47%
    6-2014 1.16%
    7-2014 0.43%
    8-2014 -0.83%
    9-2014 1.66%
    10-2014 -1.4%
    11-2014 1.17%
    12-2014 0.88%
2014 4.39%
    1-2013 NaN%
    2-2013 0.64%
    3-2013 0.53%
    4-2013 0.58%
    5-2013 1.02%
    6-2013 -0.97%
    7-2013 -1.89%
    8-2013 1.34%
    9-2013 -1.3%
    10-2013 1.45%
    11-2013 1.46%
    12-2013 0.23%
2013 3.68%
    1-2012 NaN%
    2-2012 1.8%
    3-2012 0.88%
    4-2012 -0.11%
    5-2012 0.5%
    6-2012 -1.14%
    7-2012 0.78%
    8-2012 1.12%
    9-2012 0.5%
    10-2012 0.45%
    11-2012 -0.45%
    12-2012 0.21%
2012 4.11%
    1-2011 NaN%
    2-2011 0.37%
    3-2011 0.81%
    4-2011 -0.22%
    5-2011 1.59%
    6-2011 0.44%
    7-2011 -1.02%
    8-2011 0.44%
    9-2011 -0.67%
    10-2011 -1.68%
    11-2011 2.78%
    12-2011 -0.54%
2011 2.21%
