    1-2021 NaN%
    2-2021 -0.85%
    3-2021 -0.94%
    4-2021 -0.91%
    5-2021 1.42%
    6-2021 0.18%
    7-2021 0.81%
2021 0.55%
    1-2020 NaN%
    2-2020 1.56%
    3-2020 0.08%
    4-2020 -2.83%
    5-2020 3.18%
    6-2020 1.09%
    7-2020 0.74%
    8-2020 2%
    9-2020 0.02%
    10-2020 -0.64%
    11-2020 -0.98%
    12-2020 2.65%
2020 7.06%
    1-2019 NaN%
    2-2019 1.93%
    3-2019 0.26%
    4-2019 1.58%
    5-2019 0.42%
    6-2019 0.4%
    7-2019 1.74%
    8-2019 0.17%
    9-2019 1.87%
    10-2019 -0.48%
    11-2019 0.34%
    12-2019 0.3%
2019 8.97%
    1-2018 NaN%
    2-2018 -0.31%
    3-2018 -1.62%
    4-2018 -0.01%
    5-2018 -0.83%
    6-2018 0.68%
    7-2018 -0.18%
    8-2018 0.33%
    9-2018 0.68%
    10-2018 -0.7%
    11-2018 -1.94%
    12-2018 0.55%
2018 -3.56%
    1-2017 NaN%
    2-2017 0.4%
    3-2017 0.92%
    4-2017 -0.25%
    5-2017 0.65%
    6-2017 0.58%
    7-2017 -0.1%
    8-2017 0.46%
    9-2017 0.58%
    10-2017 -0.33%
    11-2017 0.24%
    12-2017 0.11%
2017 3.72%
    1-2016 NaN%
    2-2016 0.19%
    3-2016 0.36%
    4-2016 1.63%
    5-2016 0.28%
    6-2016 0.07%
    7-2016 1.42%
    8-2016 0.98%
    9-2016 -0.26%
    10-2016 -0.26%
    11-2016 -1.17%
    12-2016 -1.84%
2016 1.51%
    1-2015 NaN%
    2-2015 1.43%
    3-2015 -0.21%
    4-2015 -0.07%
    5-2015 -0.33%
    6-2015 -0.37%
    7-2015 -1.36%
    8-2015 0.69%
    9-2015 -1.39%
    10-2015 -0.05%
    11-2015 1%
    12-2015 -0.34%
2015 -2.11%
    1-2014 NaN%
    2-2014 0.64%
    3-2014 0.96%
    4-2014 -0.31%
    5-2014 0.51%
    6-2014 1.03%
    7-2014 0.22%
    8-2014 -0.68%
    9-2014 1.37%
    10-2014 -1.21%
    11-2014 1%
    12-2014 0.71%
2014 3.81%
    1-2013 NaN%
    2-2013 0.03%
    3-2013 0.46%
    4-2013 0.24%
    5-2013 0.9%
    6-2013 -1.34%
    7-2013 -1.87%
    8-2013 0.81%
    9-2013 -1.12%
    10-2013 1.17%
    11-2013 1.1%
    12-2013 -0.09%
2013 0.3%
    1-2012 NaN%
    2-2012 1.34%
    3-2012 0.42%
    4-2012 -0.43%
    5-2012 0.66%
    6-2012 -0.39%
    7-2012 0.4%
    8-2012 1.14%
    9-2012 0.23%
    10-2012 0.23%
    11-2012 -0.3%
    12-2012 0.13%
2012 2.79%
    1-2011 NaN%
    2-2011 0.15%
    3-2011 0.45%
    4-2011 -0.24%
    5-2011 1.37%
    6-2011 0.68%
    7-2011 -0.87%
    8-2011 0.79%
    9-2011 0.08%
    10-2011 -0.75%
    11-2011 1.63%
    12-2011 -0.54%
2011 2.84%
