    1-2021 NaN%
    2-2021 -0.56%
    3-2021 0.82%
    4-2021 0.65%
    5-2021 2.67%
    6-2021 0.88%
    7-2021 0.74%
2021 6.08%
    1-2020 NaN%
    2-2020 0.1%
    3-2020 -3.49%
    4-2020 -8.62%
    5-2020 6.82%
    6-2020 3%
    7-2020 1.66%
    8-2020 3.38%
    9-2020 2.78%
    10-2020 -1.9%
    11-2020 -1.55%
    12-2020 7.31%
2020 10.46%
    1-2019 NaN%
    2-2019 4.86%
    3-2019 1.4%
    4-2019 1.16%
    5-2019 1.84%
    6-2019 -2.62%
    7-2019 3.61%
    8-2019 0.05%
    9-2019 -0.03%
    10-2019 0.52%
    11-2019 1.45%
    12-2019 1.37%
2019 15.84%
    1-2018 NaN%
    2-2018 2.4%
    3-2018 -2.9%
    4-2018 -0.81%
    5-2018 -0.17%
    6-2018 0.69%
    7-2018 -0.69%
    8-2018 1.57%
    9-2018 0.78%
    10-2018 -0.49%
    11-2018 -4.71%
    12-2018 1.09%
2018 -7.26%
    1-2017 NaN%
    2-2017 1.54%
    3-2017 1.76%
    4-2017 0.3%
    5-2017 1.09%
    6-2017 1.2%
    7-2017 -0.05%
    8-2017 1.46%
    9-2017 0.48%
    10-2017 0.61%
    11-2017 1.1%
    12-2017 1.01%
2017 11.94%
    1-2016 NaN%
    2-2016 -2.56%
    3-2016 -0.3%
    4-2016 4.22%
    5-2016 0.79%
    6-2016 0.28%
    7-2016 0.25%
    8-2016 2.48%
    9-2016 0.08%
    10-2016 -0.05%
    11-2016 -1.56%
    12-2016 -0.28%
2016 3.83%
    1-2015 NaN%
    2-2015 0.08%
    3-2015 2.54%
    4-2015 -0.8%
    5-2015 1.01%
    6-2015 -0.04%
    7-2015 -2.05%
    8-2015 0.62%
    9-2015 -3.83%
    10-2015 -1.85%
    11-2015 3.89%
    12-2015 -0.31%
2015 -2.96%
    1-2014 NaN%
    2-2014 -1.47%
    3-2014 2.88%
    4-2014 -0.21%
    5-2014 0.56%
    6-2014 1.51%
    7-2014 0.8%
    8-2014 -1.21%
    9-2014 2.03%
    10-2014 -2.47%
    11-2014 1.18%
    12-2014 0.94%
2014 3.21%
    1-2013 NaN%
    2-2013 2.15%
    3-2013 0.32%
    4-2013 1.14%
    5-2013 1.67%
    6-2013 -0.73%
    7-2013 -2.5%
    8-2013 2.81%
    9-2013 -1.67%
    10-2013 2.87%
    11-2013 2.42%
    12-2013 0.71%
2013 10.67%
    1-2012 NaN%
    2-2012 3.57%
    3-2012 2.41%
    4-2012 0.3%
    5-2012 -0.2%
    6-2012 -4.16%
    7-2012 2.35%
    8-2012 0.96%
    9-2012 1.35%
    10-2012 1.07%
    11-2012 -0.49%
    12-2012 0.65%
2012 8.19%
    1-2011 NaN%
    2-2011 0.79%
    3-2011 1.75%
    4-2011 -0.21%
    5-2011 2.61%
    6-2011 -0.55%
    7-2011 -1.34%
    8-2011 -0.49%
    9-2011 -3.3%
    10-2011 -5.13%
    11-2011 6%
    12-2011 -0.97%
2011 -2.35%
