    1-2021 NaN%
    2-2021 -0.87%
    3-2021 -1.21%
    4-2021 -1.2%
    5-2021 1.12%
    6-2021 0.26%
    7-2021 0.61%
2021 -0.59%
    1-2020 NaN%
    2-2020 1.54%
    3-2020 0.61%
    4-2020 -2.23%
    5-2020 2.41%
    6-2020 0.82%
    7-2020 0.75%
    8-2020 1.73%
    9-2020 -0.5%
    10-2020 -0.4%
    11-2020 -0.92%
    12-2020 2.12%
2020 6.02%
    1-2019 NaN%
    2-2019 1.5%
    3-2019 0%
    4-2019 1.61%
    5-2019 0.17%
    6-2019 0.84%
    7-2019 1.39%
    8-2019 -0.02%
    9-2019 2.09%
    10-2019 -0.55%
    11-2019 0.28%
    12-2019 0%
2019 7.47%
    1-2018 NaN%
    2-2018 -0.63%
    3-2018 -1.54%
    4-2018 0.18%
    5-2018 -0.88%
    6-2018 0.39%
    7-2018 -0.32%
    8-2018 0.12%
    9-2018 0.32%
    10-2018 -0.72%
    11-2018 -1.66%
    12-2018 0.43%
2018 -3.7%
    1-2017 NaN%
    2-2017 0.38%
    3-2017 0.68%
    4-2017 -0.15%
    5-2017 0.67%
    6-2017 0.62%
    7-2017 -0.17%
    8-2017 0.43%
    9-2017 0.62%
    10-2017 -0.5%
    11-2017 0.12%
    12-2017 -0.14%
2017 2.99%
    1-2016 NaN%
    2-2016 0.53%
    3-2016 0.3%
    4-2016 1.39%
    5-2016 0.31%
    6-2016 -0.13%
    7-2016 1.45%
    8-2016 0.83%
    9-2016 -0.28%
    10-2016 -0.22%
    11-2016 -1.09%
    12-2016 -2.43%
2016 0.69%
    1-2015 NaN%
    2-2015 1.78%
    3-2015 -0.57%
    4-2015 -0%
    5-2015 -0.22%
    6-2015 -0.56%
    7-2015 -1.37%
    8-2015 0.55%
    9-2015 -1.16%
    10-2015 0.11%
    11-2015 0.54%
    12-2015 -0.46%
2015 -2.32%
    1-2014 NaN%
    2-2014 0.8%
    3-2014 0.76%
    4-2014 -0.35%
    5-2014 0.57%
    6-2014 0.96%
    7-2014 0.06%
    8-2014 -0.59%
    9-2014 1.1%
    10-2014 -1.23%
    11-2014 0.79%
    12-2014 0.52%
2014 2.81%
    1-2013 NaN%
    2-2013 -0.37%
    3-2013 0.33%
    4-2013 -0.04%
    5-2013 0.92%
    6-2013 -1.74%
    7-2013 -1.99%
    8-2013 0.5%
    9-2013 -0.98%
    10-2013 1.18%
    11-2013 0.89%
    12-2013 -0.36%
2013 -2.16%
    1-2012 NaN%
    2-2012 1.19%
    3-2012 0.22%
    4-2012 -0.72%
    5-2012 0.7%
    6-2012 -0.21%
    7-2012 0.31%
    8-2012 1.13%
    9-2012 0.1%
    10-2012 0.12%
    11-2012 -0.14%
    12-2012 0.13%
2012 2.17%
    1-2011 NaN%
    2-2011 -0.02%
    3-2011 0.23%
    4-2011 -0.27%
    5-2011 1.35%
    6-2011 0.73%
    7-2011 -0.77%
    8-2011 0.99%
    9-2011 0.36%
    10-2011 -0.45%
    11-2011 1%
    12-2011 -0.65%
2011 2.5%
