    1-2021 NaN%
    2-2021 -0.36%
    3-2021 2.95%
    4-2021 2.9%
    5-2021 4.92%
    6-2021 0.42%
    7-2021 2.15%
2021 14.73%
    1-2020 NaN%
    2-2020 0.02%
    3-2020 -7.68%
    4-2020 -13.52%
    5-2020 12.67%
    6-2020 5.12%
    7-2020 1.76%
    8-2020 5.44%
    9-2020 6.76%
    10-2020 -3.76%
    11-2020 -2.08%
    12-2020 11.64%
2020 18.2%
    1-2019 NaN%
    2-2019 8.21%
    3-2019 3.32%
    4-2019 0.94%
    5-2019 3.77%
    6-2019 -6.03%
    7-2019 6.31%
    8-2019 1.37%
    9-2019 -1.78%
    10-2019 1.14%
    11-2019 2%
    12-2019 3.58%
2019 27.22%
    1-2018 NaN%
    2-2018 4.99%
    3-2018 -3.59%
    4-2018 -2.24%
    5-2018 0.31%
    6-2018 2.7%
    7-2018 0.23%
    8-2018 3.17%
    9-2018 3.3%
    10-2018 -0.34%
    11-2018 -7.08%
    12-2018 1.99%
2018 -6.73%
    1-2017 NaN%
    2-2017 1.83%
    3-2017 3.55%
    4-2017 -0.37%
    5-2017 1.03%
    6-2017 0.99%
    7-2017 0.43%
    8-2017 1.78%
    9-2017 0.19%
    10-2017 1.88%
    11-2017 2.06%
    12-2017 2.87%
2017 18.07%
    1-2016 NaN%
    2-2016 -5.31%
    3-2016 -0.02%
    4-2016 6.24%
    5-2016 0.62%
    6-2016 1.67%
    7-2016 -0.09%
    8-2016 3.77%
    9-2016 0.24%
    10-2016 -0.33%
    11-2016 -2.15%
    12-2016 4.09%
2016 9.9%
    1-2015 NaN%
    2-2015 -2.53%
    3-2015 5.41%
    4-2015 -1.39%
    5-2015 0.37%
    6-2015 1.29%
    7-2015 -2.08%
    8-2015 1.6%
    9-2015 -5.73%
    10-2015 -3.24%
    11-2015 7.46%
    12-2015 0.51%
2015 -1.6%
    1-2014 NaN%
    2-2014 -2.88%
    3-2014 4.53%
    4-2014 0.06%
    5-2014 0.09%
    6-2014 2.1%
    7-2014 2.03%
    8-2014 -1.9%
    9-2014 4.02%
    10-2014 -2.47%
    11-2014 2.64%
    12-2014 2.33%
2014 10.14%
    1-2013 NaN%
    2-2013 5.18%
    3-2013 1.23%
    4-2013 3.25%
    5-2013 1.65%
    6-2013 2.13%
    7-2013 -1.71%
    8-2013 5.18%
    9-2013 -2.7%
    10-2013 3.05%
    11-2013 4.06%
    12-2013 2.71%
2013 29.18%
    1-2012 NaN%
    2-2012 4.86%
    3-2012 4.03%
    4-2012 2.45%
    5-2012 -0.55%
    6-2012 -5.89%
    7-2012 3.24%
    8-2012 1.04%
    9-2012 2.38%
    10-2012 1.97%
    11-2012 -1.67%
    12-2012 0.7%
2012 13.24%
    1-2011 NaN%
    2-2011 2.07%
    3-2011 3.44%
    4-2011 0.01%
    5-2011 2.89%
    6-2011 -1.05%
    7-2011 -2.13%
    8-2011 -2.05%
    9-2011 -5.66%
    10-2011 -7.79%
    11-2011 10.96%
    12-2011 -0.3%
2011 -0.62%
