    1-2021 NaN%
    2-2021 -0.47%
    3-2021 1.55%
    4-2021 1.37%
    5-2021 3.34%
    6-2021 0.9%
    7-2021 1.02%
2021 8.8%
    1-2020 NaN%
    2-2020 -0.16%
    3-2020 -4.96%
    4-2020 -10.61%
    5-2020 8.63%
    6-2020 3.76%
    7-2020 1.84%
    8-2020 4.04%
    9-2020 4.06%
    10-2020 -2.49%
    11-2020 -1.76%
    12-2020 8.99%
2020 12.62%
    1-2019 NaN%
    2-2019 6.05%
    3-2019 1.99%
    4-2019 1.04%
    5-2019 2.47%
    6-2019 -3.83%
    7-2019 4.48%
    8-2019 0.3%
    9-2019 -0.71%
    10-2019 0.82%
    11-2019 1.75%
    12-2019 2.01%
2019 19.34%
    1-2018 NaN%
    2-2018 3.39%
    3-2018 -3.26%
    4-2018 -1.24%
    5-2018 0.04%
    6-2018 1.1%
    7-2018 -0.59%
    8-2018 2.11%
    9-2018 1.31%
    10-2018 -0.43%
    11-2018 -5.67%
    12-2018 1.37%
2018 -7.78%
    1-2017 NaN%
    2-2017 1.8%
    3-2017 2.27%
    4-2017 0.26%
    5-2017 1.15%
    6-2017 1.27%
    7-2017 0.06%
    8-2017 1.69%
    9-2017 0.41%
    10-2017 1.03%
    11-2017 1.44%
    12-2017 1.55%
2017 14.6%
    1-2016 NaN%
    2-2016 -3.59%
    3-2016 -0.35%
    4-2016 5.08%
    5-2016 0.84%
    6-2016 0.6%
    7-2016 -0.02%
    8-2016 3%
    9-2016 0.17%
    10-2016 -0.07%
    11-2016 -1.75%
    12-2016 0.88%
2016 5.47%
    1-2015 NaN%
    2-2015 -0.68%
    3-2015 3.6%
    4-2015 -1.05%
    5-2015 1.11%
    6-2015 0.29%
    7-2015 -2.18%
    8-2015 0.81%
    9-2015 -4.64%
    10-2015 -2.44%
    11-2015 5.11%
    12-2015 -0.14%
2015 -2.83%
    1-2014 NaN%
    2-2014 -2.12%
    3-2014 3.55%
    4-2014 -0.14%
    5-2014 0.48%
    6-2014 1.71%
    7-2014 1.15%
    8-2014 -1.44%
    9-2014 2.55%
    10-2014 -2.69%
    11-2014 1.51%
    12-2014 1.27%
2014 4.53%
    1-2013 NaN%
    2-2013 3.13%
    3-2013 0.48%
    4-2013 1.73%
    5-2013 1.79%
    6-2013 -0.04%
    7-2013 -2.44%
    8-2013 3.64%
    9-2013 -1.98%
    10-2013 3.19%
    11-2013 2.98%
    12-2013 1.26%
2013 16.22%
    1-2012 NaN%
    2-2012 4.22%
    3-2012 3.08%
    4-2012 0.86%
    5-2012 -0.42%
    6-2012 -5.16%
    7-2012 2.87%
    8-2012 0.95%
    9-2012 1.75%
    10-2012 1.4%
    11-2012 -0.76%
    12-2012 0.75%
2012 10.14%
    1-2011 NaN%
    2-2011 1.17%
    3-2011 2.32%
    4-2011 -0.16%
    5-2011 2.88%
    6-2011 -0.86%
    7-2011 -1.59%
    8-2011 -1.03%
    9-2011 -4.36%
    10-2011 -6.42%
    11-2011 7.76%
    12-2011 -0.9%
2011 -2.88%
