    1-2021 NaN%
    2-2021 -0.58%
    3-2021 0.91%
    4-2021 0.83%
    5-2021 2.93%
    6-2021 0.58%
    7-2021 1.12%
2021 6.89%
    1-2020 NaN%
    2-2020 0.46%
    3-2020 -3.65%
    4-2020 -8.39%
    5-2020 7.39%
    6-2020 3.05%
    7-2020 1.45%
    8-2020 3.56%
    9-2020 3.1%
    10-2020 -2.06%
    11-2020 -1.54%
    12-2020 7.23%
2020 11.58%
    1-2019 NaN%
    2-2019 4.97%
    3-2019 1.6%
    4-2019 1.21%
    5-2019 1.97%
    6-2019 -2.72%
    7-2019 3.83%
    8-2019 0.42%
    9-2019 0.01%
    10-2019 0.42%
    11-2019 1.31%
    12-2019 1.67%
2019 17.01%
    1-2018 NaN%
    2-2018 2.37%
    3-2018 -2.75%
    4-2018 -0.97%
    5-2018 -0.22%
    6-2018 1.21%
    7-2018 -0.32%
    8-2018 1.66%
    9-2018 1.41%
    10-2018 -0.51%
    11-2018 -4.61%
    12-2018 1.18%
2018 -6.17%
    1-2017 NaN%
    2-2017 1.32%
    3-2017 2.01%
    4-2017 -0.01%
    5-2017 0.96%
    6-2017 0.99%
    7-2017 0.06%
    8-2017 1.28%
    9-2017 0.43%
    10-2017 0.69%
    11-2017 1.13%
    12-2017 1.26%
2017 11.4%
    1-2016 NaN%
    2-2016 -2.56%
    3-2016 -0.05%
    4-2016 4.07%
    5-2016 0.61%
    6-2016 0.59%
    7-2016 0.47%
    8-2016 2.43%
    9-2016 0.04%
    10-2016 -0.18%
    11-2016 -1.61%
    12-2016 0.45%
2016 4.8%
    1-2015 NaN%
    2-2015 -0.25%
    3-2015 2.57%
    4-2015 -0.76%
    5-2015 0.5%
    6-2015 0.22%
    7-2015 -1.88%
    8-2015 0.89%
    9-2015 -3.69%
    10-2015 -1.74%
    11-2015 4.07%
    12-2015 -0.11%
2015 -2.39%
    1-2014 NaN%
    2-2014 -1.29%
    3-2014 2.81%
    4-2014 -0.17%
    5-2014 0.43%
    6-2014 1.54%
    7-2014 0.97%
    8-2014 -1.25%
    9-2014 2.37%
    10-2014 -2.14%
    11-2014 1.51%
    12-2014 1.24%
2014 5.16%
    1-2013 NaN%
    2-2013 2.38%
    3-2013 0.59%
    4-2013 1.46%
    5-2013 1.46%
    6-2013 -0.15%
    7-2013 -2.13%
    8-2013 2.91%
    9-2013 -1.8%
    10-2013 2.48%
    11-2013 2.51%
    12-2013 1.02%
2013 12.78%
    1-2012 NaN%
    2-2012 3.33%
    3-2012 2.31%
    4-2012 0.67%
    5-2012 -0.07%
    6-2012 -3.63%
    7-2012 2.08%
    8-2012 1.03%
    9-2012 1.32%
    10-2012 1.09%
    11-2012 -0.75%
    12-2012 0.53%
2012 8.1%
    1-2011 NaN%
    2-2011 0.96%
    3-2011 1.85%
    4-2011 -0.16%
    5-2011 2.36%
    6-2011 -0.36%
    7-2011 -1.42%
    8-2011 -0.56%
    9-2011 -3.04%
    10-2011 -4.69%
    11-2011 6.15%
    12-2011 -0.69%
2011 -0.56%
