    1-2021 NaN%
    2-2021 -0.91%
    3-2021 -1.42%
    4-2021 -1.37%
    5-2021 1%
    6-2021 0.13%
    7-2021 0.67%
2021 -1.17%
    1-2020 NaN%
    2-2020 1.77%
    3-2020 1.04%
    4-2020 -1.48%
    5-2020 2.03%
    6-2020 0.59%
    7-2020 0.6%
    8-2020 1.58%
    9-2020 -0.8%
    10-2020 -0.27%
    11-2020 -0.84%
    12-2020 1.52%
2020 5.74%
    1-2019 NaN%
    2-2019 1.15%
    3-2019 -0.11%
    4-2019 1.67%
    5-2019 0.01%
    6-2019 1.2%
    7-2019 1.19%
    8-2019 0.04%
    9-2019 2.33%
    10-2019 -0.69%
    11-2019 0.12%
    12-2019 -0.09%
2019 6.77%
    1-2018 NaN%
    2-2018 -0.97%
    3-2018 -1.36%
    4-2018 0.26%
    5-2018 -0.97%
    6-2018 0.46%
    7-2018 -0.2%
    8-2018 -0.02%
    9-2018 0.39%
    10-2018 -0.74%
    11-2018 -1.3%
    12-2018 0.37%
2018 -3.1%
    1-2017 NaN%
    2-2017 0.21%
    3-2017 0.61%
    4-2017 -0.26%
    5-2017 0.6%
    6-2017 0.51%
    7-2017 -0.16%
    8-2017 0.29%
    9-2017 0.63%
    10-2017 -0.61%
    11-2017 0.02%
    12-2017 -0.22%
2017 1.89%
    1-2016 NaN%
    2-2016 0.88%
    3-2016 0.42%
    4-2016 1.04%
    5-2016 0.22%
    6-2016 -0.11%
    7-2016 1.63%
    8-2016 0.63%
    9-2016 -0.32%
    10-2016 -0.26%
    11-2016 -1.05%
    12-2016 -2.53%
2016 0.52%
    1-2015 NaN%
    2-2015 1.9%
    3-2015 -0.91%
    4-2015 0.1%
    5-2015 -0.45%
    6-2015 -0.56%
    7-2015 -1.26%
    8-2015 0.59%
    9-2015 -0.84%
    10-2015 0.35%
    11-2015 0.2%
    12-2015 -0.43%
2015 -2.14%
    1-2014 NaN%
    2-2014 1.09%
    3-2014 0.51%
    4-2014 -0.35%
    5-2014 0.55%
    6-2014 0.9%
    7-2014 0%
    8-2014 -0.53%
    9-2014 1.06%
    10-2014 -1.03%
    11-2014 0.81%
    12-2014 0.53%
2014 3.14%
    1-2013 NaN%
    2-2013 -0.6%
    3-2013 0.38%
    4-2013 -0.11%
    5-2013 0.79%
    6-2013 -1.74%
    7-2013 -1.87%
    8-2013 0.26%
    9-2013 -0.93%
    10-2013 0.91%
    11-2013 0.74%
    12-2013 -0.42%
2013 -3.18%
    1-2012 NaN%
    2-2012 0.88%
    3-2012 -0.04%
    4-2012 -0.76%
    5-2012 0.82%
    6-2012 0.33%
    7-2012 0.03%
    8-2012 1.16%
    9-2012 -0.04%
    10-2012 0.02%
    11-2012 -0.15%
    12-2012 0.05%
2012 1.48%
    1-2011 NaN%
    2-2011 -0.08%
    3-2011 0.08%
    4-2011 -0.27%
    5-2011 1.16%
    6-2011 0.91%
    7-2011 -0.72%
    8-2011 1.14%
    9-2011 0.82%
    10-2011 0.15%
    11-2011 0.48%
    12-2011 -0.56%
2011 3.38%
