    1-2021 NaN%
    2-2021 -0.48%
    3-2021 1.21%
    4-2021 0.94%
    5-2021 2.86%
    6-2021 1.2%
    7-2021 0.53%
2021 7.07%
    1-2020 NaN%
    2-2020 -0.44%
    3-2020 -4.31%
    4-2020 -10.18%
    5-2020 7.44%
    6-2020 3.44%
    7-2020 2%
    8-2020 3.64%
    9-2020 3.32%
    10-2020 -2.14%
    11-2020 -1.7%
    12-2020 8.52%
2020 10.76%
    1-2019 NaN%
    2-2019 5.55%
    3-2019 1.59%
    4-2019 1.02%
    5-2019 2.12%
    6-2019 -3.32%
    7-2019 3.97%
    8-2019 -0.15%
    9-2019 -0.52%
    10-2019 0.82%
    11-2019 1.8%
    12-2019 1.5%
2019 16.99%
    1-2018 NaN%
    2-2018 3.08%
    3-2018 -3.3%
    4-2018 -0.93%
    5-2018 0.01%
    6-2018 0.43%
    7-2018 -1.01%
    8-2018 1.84%
    9-2018 0.5%
    10-2018 -0.44%
    11-2018 -5.45%
    12-2018 1.18%
2018 -8.72%
    1-2017 NaN%
    2-2017 1.94%
    3-2017 1.85%
    4-2017 0.59%
    5-2017 1.26%
    6-2017 1.46%
    7-2017 -0.09%
    8-2017 1.79%
    9-2017 0.48%
    10-2017 0.8%
    11-2017 1.3%
    12-2017 1.12%
2017 14.27%
    1-2016 NaN%
    2-2016 -3.25%
    3-2016 -0.58%
    4-2016 4.94%
    5-2016 1%
    6-2016 0.18%
    7-2016 -0.14%
    8-2016 2.88%
    9-2016 0.19%
    10-2016 0.07%
    11-2016 -1.63%
    12-2016 -0.25%
2016 3.94%
    1-2015 NaN%
    2-2015 -0.1%
    3-2015 3.21%
    4-2015 -1.01%
    5-2015 1.6%
    6-2015 -0.08%
    7-2015 -2.31%
    8-2015 0.47%
    9-2015 -4.51%
    10-2015 -2.34%
    11-2015 4.53%
    12-2015 -0.41%
2015 -3.45%
    1-2014 NaN%
    2-2014 -2.09%
    3-2014 3.4%
    4-2014 -0.21%
    5-2014 0.65%
    6-2014 1.62%
    7-2014 0.87%
    8-2014 -1.32%
    9-2014 2.02%
    10-2014 -2.95%
    11-2014 1.07%
    12-2014 0.86%
2014 2.11%
    1-2013 NaN%
    2-2013 2.56%
    3-2013 0.15%
    4-2013 1.21%
    5-2013 1.96%
    6-2013 -0.86%
    7-2013 -2.83%
    8-2013 3.27%
    9-2013 -1.75%
    10-2013 3.48%
    11-2013 2.71%
    12-2013 0.76%
2013 12.23%
    1-2012 NaN%
    2-2012 4.25%
    3-2012 2.95%
    4-2012 0.3%
    5-2012 -0.48%
    6-2012 -5.36%
    7-2012 2.98%
    8-2012 0.89%
    9-2012 1.64%
    10-2012 1.27%
    11-2012 -0.41%
    12-2012 0.84%
2012 9.58%
    1-2011 NaN%
    2-2011 0.88%
    3-2011 2.03%
    4-2011 -0.22%
    5-2011 3.04%
    6-2011 -0.95%
    7-2011 -1.42%
    8-2011 -0.78%
    9-2011 -4.28%
    10-2011 -6.44%
    11-2011 7.01%
    12-2011 -1.21%
2011 -4.52%
