    1-2021 NaN%
    2-2021 -0.33%
    3-2021 2.47%
    4-2021 2.22%
    5-2021 4.07%
    6-2021 1.13%
    7-2021 1.13%
2021 11.87%
    1-2020 NaN%
    2-2020 -0.75%
    3-2020 -6.81%
    4-2020 -13.42%
    5-2020 10.67%
    6-2020 4.73%
    7-2020 2.22%
    8-2020 4.8%
    9-2020 5.57%
    10-2020 -3.18%
    11-2020 -2.04%
    12-2020 11.29%
2020 14.75%
    1-2019 NaN%
    2-2019 7.56%
    3-2019 2.64%
    4-2019 0.85%
    5-2019 3.23%
    6-2019 -5.38%
    7-2019 5.49%
    8-2019 0.39%
    9-2019 -1.64%
    10-2019 1.28%
    11-2019 2.25%
    12-2019 2.66%
2019 23.22%
    1-2018 NaN%
    2-2018 4.73%
    3-2018 -3.85%
    4-2018 -1.7%
    5-2018 0.35%
    6-2018 1.3%
    7-2018 -0.71%
    8-2018 2.77%
    9-2018 1.61%
    10-2018 -0.33%
    11-2018 -7.01%
    12-2018 1.67%
2018 -9.21%
    1-2017 NaN%
    2-2017 2.29%
    3-2017 2.78%
    4-2017 0.41%
    5-2017 1.32%
    6-2017 1.49%
    7-2017 0.13%
    8-2017 2.12%
    9-2017 0.34%
    10-2017 1.54%
    11-2017 1.88%
    12-2017 2.1%
2017 18.5%
    1-2016 NaN%
    2-2016 -4.96%
    3-2016 -0.58%
    4-2016 6.32%
    5-2016 1.03%
    6-2016 0.82%
    7-2016 -0.52%
    8-2016 3.73%
    9-2016 0.32%
    10-2016 -0.01%
    11-2016 -1.96%
    12-2016 1.94%
2016 7.01%
    1-2015 NaN%
    2-2015 -1.48%
    3-2015 4.99%
    4-2015 -1.4%
    5-2015 1.58%
    6-2015 0.55%
    7-2015 -2.46%
    8-2015 0.88%
    9-2015 -5.8%
    10-2015 -3.29%
    11-2015 6.63%
    12-2015 -0.05%
2015 -3.03%
    1-2014 NaN%
    2-2014 -3.11%
    3-2014 4.48%
    4-2014 -0.07%
    5-2014 0.45%
    6-2014 1.96%
    7-2014 1.51%
    8-2014 -1.72%
    9-2014 3.01%
    10-2014 -3.19%
    11-2014 1.73%
    12-2014 1.5%
2014 4.98%
    1-2013 NaN%
    2-2013 4.28%
    3-2013 0.52%
    4-2013 2.3%
    5-2013 2.1%
    6-2013 0.49%
    7-2013 -2.62%
    8-2013 4.68%
    9-2013 -2.3%
    10-2013 3.89%
    11-2013 3.67%
    12-2013 1.78%
2013 22.22%
    1-2012 NaN%
    2-2012 5.24%
    3-2012 4.04%
    4-2012 1.37%
    5-2012 -0.8%
    6-2012 -6.83%
    7-2012 3.74%
    8-2012 0.89%
    9-2012 2.3%
    10-2012 1.82%
    11-2012 -0.96%
    12-2012 0.96%
2012 12.81%
    1-2011 NaN%
    2-2011 1.55%
    3-2011 3.01%
    4-2011 -0.12%
    5-2011 3.4%
    6-2011 -1.4%
    7-2011 -1.85%
    8-2011 -1.69%
    9-2011 -5.95%
    10-2011 -8.44%
    11-2011 10%
    12-2011 -1.01%
2011 -4.78%
