    1-2021 NaN%
    2-2021 -0.4%
    3-2021 2.01%
    4-2021 1.8%
    5-2021 3.71%
    6-2021 1.02%
    7-2021 1.07%
2021 10.34%
    1-2020 NaN%
    2-2020 -0.46%
    3-2020 -5.88%
    4-2020 -12.02%
    5-2020 9.65%
    6-2020 4.24%
    7-2020 2.03%
    8-2020 4.42%
    9-2020 4.82%
    10-2020 -2.84%
    11-2020 -1.9%
    12-2020 10.14%
2020 13.69%
    1-2019 NaN%
    2-2019 6.8%
    3-2019 2.32%
    4-2019 0.94%
    5-2019 2.85%
    6-2019 -4.61%
    7-2019 4.99%
    8-2019 0.35%
    9-2019 -1.18%
    10-2019 1.05%
    11-2019 2%
    12-2019 2.33%
2019 21.28%
    1-2018 NaN%
    2-2018 4.06%
    3-2018 -3.55%
    4-2018 -1.47%
    5-2018 0.19%
    6-2018 1.2%
    7-2018 -0.65%
    8-2018 2.44%
    9-2018 1.46%
    10-2018 -0.38%
    11-2018 -6.34%
    12-2018 1.52%
2018 -8.49%
    1-2017 NaN%
    2-2017 2.04%
    3-2017 2.53%
    4-2017 0.34%
    5-2017 1.23%
    6-2017 1.38%
    7-2017 0.09%
    8-2017 1.91%
    9-2017 0.37%
    10-2017 1.28%
    11-2017 1.66%
    12-2017 1.82%
2017 16.55%
    1-2016 NaN%
    2-2016 -4.28%
    3-2016 -0.47%
    4-2016 5.7%
    5-2016 0.94%
    6-2016 0.71%
    7-2016 -0.27%
    8-2016 3.37%
    9-2016 0.25%
    10-2016 -0.04%
    11-2016 -1.86%
    12-2016 1.41%
2016 6.24%
    1-2015 NaN%
    2-2015 -1.08%
    3-2015 4.29%
    4-2015 -1.22%
    5-2015 1.35%
    6-2015 0.42%
    7-2015 -2.32%
    8-2015 0.84%
    9-2015 -5.22%
    10-2015 -2.86%
    11-2015 5.87%
    12-2015 -0.09%
2015 -2.93%
    1-2014 NaN%
    2-2014 -2.61%
    3-2014 4.01%
    4-2014 -0.1%
    5-2014 0.46%
    6-2014 1.84%
    7-2014 1.33%
    8-2014 -1.58%
    9-2014 2.78%
    10-2014 -2.94%
    11-2014 1.62%
    12-2014 1.38%
2014 4.75%
    1-2013 NaN%
    2-2013 3.7%
    3-2013 0.5%
    4-2013 2.01%
    5-2013 1.95%
    6-2013 0.22%
    7-2013 -2.53%
    8-2013 4.16%
    9-2013 -2.14%
    10-2013 3.54%
    11-2013 3.33%
    12-2013 1.52%
2013 19.22%
    1-2012 NaN%
    2-2012 4.73%
    3-2012 3.56%
    4-2012 1.11%
    5-2012 -0.61%
    6-2012 -5.99%
    7-2012 3.3%
    8-2012 0.92%
    9-2012 2.02%
    10-2012 1.61%
    11-2012 -0.86%
    12-2012 0.85%
2012 11.47%
    1-2011 NaN%
    2-2011 1.36%
    3-2011 2.66%
    4-2011 -0.14%
    5-2011 3.14%
    6-2011 -1.13%
    7-2011 -1.72%
    8-2011 -1.36%
    9-2011 -5.16%
    10-2011 -7.43%
    11-2011 8.88%
    12-2011 -0.96%
2011 -3.83%
