    1-2021 NaN%
    2-2021 -0.4%
    3-2021 2.39%
    4-2021 2.29%
    5-2021 4.29%
    6-2021 0.61%
    7-2021 1.69%
2021 12.35%
    1-2020 NaN%
    2-2020 -0.05%
    3-2020 -6.59%
    4-2020 -12.36%
    5-2020 11.05%
    6-2020 4.58%
    7-2020 1.8%
    8-2020 4.88%
    9-2020 5.68%
    10-2020 -3.25%
    11-2020 -1.95%
    12-2020 10.58%
2020 15.96%
    1-2019 NaN%
    2-2019 7.34%
    3-2019 2.79%
    4-2019 0.98%
    5-2019 3.25%
    6-2019 -5.15%
    7-2019 5.58%
    8-2019 0.94%
    9-2019 -1.35%
    10-2019 1.01%
    11-2019 1.9%
    12-2019 2.95%
2019 24.05%
    1-2018 NaN%
    2-2018 4.35%
    3-2018 -3.46%
    4-2018 -1.84%
    5-2018 0.2%
    6-2018 2.05%
    7-2018 -0.1%
    8-2018 2.75%
    9-2018 2.5%
    10-2018 -0.37%
    11-2018 -6.51%
    12-2018 1.74%
2018 -7.16%
    1-2017 NaN%
    2-2017 1.82%
    3-2017 3.03%
    4-2017 -0.11%
    5-2017 1.08%
    6-2017 1.1%
    7-2017 0.28%
    8-2017 1.75%
    9-2017 0.27%
    10-2017 1.54%
    11-2017 1.81%
    12-2017 2.34%
2017 16.69%
    1-2016 NaN%
    2-2016 -4.62%
    3-2016 -0.15%
    4-2016 5.78%
    5-2016 0.71%
    6-2016 1.24%
    7-2016 -0.07%
    8-2016 3.47%
    9-2016 0.22%
    10-2016 -0.22%
    11-2016 -1.99%
    12-2016 2.8%
2016 8.12%
    1-2015 NaN%
    2-2015 -1.79%
    3-2015 4.68%
    4-2015 -1.25%
    5-2015 0.67%
    6-2015 0.89%
    7-2015 -2.12%
    8-2015 1.28%
    9-2015 -5.29%
    10-2015 -2.92%
    11-2015 6.52%
    12-2015 0.25%
2015 -2.09%
    1-2014 NaN%
    2-2014 -2.58%
    3-2014 4.14%
    4-2014 -0.02%
    5-2014 0.24%
    6-2014 1.95%
    7-2014 1.68%
    8-2014 -1.72%
    9-2014 3.43%
    10-2014 -2.56%
    11-2014 2.18%
    12-2014 1.9%
2014 7.88%
    1-2013 NaN%
    2-2013 4.36%
    3-2013 0.93%
    4-2013 2.64%
    5-2013 1.71%
    6-2013 1.26%
    7-2013 -2.01%
    8-2013 4.57%
    9-2013 -2.41%
    10-2013 3.11%
    11-2013 3.63%
    12-2013 2.13%
2013 23.98%
    1-2012 NaN%
    2-2012 4.6%
    3-2012 3.65%
    4-2012 1.81%
    5-2012 -0.5%
    6-2012 -5.6%
    7-2012 3.09%
    8-2012 1%
    9-2012 2.13%
    10-2012 1.74%
    11-2012 -1.31%
    12-2012 0.72%
2012 12%
    1-2011 NaN%
    2-2011 1.7%
    3-2011 2.99%
    4-2011 -0.05%
    5-2011 2.89%
    6-2011 -0.98%
    7-2011 -1.91%
    8-2011 -1.64%
    9-2011 -5.14%
    10-2011 -7.25%
    11-2011 9.68%
    12-2011 -0.54%
2011 -1.54%
