    1-2021 NaN%
    2-2021 -0.56%
    3-2021 1.2%
    4-2021 1.15%
    5-2021 3.26%
    6-2021 0.46%
    7-2021 1.38%
2021 8.14%
    1-2020 NaN%
    2-2020 0.52%
    3-2020 -4.21%
    4-2020 -8.96%
    5-2020 8.24%
    6-2020 3.33%
    7-2020 1.42%
    8-2020 3.85%
    9-2020 3.66%
    10-2020 -2.32%
    11-2020 -1.6%
    12-2020 7.75%
2020 12.78%
    1-2019 NaN%
    2-2019 5.41%
    3-2019 1.89%
    4-2019 1.2%
    5-2019 2.24%
    6-2019 -3.17%
    7-2019 4.21%
    8-2019 0.66%
    9-2019 -0.2%
    10-2019 0.48%
    11-2019 1.34%
    12-2019 2%
2019 18.67%
    1-2018 NaN%
    2-2018 2.69%
    3-2018 -2.8%
    4-2018 -1.19%
    5-2018 -0.17%
    6-2018 1.56%
    7-2018 -0.13%
    8-2018 1.88%
    9-2018 1.85%
    10-2018 -0.49%
    11-2018 -4.88%
    12-2018 1.31%
2018 -5.88%
    1-2017 NaN%
    2-2017 1.31%
    3-2017 2.28%
    4-2017 -0.16%
    5-2017 0.92%
    6-2017 0.92%
    7-2017 0.14%
    8-2017 1.29%
    9-2017 0.38%
    10-2017 0.87%
    11-2017 1.25%
    12-2017 1.54%
2017 12.06%
    1-2016 NaN%
    2-2016 -2.9%
    3-2016 0.03%
    4-2016 4.3%
    5-2016 0.56%
    6-2016 0.82%
    7-2016 0.47%
    8-2016 2.58%
    9-2016 0.05%
    10-2016 -0.24%
    11-2016 -1.7%
    12-2016 1.14%
2016 5.76%
    1-2015 NaN%
    2-2015 -0.64%
    3-2015 2.94%
    4-2015 -0.83%
    5-2015 0.31%
    6-2015 0.44%
    7-2015 -1.85%
    8-2015 1.07%
    9-2015 -3.9%
    10-2015 -1.89%
    11-2015 4.55%
    12-2015 0.04%
2015 -2.1%
    1-2014 NaN%
    2-2014 -1.43%
    3-2014 3%
    4-2014 -0.12%
    5-2014 0.34%
    6-2014 1.62%
    7-2014 1.16%
    8-2014 -1.35%
    9-2014 2.69%
    10-2014 -2.08%
    11-2014 1.76%
    12-2014 1.48%
2014 6.42%
    1-2013 NaN%
    2-2013 2.81%
    3-2013 0.76%
    4-2013 1.78%
    5-2013 1.42%
    6-2013 0.33%
    7-2013 -1.96%
    8-2013 3.22%
    9-2013 -1.95%
    10-2013 2.42%
    11-2013 2.73%
    12-2013 1.34%
2013 15.52%
    1-2012 NaN%
    2-2012 3.44%
    3-2012 2.5%
    4-2012 1.01%
    5-2012 -0.08%
    6-2012 -3.74%
    7-2012 2.13%
    8-2012 1.05%
    9-2012 1.45%
    10-2012 1.2%
    11-2012 -0.95%
    12-2012 0.51%
2012 8.71%
    1-2011 NaN%
    2-2011 1.15%
    3-2011 2.08%
    4-2011 -0.12%
    5-2011 2.35%
    6-2011 -0.39%
    7-2011 -1.54%
    8-2011 -0.77%
    9-2011 -3.28%
    10-2011 -4.93%
    11-2011 6.8%
    12-2011 -0.54%
2011 0.02%
