    1-2021 NaN%
    2-2021 -0.63%
    3-2021 0.72%
    4-2021 0.69%
    5-2021 2.85%
    6-2021 0.4%
    7-2021 1.25%
2021 6.45%
    1-2020 NaN%
    2-2020 0.75%
    3-2020 -3.25%
    4-2020 -7.6%
    5-2020 7.12%
    6-2020 2.83%
    7-2020 1.27%
    8-2020 3.44%
    9-2020 2.85%
    10-2020 -1.95%
    11-2020 -1.47%
    12-2020 6.62%
2020 11.51%
    1-2019 NaN%
    2-2019 4.64%
    3-2019 1.52%
    4-2019 1.28%
    5-2019 1.83%
    6-2019 -2.37%
    7-2019 3.66%
    8-2019 0.55%
    9-2019 0.26%
    10-2019 0.26%
    11-2019 1.12%
    12-2019 1.62%
2019 16.51%
    1-2018 NaN%
    2-2018 2.02%
    3-2018 -2.54%
    4-2018 -0.92%
    5-2018 -0.31%
    6-2018 1.37%
    7-2018 -0.14%
    8-2018 1.54%
    9-2018 1.59%
    10-2018 -0.54%
    11-2018 -4.23%
    12-2018 1.14%
2018 -5.36%
    1-2017 NaN%
    2-2017 1.11%
    3-2017 1.98%
    4-2017 -0.18%
    5-2017 0.86%
    6-2017 0.84%
    7-2017 0.09%
    8-2017 1.1%
    9-2017 0.43%
    10-2017 0.6%
    11-2017 1.03%
    12-2017 1.22%
2017 10.2%
    1-2016 NaN%
    2-2016 -2.21%
    3-2016 0.1%
    4-2016 3.7%
    5-2016 0.49%
    6-2016 0.66%
    7-2016 0.68%
    8-2016 2.22%
    9-2016 -0.02%
    10-2016 -0.24%
    11-2016 -1.58%
    12-2016 0.48%
2016 4.81%
    1-2015 NaN%
    2-2015 -0.18%
    3-2015 2.24%
    4-2015 -0.66%
    5-2015 0.17%
    6-2015 0.26%
    7-2015 -1.74%
    8-2015 0.98%
    9-2015 -3.34%
    10-2015 -1.49%
    11-2015 3.76%
    12-2015 -0.05%
2015 -2.1%
    1-2014 NaN%
    2-2014 -0.97%
    3-2014 2.55%
    4-2014 -0.16%
    5-2014 0.38%
    6-2014 1.49%
    7-2014 0.95%
    8-2014 -1.2%
    9-2014 2.4%
    10-2014 -1.88%
    11-2014 1.59%
    12-2014 1.31%
2014 5.84%
    1-2013 NaN%
    2-2013 2.19%
    3-2013 0.7%
    4-2013 1.44%
    5-2013 1.31%
    6-2013 -0.04%
    7-2013 -1.94%
    8-2013 2.69%
    9-2013 -1.77%
    10-2013 2.14%
    11-2013 2.37%
    12-2013 1.02%
2013 12.14%
    1-2012 NaN%
    2-2012 2.97%
    3-2012 2.04%
    4-2012 0.69%
    5-2012 0.08%
    6-2012 -2.99%
    7-2012 1.74%
    8-2012 1.07%
    9-2012 1.18%
    10-2012 0.99%
    11-2012 -0.81%
    12-2012 0.42%
2012 7.4%
    1-2011 NaN%
    2-2011 0.93%
    3-2011 1.72%
    4-2011 -0.15%
    5-2011 2.13%
    6-2011 -0.15%
    7-2011 -1.39%
    8-2011 -0.42%
    9-2011 -2.53%
    10-2011 -4%
    11-2011 5.66%
    12-2011 -0.54%
2011 0.65%
