    1-2021 NaN%
    2-2021 -0.41%
    3-2021 1.65%
    4-2021 1.33%
    5-2021 3.17%
    6-2021 1.37%
    7-2021 0.52%
2021 8.47%
    1-2020 NaN%
    2-2020 -0.8%
    3-2020 -5.2%
    4-2020 -11.63%
    5-2020 8.36%
    6-2020 3.92%
    7-2020 2.23%
    8-2020 3.99%
    9-2020 4.01%
    10-2020 -2.45%
    11-2020 -1.84%
    12-2020 9.68%
2020 11.62%
    1-2019 NaN%
    2-2019 6.28%
    3-2019 1.88%
    4-2019 0.92%
    5-2019 2.48%
    6-2019 -4.08%
    7-2019 4.44%
    8-2019 -0.18%
    9-2019 -0.99%
    10-2019 1.07%
    11-2019 2.08%
    12-2019 1.77%
2019 18.72%
    1-2018 NaN%
    2-2018 3.76%
    3-2018 -3.62%
    4-2018 -1.13%
    5-2018 0.18%
    6-2018 0.44%
    7-2018 -1.13%
    8-2018 2.15%
    9-2018 0.54%
    10-2018 -0.39%
    11-2018 -6.14%
    12-2018 1.32%
2018 -9.63%
    1-2017 NaN%
    2-2017 2.22%
    3-2017 2.06%
    4-2017 0.73%
    5-2017 1.36%
    6-2017 1.62%
    7-2017 -0.07%
    8-2017 2.04%
    9-2017 0.46%
    10-2017 1.04%
    11-2017 1.52%
    12-2017 1.35%
2017 16.32%
    1-2016 NaN%
    2-2016 -3.93%
    3-2016 -0.74%
    4-2016 5.59%
    5-2016 1.13%
    6-2016 0.24%
    7-2016 -0.43%
    8-2016 3.26%
    9-2016 0.27%
    10-2016 0.12%
    11-2016 -1.73%
    12-2016 0.15%
2016 4.53%
    1-2015 NaN%
    2-2015 -0.44%
    3-2015 3.9%
    4-2015 -1.19%
    5-2015 1.93%
    6-2015 0%
    7-2015 -2.48%
    8-2015 0.45%
    9-2015 -5.12%
    10-2015 -2.79%
    11-2015 5.25%
    12-2015 -0.4%
2015 -3.66%
    1-2014 NaN%
    2-2014 -2.61%
    3-2014 3.88%
    4-2014 -0.18%
    5-2014 0.66%
    6-2014 1.74%
    7-2014 1.01%
    8-2014 -1.45%
    9-2014 2.19%
    10-2014 -3.26%
    11-2014 1.12%
    12-2014 0.92%
2014 1.99%
    1-2013 NaN%
    2-2013 3.09%
    3-2013 0.12%
    4-2013 1.44%
    5-2013 2.15%
    6-2013 -0.71%
    7-2013 -2.99%
    8-2013 3.77%
    9-2013 -1.89%
    10-2013 3.9%
    11-2013 3.04%
    12-2013 0.97%
2013 14.85%
    1-2012 NaN%
    2-2012 4.81%
    3-2012 3.45%
    4-2012 0.48%
    5-2012 -0.7%
    6-2012 -6.3%
    7-2012 3.47%
    8-2012 0.85%
    9-2012 1.92%
    10-2012 1.48%
    11-2012 -0.46%
    12-2012 0.97%
2012 10.93%
    1-2011 NaN%
    2-2011 1.04%
    3-2011 2.35%
    4-2011 -0.21%
    5-2011 3.34%
    6-2011 -1.25%
    7-2011 -1.54%
    8-2011 -1.1%
    9-2011 -5.12%
    10-2011 -7.53%
    11-2011 8.1%
    12-2011 -1.31%
2011 -5.8%
