    1-2021 NaN%
    2-2021 -0.82%
    3-2021 -0.68%
    4-2021 -0.64%
    5-2021 1.67%
    6-2021 0.16%
    7-2021 0.94%
2021 1.54%
    1-2020 NaN%
    2-2020 1.51%
    3-2020 -0.42%
    4-2020 -3.47%
    5-2020 3.85%
    6-2020 1.35%
    7-2020 0.78%
    8-2020 2.23%
    9-2020 0.48%
    10-2020 -0.86%
    11-2020 -1.05%
    12-2020 3.2%
2020 7.9%
    1-2019 NaN%
    2-2019 2.33%
    3-2019 0.48%
    4-2019 1.55%
    5-2019 0.65%
    6-2019 -0.01%
    7-2019 2.06%
    8-2019 0.29%
    9-2019 1.65%
    10-2019 -0.39%
    11-2019 0.42%
    12-2019 0.54%
2019 10.26%
    1-2018 NaN%
    2-2018 0.02%
    3-2018 -1.72%
    4-2018 -0.17%
    5-2018 -0.76%
    6-2018 0.87%
    7-2018 -0.1%
    8-2018 0.52%
    9-2018 0.92%
    10-2018 -0.68%
    11-2018 -2.25%
    12-2018 0.65%
2018 -3.62%
    1-2017 NaN%
    2-2017 0.46%
    3-2017 1.12%
    4-2017 -0.3%
    5-2017 0.66%
    6-2017 0.58%
    7-2017 -0.06%
    8-2017 0.52%
    9-2017 0.55%
    10-2017 -0.18%
    11-2017 0.36%
    12-2017 0.31%
2017 4.55%
    1-2016 NaN%
    2-2016 -0.15%
    3-2016 0.36%
    4-2016 1.9%
    5-2016 0.28%
    6-2016 0.21%
    7-2016 1.36%
    8-2016 1.15%
    9-2016 -0.23%
    10-2016 -0.28%
    11-2016 -1.24%
    12-2016 -1.37%
2016 2.16%
    1-2015 NaN%
    2-2015 1.14%
    3-2015 0.14%
    4-2015 -0.15%
    5-2015 -0.35%
    6-2015 -0.23%
    7-2015 -1.38%
    8-2015 0.78%
    9-2015 -1.65%
    10-2015 -0.24%
    11-2015 1.42%
    12-2015 -0.26%
2015 -2.01%
    1-2014 NaN%
    2-2014 0.44%
    3-2014 1.17%
    4-2014 -0.28%
    5-2014 0.46%
    6-2014 1.1%
    7-2014 0.36%
    8-2014 -0.77%
    9-2014 1.58%
    10-2014 -1.25%
    11-2014 1.14%
    12-2014 0.85%
2014 4.45%
    1-2013 NaN%
    2-2013 0.38%
    3-2013 0.55%
    4-2013 0.47%
    5-2013 0.92%
    6-2013 -1.05%
    7-2013 -1.81%
    8-2013 1.09%
    9-2013 -1.23%
    10-2013 1.24%
    11-2013 1.3%
    12-2013 0.13%
2013 2.37%
    1-2012 NaN%
    2-2012 1.53%
    3-2012 0.63%
    4-2012 -0.2%
    5-2012 0.61%
    6-2012 -0.67%
    7-2012 0.54%
    8-2012 1.14%
    9-2012 0.36%
    10-2012 0.34%
    11-2012 -0.42%
    12-2012 0.15%
2012 3.43%
    1-2011 NaN%
    2-2011 0.29%
    3-2011 0.65%
    4-2011 -0.22%
    5-2011 1.43%
    6-2011 0.59%
    7-2011 -0.96%
    8-2011 0.6%
    9-2011 -0.24%
    10-2011 -1.14%
    11-2011 2.24%
    12-2011 -0.49%
2011 2.85%
