    1-2021 NaN%
    2-2021 -0.78%
    3-2021 -0.51%
    4-2021 -0.53%
    5-2021 1.71%
    6-2021 0.38%
    7-2021 0.76%
2021 1.87%
    1-2020 NaN%
    2-2020 1.16%
    3-2020 -0.8%
    4-2020 -4.3%
    5-2020 4.05%
    6-2020 1.56%
    7-2020 0.99%
    8-2020 2.33%
    9-2020 0.69%
    10-2020 -0.95%
    11-2020 -1.12%
    12-2020 3.82%
2020 7.82%
    1-2019 NaN%
    2-2019 2.65%
    3-2019 0.53%
    4-2019 1.47%
    5-2019 0.76%
    6-2019 -0.34%
    7-2019 2.19%
    8-2019 0.11%
    9-2019 1.39%
    10-2019 -0.22%
    11-2019 0.63%
    12-2019 0.54%
2019 10.6%
    1-2018 NaN%
    2-2018 0.37%
    3-2018 -1.95%
    4-2018 -0.2%
    5-2018 -0.66%
    6-2018 0.64%
    7-2018 -0.34%
    8-2018 0.63%
    9-2018 0.65%
    10-2018 -0.65%
    11-2018 -2.64%
    12-2018 0.68%
2018 -4.57%
    1-2017 NaN%
    2-2017 0.7%
    3-2017 1.11%
    4-2017 -0.09%
    5-2017 0.77%
    6-2017 0.75%
    7-2017 -0.1%
    8-2017 0.72%
    9-2017 0.56%
    10-2017 -0.11%
    11-2017 0.46%
    12-2017 0.31%
2017 5.82%
    1-2016 NaN%
    2-2016 -0.5%
    3-2016 0.17%
    4-2016 2.29%
    5-2016 0.42%
    6-2016 0.1%
    7-2016 1.11%
    8-2016 1.36%
    9-2016 -0.17%
    10-2016 -0.2%
    11-2016 -1.26%
    12-2016 -1.5%
2016 2.01%
    1-2015 NaN%
    2-2015 1.12%
    3-2015 0.47%
    4-2015 -0.26%
    5-2015 0.04%
    6-2015 -0.31%
    7-2015 -1.55%
    8-2015 0.65%
    9-2015 -2.01%
    10-2015 -0.51%
    11-2015 1.71%
    12-2015 -0.35%
2015 -2.37%
    1-2014 NaN%
    2-2014 0.09%
    3-2014 1.45%
    4-2014 -0.29%
    5-2014 0.53%
    6-2014 1.15%
    7-2014 0.35%
    8-2014 -0.81%
    9-2014 1.51%
    10-2014 -1.55%
    11-2014 1.02%
    12-2014 0.75%
2014 3.5%
    1-2013 NaN%
    2-2013 0.54%
    3-2013 0.41%
    4-2013 0.44%
    5-2013 1.11%
    6-2013 -1.23%
    7-2013 -2.06%
    8-2013 1.3%
    9-2013 -1.25%
    10-2013 1.63%
    11-2013 1.43%
    12-2013 0.09%
2013 2.72%
    1-2012 NaN%
    2-2012 1.92%
    3-2012 0.93%
    4-2012 -0.27%
    5-2012 0.44%
    6-2012 -1.38%
    7-2012 0.91%
    8-2012 1.09%
    9-2012 0.51%
    10-2012 0.44%
    11-2012 -0.33%
    12-2012 0.27%
2012 4.15%
    1-2011 NaN%
    2-2011 0.3%
    3-2011 0.77%
    4-2011 -0.24%
    5-2011 1.7%
    6-2011 0.36%
    7-2011 -0.98%
    8-2011 0.48%
    9-2011 -0.79%
    10-2011 -1.88%
    11-2011 2.71%
    12-2011 -0.67%
2011 1.4%
