    1-2021 NaN%
    2-2021 -0.63%
    3-2021 0.37%
    4-2021 0.24%
    5-2021 2.33%
    6-2021 0.73%
    7-2021 0.72%
2021 4.62%
    1-2020 NaN%
    2-2020 0.43%
    3-2020 -2.58%
    4-2020 -7.2%
    5-2020 5.85%
    6-2020 2.51%
    7-2020 1.46%
    8-2020 3.02%
    9-2020 2.06%
    10-2020 -1.57%
    11-2020 -1.41%
    12-2020 6.16%
2020 9.5%
    1-2019 NaN%
    2-2019 4.12%
    3-2019 1.1%
    4-2019 1.26%
    5-2019 1.47%
    6-2019 -1.85%
    7-2019 3.12%
    8-2019 0.04%
    9-2019 0.44%
    10-2019 0.28%
    11-2019 1.19%
    12-2019 1.07%
2019 14%
    1-2018 NaN%
    2-2018 1.72%
    3-2018 -2.6%
    4-2018 -0.59%
    5-2018 -0.33%
    6-2018 0.63%
    7-2018 -0.6%
    8-2018 1.25%
    9-2018 0.69%
    10-2018 -0.54%
    11-2018 -4.03%
    12-2018 0.94%
2018 -6.45%
    1-2017 NaN%
    2-2017 1.28%
    3-2017 1.53%
    4-2017 0.2%
    5-2017 0.99%
    6-2017 1.07%
    7-2017 -0.07%
    8-2017 1.23%
    9-2017 0.51%
    10-2017 0.36%
    11-2017 0.88%
    12-2017 0.76%
2017 9.94%
    1-2016 NaN%
    2-2016 -1.87%
    3-2016 -0.16%
    4-2016 3.59%
    5-2016 0.68%
    6-2016 0.2%
    7-2016 0.52%
    8-2016 2.11%
    9-2016 -0%
    10-2016 -0.09%
    11-2016 -1.46%
    12-2016 -0.74%
2016 3.15%
    1-2015 NaN%
    2-2015 0.45%
    3-2015 1.85%
    4-2015 -0.62%
    5-2015 0.73%
    6-2015 -0.15%
    7-2015 -1.9%
    8-2015 0.61%
    9-2015 -3.24%
    10-2015 -1.41%
    11-2015 3.15%
    12-2015 -0.34%
2015 -2.81%
    1-2014 NaN%
    2-2014 -0.96%
    3-2014 2.41%
    4-2014 -0.24%
    5-2014 0.56%
    6-2014 1.39%
    7-2014 0.64%
    8-2014 -1.07%
    9-2014 1.83%
    10-2014 -2.19%
    11-2014 1.1%
    12-2014 0.86%
2014 3.16%
    1-2013 NaN%
    2-2013 1.59%
    3-2013 0.33%
    4-2013 0.88%
    5-2013 1.5%
    6-2013 -0.94%
    7-2013 -2.38%
    8-2013 2.3%
    9-2013 -1.52%
    10-2013 2.48%
    11-2013 2.08%
    12-2013 0.48%
2013 7.86%
    1-2012 NaN%
    2-2012 3.04%
    3-2012 1.92%
    4-2012 0.08%
    5-2012 0%
    6-2012 -3.27%
    7-2012 1.89%
    8-2012 1%
    9-2012 1.07%
    10-2012 0.86%
    11-2012 -0.42%
    12-2012 0.53%
2012 6.85%
    1-2011 NaN%
    2-2011 0.62%
    3-2011 1.42%
    4-2011 -0.22%
    5-2011 2.32%
    6-2011 -0.26%
    7-2011 -1.22%
    8-2011 -0.16%
    9-2011 -2.48%
    10-2011 -4.08%
    11-2011 4.89%
    12-2011 -0.89%
2011 -1.24%
