    1-2021 NaN%
    2-2021 -0.25%
    3-2021 2.84%
    4-2021 2.48%
    5-2021 4.2%
    6-2021 1.52%
    7-2021 0.84%
2021 12.68%
    1-2020 NaN%
    2-2020 -1.37%
    3-2020 -7.58%
    4-2020 -15.03%
    5-2020 11.17%
    6-2020 5.16%
    7-2020 2.6%
    8-2020 5.02%
    9-2020 6.03%
    10-2020 -3.38%
    11-2020 -2.19%
    12-2020 12.51%
2020 14.8%
    1-2019 NaN%
    2-2019 8.22%
    3-2019 2.78%
    4-2019 0.7%
    5-2019 3.49%
    6-2019 -6.07%
    7-2019 5.81%
    8-2019 0.1%
    9-2019 -2.14%
    10-2019 1.6%
    11-2019 2.64%
    12-2019 2.72%
2019 24.1%
    1-2018 NaN%
    2-2018 5.42%
    3-2018 -4.28%
    4-2018 -1.78%
    5-2018 0.54%
    6-2018 0.93%
    7-2018 -1.11%
    8-2018 3.02%
    9-2018 1.19%
    10-2018 -0.27%
    11-2018 -7.77%
    12-2018 1.74%
2018 -10.91%
    1-2017 NaN%
    2-2017 2.73%
    3-2017 2.82%
    4-2017 0.78%
    5-2017 1.52%
    6-2017 1.8%
    7-2017 0.06%
    8-2017 2.5%
    9-2017 0.35%
    10-2017 1.71%
    11-2017 2.08%
    12-2017 2.15%
2017 20.95%
    1-2016 NaN%
    2-2016 -5.65%
    3-2016 -0.92%
    4-2016 7.07%
    5-2016 1.28%
    6-2016 0.66%
    7-2016 -0.97%
    8-2016 4.14%
    9-2016 0.44%
    10-2016 0.14%
    11-2016 -2.02%
    12-2016 1.8%
2016 6.89%
    1-2015 NaN%
    2-2015 -1.59%
    3-2015 5.65%
    4-2015 -1.61%
    5-2015 2.28%
    6-2015 0.45%
    7-2015 -2.76%
    8-2015 0.66%
    9-2015 -6.51%
    10-2015 -3.81%
    11-2015 7.22%
    12-2015 -0.19%
2015 -3.65%
    1-2014 NaN%
    2-2014 -3.76%
    3-2014 5.01%
    4-2014 -0.08%
    5-2014 0.57%
    6-2014 2.06%
    7-2014 1.54%
    8-2014 -1.82%
    9-2014 2.93%
    10-2014 -3.74%
    11-2014 1.54%
    12-2014 1.34%
2014 3.44%
    1-2013 NaN%
    2-2013 4.64%
    3-2013 0.29%
    4-2013 2.3%
    5-2013 2.43%
    6-2013 0.22%
    7-2013 -3.04%
    8-2013 5.12%
    9-2013 -2.35%
    10-2013 4.6%
    11-2013 3.94%
    12-2013 1.76%
2013 23.31%
    1-2012 NaN%
    2-2012 5.98%
    3-2012 4.6%
    4-2012 1.28%
    5-2012 -1.11%
    6-2012 -8.16%
    7-2012 4.43%
    8-2012 0.8%
    9-2012 2.6%
    10-2012 2.02%
    11-2012 -0.82%
    12-2012 1.18%
2012 14.22%
    1-2011 NaN%
    2-2011 1.6%
    3-2011 3.26%
    4-2011 -0.14%
    5-2011 3.89%
    6-2011 -1.84%
    7-2011 -1.91%
    8-2011 -1.96%
    9-2011 -6.99%
    10-2011 -9.85%
    11-2011 10.98%
    12-2011 -1.31%
2011 -7.36%
