    1-2021 NaN%
    2-2021 -0.54%
    3-2021 1.49%
    4-2021 1.48%
    5-2021 3.62%
    6-2021 0.31%
    7-2021 1.67%
2021 9.45%
    1-2020 NaN%
    2-2020 0.62%
    3-2020 -4.78%
    4-2020 -9.5%
    5-2020 9.14%
    6-2020 3.62%
    7-2020 1.37%
    8-2020 4.16%
    9-2020 4.25%
    10-2020 -2.6%
    11-2020 -1.67%
    12-2020 8.26%
2020 14.08%
    1-2019 NaN%
    2-2019 5.86%
    3-2019 2.18%
    4-2019 1.19%
    5-2019 2.52%
    6-2019 -3.62%
    7-2019 4.61%
    8-2019 0.93%
    9-2019 -0.41%
    10-2019 0.52%
    11-2019 1.37%
    12-2019 2.37%
2019 20.43%
    1-2018 NaN%
    2-2018 3%
    3-2018 -2.84%
    4-2018 -1.41%
    5-2018 -0.12%
    6-2018 1.97%
    7-2018 0.1%
    8-2018 2.11%
    9-2018 2.35%
    10-2018 -0.47%
    11-2018 -5.15%
    12-2018 1.45%
2018 -5.49%
    1-2017 NaN%
    2-2017 1.28%
    3-2017 2.57%
    4-2017 -0.34%
    5-2017 0.88%
    6-2017 0.83%
    7-2017 0.24%
    8-2017 1.28%
    9-2017 0.33%
    10-2017 1.06%
    11-2017 1.38%
    12-2017 1.85%
2017 12.66%
    1-2016 NaN%
    2-2016 -3.25%
    3-2016 0.14%
    4-2016 4.51%
    5-2016 0.48%
    6-2016 1.09%
    7-2016 0.49%
    8-2016 2.72%
    9-2016 0.05%
    10-2016 -0.31%
    11-2016 -1.79%
    12-2016 1.9%
2016 6.8%
    1-2015 NaN%
    2-2015 -1.06%
    3-2015 3.3%
    4-2015 -0.89%
    5-2015 0.08%
    6-2015 0.68%
    7-2015 -1.8%
    8-2015 1.27%
    9-2015 -4.1%
    10-2015 -2.04%
    11-2015 5.05%
    12-2015 0.2%
2015 -1.76%
    1-2014 NaN%
    2-2014 -1.55%
    3-2014 3.19%
    4-2014 -0.08%
    5-2014 0.24%
    6-2014 1.7%
    7-2014 1.36%
    8-2014 -1.45%
    9-2014 3.04%
    10-2014 -1.98%
    11-2014 2.04%
    12-2014 1.74%
2014 7.86%
    1-2013 NaN%
    2-2013 3.26%
    3-2013 0.96%
    4-2013 2.14%
    5-2013 1.36%
    6-2013 0.86%
    7-2013 -1.75%
    8-2013 3.55%
    9-2013 -2.11%
    10-2013 2.33%
    11-2013 2.96%
    12-2013 1.68%
2013 18.46%
    1-2012 NaN%
    2-2012 3.52%
    3-2012 2.67%
    4-2012 1.39%
    5-2012 -0.09%
    6-2012 -3.8%
    7-2012 2.16%
    8-2012 1.08%
    9-2012 1.57%
    10-2012 1.32%
    11-2012 -1.17%
    12-2012 0.48%
2012 9.32%
    1-2011 NaN%
    2-2011 1.35%
    3-2011 2.32%
    4-2011 -0.08%
    5-2011 2.31%
    6-2011 -0.39%
    7-2011 -1.66%
    8-2011 -0.99%
    9-2011 -3.49%
    10-2011 -5.13%
    11-2011 7.47%
    12-2011 -0.38%
2011 0.76%
