    1-2021 NaN%
    2-2021 -0.47%
    3-2021 1.91%
    4-2021 1.83%
    5-2021 3.88%
    6-2021 0.55%
    7-2021 1.57%
2021 10.66%
    1-2020 NaN%
    2-2020 0.18%
    3-2020 -5.64%
    4-2020 -11%
    5-2020 9.93%
    6-2020 4.08%
    7-2020 1.65%
    8-2020 4.47%
    9-2020 4.87%
    10-2020 -2.88%
    11-2020 -1.81%
    12-2020 9.45%
2020 14.69%
    1-2019 NaN%
    2-2019 6.57%
    3-2019 2.43%
    4-2019 1.07%
    5-2019 2.84%
    6-2019 -4.36%
    7-2019 5.03%
    8-2019 0.83%
    9-2019 -0.89%
    10-2019 0.8%
    11-2019 1.68%
    12-2019 2.57%
2019 21.9%
    1-2018 NaN%
    2-2018 3.68%
    3-2018 -3.2%
    4-2018 -1.58%
    5-2018 0.05%
    6-2018 1.86%
    7-2018 -0.11%
    8-2018 2.4%
    9-2018 2.24%
    10-2018 -0.42%
    11-2018 -5.86%
    12-2018 1.57%
2018 -6.65%
    1-2017 NaN%
    2-2017 1.62%
    3-2017 2.73%
    4-2017 -0.13%
    5-2017 1.02%
    6-2017 1.03%
    7-2017 0.23%
    8-2017 1.56%
    9-2017 0.32%
    10-2017 1.27%
    11-2017 1.59%
    12-2017 2.02%
2017 14.83%
    1-2016 NaN%
    2-2016 -3.93%
    3-2016 -0.08%
    4-2016 5.19%
    5-2016 0.65%
    6-2016 1.07%
    7-2016 0.15%
    8-2016 3.11%
    9-2016 0.15%
    10-2016 -0.23%
    11-2016 -1.87%
    12-2016 2.14%
2016 7.17%
    1-2015 NaN%
    2-2015 -1.33%
    3-2015 3.98%
    4-2015 -1.08%
    5-2015 0.53%
    6-2015 0.71%
    7-2015 -2.01%
    8-2015 1.19%
    9-2015 -4.74%
    10-2015 -2.51%
    11-2015 5.73%
    12-2015 0.16%
2015 -2.1%
    1-2014 NaN%
    2-2014 -2.12%
    3-2014 3.68%
    4-2014 -0.06%
    5-2014 0.28%
    6-2014 1.82%
    7-2014 1.47%
    8-2014 -1.57%
    9-2014 3.13%
    10-2014 -2.37%
    11-2014 2.02%
    12-2014 1.73%
2014 7.29%
    1-2013 NaN%
    2-2013 3.74%
    3-2013 0.86%
    4-2013 2.3%
    5-2013 1.59%
    6-2013 0.89%
    7-2013 -1.99%
    8-2013 4.03%
    9-2013 -2.23%
    10-2013 2.83%
    11-2013 3.27%
    12-2013 1.81%
2013 20.59%
    1-2012 NaN%
    2-2012 4.14%
    3-2012 3.19%
    4-2012 1.49%
    5-2012 -0.33%
    6-2012 -4.85%
    7-2012 2.71%
    8-2012 1.02%
    9-2012 1.85%
    10-2012 1.53%
    11-2012 -1.16%
    12-2012 0.64%
2012 10.69%
    1-2011 NaN%
    2-2011 1.48%
    3-2011 2.63%
    4-2011 -0.08%
    5-2011 2.67%
    6-2011 -0.74%
    7-2011 -1.76%
    8-2011 -1.29%
    9-2011 -4.4%
    10-2011 -6.32%
    11-2011 8.53%
    12-2011 -0.54%
2011 -0.92%
