    1-2021 NaN%
    2-2021 -0.59%
    3-2021 0.55%
    4-2021 0.36%
    5-2021 2.39%
    6-2021 0.94%
    7-2021 0.55%
2021 4.98%
    1-2020 NaN%
    2-2020 0.1%
    3-2020 -2.97%
    4-2020 -8.02%
    5-2020 6.07%
    6-2020 2.73%
    7-2020 1.66%
    8-2020 3.12%
    9-2020 2.28%
    10-2020 -1.66%
    11-2020 -1.49%
    12-2020 6.77%
2020 9.47%
    1-2019 NaN%
    2-2019 4.44%
    3-2019 1.16%
    4-2019 1.18%
    5-2019 1.59%
    6-2019 -2.19%
    7-2019 3.27%
    8-2019 -0.12%
    9-2019 0.19%
    10-2019 0.44%
    11-2019 1.38%
    12-2019 1.09%
2019 14.39%
    1-2018 NaN%
    2-2018 2.07%
    3-2018 -2.82%
    4-2018 -0.62%
    5-2018 -0.23%
    6-2018 0.42%
    7-2018 -0.82%
    8-2018 1.37%
    9-2018 0.45%
    10-2018 -0.51%
    11-2018 -4.42%
    12-2018 0.98%
2018 -7.35%
    1-2017 NaN%
    2-2017 1.51%
    3-2017 1.53%
    4-2017 0.39%
    5-2017 1.1%
    6-2017 1.23%
    7-2017 -0.11%
    8-2017 1.42%
    9-2017 0.52%
    10-2017 0.45%
    11-2017 0.98%
    12-2017 0.78%
2017 11.19%
    1-2016 NaN%
    2-2016 -2.21%
    3-2016 -0.34%
    4-2016 3.97%
    5-2016 0.81%
    6-2016 0.1%
    7-2016 0.29%
    8-2016 2.32%
    9-2016 0.06%
    10-2016 -0.01%
    11-2016 -1.48%
    12-2016 -0.84%
2016 3.05%
    1-2015 NaN%
    2-2015 0.41%
    3-2015 2.18%
    4-2015 -0.73%
    5-2015 1.1%
    6-2015 -0.21%
    7-2015 -2.06%
    8-2015 0.49%
    9-2015 -3.6%
    10-2015 -1.67%
    11-2015 3.44%
    12-2015 -0.42%
2015 -3.14%
    1-2014 NaN%
    2-2014 -1.3%
    3-2014 2.68%
    4-2014 -0.25%
    5-2014 0.63%
    6-2014 1.44%
    7-2014 0.65%
    8-2014 -1.12%
    9-2014 1.77%
    10-2014 -2.48%
    11-2014 0.99%
    12-2014 0.76%
2014 2.3%
    1-2013 NaN%
    2-2013 1.76%
    3-2013 0.2%
    4-2013 0.87%
    5-2013 1.67%
    6-2013 -1.1%
    7-2013 -2.6%
    8-2013 2.52%
    9-2013 -1.54%
    10-2013 2.85%
    11-2013 2.21%
    12-2013 0.46%
2013 8.31%
    1-2012 NaN%
    2-2012 3.42%
    3-2012 2.21%
    4-2012 0.02%
    5-2012 -0.16%
    6-2012 -3.96%
    7-2012 2.25%
    8-2012 0.95%
    9-2012 1.22%
    10-2012 0.96%
    11-2012 -0.34%
    12-2012 0.64%
2012 7.56%
    1-2011 NaN%
    2-2011 0.63%
    3-2011 1.54%
    4-2011 -0.24%
    5-2011 2.58%
    6-2011 -0.49%
    7-2011 -1.25%
    8-2011 -0.29%
    9-2011 -3.01%
    10-2011 -4.8%
    11-2011 5.37%
    12-2011 -1.06%
2011 -2.61%
