    1-2021 NaN%
    2-2021 -0.37%
    3-2021 1.87%
    4-2021 1.53%
    5-2021 3.33%
    6-2021 1.45%
    7-2021 0.51%
2021 9.16%
    1-2020 NaN%
    2-2020 -0.98%
    3-2020 -5.65%
    4-2020 -12.35%
    5-2020 8.81%
    6-2020 4.16%
    7-2020 2.34%
    8-2020 4.17%
    9-2020 4.36%
    10-2020 -2.61%
    11-2020 -1.91%
    12-2020 10.27%
2020 12.05%
    1-2019 NaN%
    2-2019 6.65%
    3-2019 2.02%
    4-2019 0.86%
    5-2019 2.66%
    6-2019 -4.46%
    7-2019 4.67%
    8-2019 -0.19%
    9-2019 -1.23%
    10-2019 1.19%
    11-2019 2.21%
    12-2019 1.91%
2019 19.58%
    1-2018 NaN%
    2-2018 4.1%
    3-2018 -3.78%
    4-2018 -1.23%
    5-2018 0.26%
    6-2018 0.45%
    7-2018 -1.19%
    8-2018 2.31%
    9-2018 0.55%
    10-2018 -0.36%
    11-2018 -6.49%
    12-2018 1.38%
2018 -10.08%
    1-2017 NaN%
    2-2017 2.36%
    3-2017 2.17%
    4-2017 0.8%
    5-2017 1.42%
    6-2017 1.69%
    7-2017 -0.07%
    8-2017 2.16%
    9-2017 0.44%
    10-2017 1.16%
    11-2017 1.63%
    12-2017 1.46%
2017 17.34%
    1-2016 NaN%
    2-2016 -4.28%
    3-2016 -0.82%
    4-2016 5.91%
    5-2016 1.19%
    6-2016 0.27%
    7-2016 -0.58%
    8-2016 3.44%
    9-2016 0.31%
    10-2016 0.15%
    11-2016 -1.78%
    12-2016 0.35%
2016 4.83%
    1-2015 NaN%
    2-2015 -0.61%
    3-2015 4.25%
    4-2015 -1.28%
    5-2015 2.09%
    6-2015 0.05%
    7-2015 -2.57%
    8-2015 0.45%
    9-2015 -5.42%
    10-2015 -3.02%
    11-2015 5.61%
    12-2015 -0.39%
2015 -3.76%
    1-2014 NaN%
    2-2014 -2.88%
    3-2014 4.12%
    4-2014 -0.17%
    5-2014 0.67%
    6-2014 1.8%
    7-2014 1.09%
    8-2014 -1.52%
    9-2014 2.28%
    10-2014 -3.41%
    11-2014 1.14%
    12-2014 0.95%
2014 1.92%
    1-2013 NaN%
    2-2013 3.36%
    3-2013 0.1%
    4-2013 1.56%
    5-2013 2.24%
    6-2013 -0.63%
    7-2013 -3.06%
    8-2013 4.02%
    9-2013 -1.96%
    10-2013 4.11%
    11-2013 3.21%
    12-2013 1.07%
2013 16.16%
    1-2012 NaN%
    2-2012 5.09%
    3-2012 3.7%
    4-2012 0.58%
    5-2012 -0.8%
    6-2012 -6.76%
    7-2012 3.71%
    8-2012 0.82%
    9-2012 2.06%
    10-2012 1.58%
    11-2012 -0.49%
    12-2012 1.03%
2012 11.6%
    1-2011 NaN%
    2-2011 1.12%
    3-2011 2.52%
    4-2011 -0.21%
    5-2011 3.5%
    6-2011 -1.41%
    7-2011 -1.6%
    8-2011 -1.26%
    9-2011 -5.54%
    10-2011 -8.07%
    11-2011 8.65%
    12-2011 -1.37%
2011 -6.43%
