    1-2021 NaN%
    2-2021 -0.32%
    3-2021 2.39%
    4-2021 2.07%
    5-2021 3.86%
    6-2021 1.38%
    7-2021 0.81%
2021 11.22%
    1-2020 NaN%
    2-2020 -1.04%
    3-2020 -6.68%
    4-2020 -13.61%
    5-2020 10.2%
    6-2020 4.68%
    7-2020 2.39%
    8-2020 4.66%
    9-2020 5.31%
    10-2020 -3.05%
    11-2020 -2.05%
    12-2020 11.36%
2020 13.84%
    1-2019 NaN%
    2-2019 7.47%
    3-2019 2.48%
    4-2019 0.8%
    5-2019 3.12%
    6-2019 -5.3%
    7-2019 5.32%
    8-2019 0.09%
    9-2019 -1.67%
    10-2019 1.36%
    11-2019 2.37%
    12-2019 2.42%
2019 22.27%
    1-2018 NaN%
    2-2018 4.75%
    3-2018 -3.97%
    4-2018 -1.56%
    5-2018 0.38%
    6-2018 0.88%
    7-2018 -1.01%
    8-2018 2.7%
    9-2018 1.1%
    10-2018 -0.32%
    11-2018 -7.09%
    12-2018 1.6%
2018 -10.1%
    1-2017 NaN%
    2-2017 2.47%
    3-2017 2.58%
    4-2017 0.67%
    5-2017 1.42%
    6-2017 1.67%
    7-2017 0.04%
    8-2017 2.27%
    9-2017 0.38%
    10-2017 1.47%
    11-2017 1.86%
    12-2017 1.89%
2017 18.95%
    1-2016 NaN%
    2-2016 -4.96%
    3-2016 -0.78%
    4-2016 6.44%
    5-2016 1.17%
    6-2016 0.57%
    7-2016 -0.7%
    8-2016 3.77%
    9-2016 0.36%
    10-2016 0.1%
    11-2016 -1.92%
    12-2016 1.34%
2016 6.21%
    1-2015 NaN%
    2-2015 -1.22%
    3-2015 4.96%
    4-2015 -1.43%
    5-2015 2%
    6-2015 0.34%
    7-2015 -2.6%
    8-2015 0.65%
    9-2015 -5.92%
    10-2015 -3.38%
    11-2015 6.48%
    12-2015 -0.21%
2015 -3.5%
    1-2014 NaN%
    2-2014 -3.25%
    3-2014 4.54%
    4-2014 -0.11%
    5-2014 0.57%
    6-2014 1.94%
    7-2014 1.37%
    8-2014 -1.68%
    9-2014 2.73%
    10-2014 -3.46%
    11-2014 1.46%
    12-2014 1.25%
2014 3.39%
    1-2013 NaN%
    2-2013 4.09%
    3-2013 0.29%
    4-2013 2.04%
    5-2013 2.26%
    6-2013 0.01%
    7-2013 -2.92%
    8-2013 4.6%
    9-2013 -2.2%
    10-2013 4.21%
    11-2013 3.6%
    12-2013 1.53%
2013 20.5%
    1-2012 NaN%
    2-2012 5.44%
    3-2012 4.11%
    4-2012 1.06%
    5-2012 -0.91%
    6-2012 -7.27%
    7-2012 3.97%
    8-2012 0.83%
    9-2012 2.32%
    10-2012 1.81%
    11-2012 -0.75%
    12-2012 1.06%
2012 12.88%
    1-2011 NaN%
    2-2011 1.42%
    3-2011 2.93%
    4-2011 -0.16%
    5-2011 3.6%
    6-2011 -1.56%
    7-2011 -1.79%
    8-2011 -1.64%
    9-2011 -6.17%
    10-2011 -8.8%
    11-2011 9.87%
    12-2011 -1.24%
2011 -6.25%
