    1-2021 NaN%
    2-2021 -0.64%
    3-2021 0.77%
    4-2021 0.78%
    5-2021 2.97%
    6-2021 0.26%
    7-2021 1.43%
2021 6.82%
    1-2020 NaN%
    2-2020 0.91%
    3-2020 -3.33%
    4-2020 -7.49%
    5-2020 7.38%
    6-2020 2.86%
    7-2020 1.17%
    8-2020 3.51%
    9-2020 2.99%
    10-2020 -2.02%
    11-2020 -1.46%
    12-2020 6.58%
2020 12.02%
    1-2019 NaN%
    2-2019 4.68%
    3-2019 1.61%
    4-2019 1.31%
    5-2019 1.89%
    6-2019 -2.42%
    7-2019 3.76%
    8-2019 0.72%
    9-2019 0.28%
    10-2019 0.22%
    11-2019 1.05%
    12-2019 1.76%
2019 17.04%
    1-2018 NaN%
    2-2018 2.01%
    3-2018 -2.47%
    4-2018 -1%
    5-2018 -0.33%
    6-2018 1.6%
    7-2018 0.03%
    8-2018 1.58%
    9-2018 1.87%
    10-2018 -0.54%
    11-2018 -4.18%
    12-2018 1.18%
2018 -4.87%
    1-2017 NaN%
    2-2017 1.01%
    3-2017 2.09%
    4-2017 -0.33%
    5-2017 0.81%
    6-2017 0.74%
    7-2017 0.14%
    8-2017 1.03%
    9-2017 0.41%
    10-2017 0.64%
    11-2017 1.04%
    12-2017 1.34%
2017 9.96%
    1-2016 NaN%
    2-2016 -2.21%
    3-2016 0.21%
    4-2016 3.64%
    5-2016 0.42%
    6-2016 0.79%
    7-2016 0.78%
    8-2016 2.2%
    9-2016 -0.04%
    10-2016 -0.3%
    11-2016 -1.6%
    12-2016 0.81%
2016 5.25%
    1-2015 NaN%
    2-2015 -0.33%
    3-2015 2.25%
    4-2015 -0.64%
    5-2015 -0.06%
    6-2015 0.37%
    7-2015 -1.66%
    8-2015 1.11%
    9-2015 -3.28%
    10-2015 -1.44%
    11-2015 3.84%
    12-2015 0.05%
2015 -1.84%
    1-2014 NaN%
    2-2014 -0.89%
    3-2014 2.52%
    4-2014 -0.14%
    5-2014 0.31%
    6-2014 1.5%
    7-2014 1.03%
    8-2014 -1.22%
    9-2014 2.55%
    10-2014 -1.73%
    11-2014 1.74%
    12-2014 1.44%
2014 6.73%
    1-2013 NaN%
    2-2013 2.3%
    3-2013 0.82%
    4-2013 1.58%
    5-2013 1.21%
    6-2013 0.23%
    7-2013 -1.77%
    8-2013 2.73%
    9-2013 -1.82%
    10-2013 1.96%
    11-2013 2.4%
    12-2013 1.16%
2013 13.09%
    1-2012 NaN%
    2-2012 2.86%
    3-2012 1.99%
    4-2012 0.86%
    5-2012 0.14%
    6-2012 -2.75%
    7-2012 1.62%
    8-2012 1.1%
    9-2012 1.17%
    10-2012 0.99%
    11-2012 -0.92%
    12-2012 0.37%
2012 7.36%
    1-2011 NaN%
    2-2011 1%
    3-2011 1.77%
    4-2011 -0.13%
    5-2011 2.02%
    6-2011 -0.06%
    7-2011 -1.43%
    8-2011 -0.46%
    9-2011 -2.41%
    10-2011 -3.8%
    11-2011 5.73%
    12-2011 -0.42%
2011 1.46%
