    1-2021 NaN%
    2-2021 -0.37%
    3-2021 2.24%
    4-2021 2.01%
    5-2021 3.89%
    6-2021 1.08%
    7-2021 1.1%
2021 11.1%
    1-2020 NaN%
    2-2020 -0.6%
    3-2020 -6.34%
    4-2020 -12.72%
    5-2020 10.16%
    6-2020 4.49%
    7-2020 2.12%
    8-2020 4.61%
    9-2020 5.19%
    10-2020 -3.01%
    11-2020 -1.97%
    12-2020 10.71%
2020 14.22%
    1-2019 NaN%
    2-2019 7.18%
    3-2019 2.48%
    4-2019 0.9%
    5-2019 3.04%
    6-2019 -4.99%
    7-2019 5.24%
    8-2019 0.37%
    9-2019 -1.41%
    10-2019 1.16%
    11-2019 2.13%
    12-2019 2.5%
2019 22.25%
    1-2018 NaN%
    2-2018 4.39%
    3-2018 -3.7%
    4-2018 -1.58%
    5-2018 0.27%
    6-2018 1.25%
    7-2018 -0.68%
    8-2018 2.61%
    9-2018 1.53%
    10-2018 -0.35%
    11-2018 -6.67%
    12-2018 1.6%
2018 -8.85%
    1-2017 NaN%
    2-2017 2.16%
    3-2017 2.66%
    4-2017 0.38%
    5-2017 1.27%
    6-2017 1.44%
    7-2017 0.11%
    8-2017 2.02%
    9-2017 0.35%
    10-2017 1.41%
    11-2017 1.77%
    12-2017 1.96%
2017 17.53%
    1-2016 NaN%
    2-2016 -4.62%
    3-2016 -0.52%
    4-2016 6.01%
    5-2016 0.98%
    6-2016 0.77%
    7-2016 -0.4%
    8-2016 3.55%
    9-2016 0.28%
    10-2016 -0.02%
    11-2016 -1.91%
    12-2016 1.67%
2016 6.62%
    1-2015 NaN%
    2-2015 -1.28%
    3-2015 4.64%
    4-2015 -1.31%
    5-2015 1.46%
    6-2015 0.49%
    7-2015 -2.39%
    8-2015 0.86%
    9-2015 -5.51%
    10-2015 -3.08%
    11-2015 6.25%
    12-2015 -0.07%
2015 -2.98%
    1-2014 NaN%
    2-2014 -2.86%
    3-2014 4.25%
    4-2014 -0.09%
    5-2014 0.46%
    6-2014 1.9%
    7-2014 1.42%
    8-2014 -1.65%
    9-2014 2.89%
    10-2014 -3.06%
    11-2014 1.68%
    12-2014 1.44%
2014 4.87%
    1-2013 NaN%
    2-2013 3.99%
    3-2013 0.51%
    4-2013 2.16%
    5-2013 2.02%
    6-2013 0.36%
    7-2013 -2.57%
    8-2013 4.42%
    9-2013 -2.22%
    10-2013 3.72%
    11-2013 3.5%
    12-2013 1.65%
2013 20.72%
    1-2012 NaN%
    2-2012 4.99%
    3-2012 3.8%
    4-2012 1.24%
    5-2012 -0.7%
    6-2012 -6.41%
    7-2012 3.52%
    8-2012 0.9%
    9-2012 2.16%
    10-2012 1.71%
    11-2012 -0.91%
    12-2012 0.91%
2012 12.14%
    1-2011 NaN%
    2-2011 1.46%
    3-2011 2.84%
    4-2011 -0.13%
    5-2011 3.27%
    6-2011 -1.27%
    7-2011 -1.79%
    8-2011 -1.53%
    9-2011 -5.55%
    10-2011 -7.93%
    11-2011 9.44%
    12-2011 -0.98%
2011 -4.31%
