    1-2021 NaN%
    2-2021 -0.34%
    3-2021 2.86%
    4-2021 2.75%
    5-2021 4.7%
    6-2021 0.68%
    7-2021 1.82%
2021 14.04%
    1-2020 NaN%
    2-2020 -0.28%
    3-2020 -7.54%
    4-2020 -13.72%
    5-2020 12.17%
    6-2020 5.07%
    7-2020 1.95%
    8-2020 5.29%
    9-2020 6.48%
    10-2020 -3.62%
    11-2020 -2.09%
    12-2020 11.71%
2020 17.23%
    1-2019 NaN%
    2-2019 8.12%
    3-2019 3.15%
    4-2019 0.9%
    5-2019 3.65%
    6-2019 -5.94%
    7-2019 6.12%
    8-2019 1.05%
    9-2019 -1.81%
    10-2019 1.22%
    11-2019 2.13%
    12-2019 3.33%
2019 26.21%
    1-2018 NaN%
    2-2018 5.01%
    3-2018 -3.72%
    4-2018 -2.1%
    5-2018 0.35%
    6-2018 2.25%
    7-2018 -0.09%
    8-2018 3.09%
    9-2018 2.76%
    10-2018 -0.33%
    11-2018 -7.17%
    12-2018 1.91%
2018 -7.68%
    1-2017 NaN%
    2-2017 2.03%
    3-2017 3.34%
    4-2017 -0.09%
    5-2017 1.14%
    6-2017 1.18%
    7-2017 0.34%
    8-2017 1.93%
    9-2017 0.23%
    10-2017 1.81%
    11-2017 2.04%
    12-2017 2.66%
2017 18.54%
    1-2016 NaN%
    2-2016 -5.31%
    3-2016 -0.22%
    4-2016 6.37%
    5-2016 0.77%
    6-2016 1.41%
    7-2016 -0.28%
    8-2016 3.82%
    9-2016 0.28%
    10-2016 -0.22%
    11-2016 -2.11%
    12-2016 3.46%
2016 9.06%
    1-2015 NaN%
    2-2015 -2.25%
    3-2015 5.38%
    4-2015 -1.42%
    5-2015 0.81%
    6-2015 1.07%
    7-2015 -2.23%
    8-2015 1.36%
    9-2015 -5.85%
    10-2015 -3.33%
    11-2015 7.31%
    12-2015 0.33%
2015 -2.09%
    1-2014 NaN%
    2-2014 -3.04%
    3-2014 4.59%
    4-2014 0.02%
    5-2014 0.21%
    6-2014 2.08%
    7-2014 1.89%
    8-2014 -1.86%
    9-2014 3.72%
    10-2014 -2.75%
    11-2014 2.35%
    12-2014 2.07%
2014 8.46%
    1-2013 NaN%
    2-2013 4.97%
    3-2013 1%
    4-2013 2.98%
    5-2013 1.83%
    6-2013 1.63%
    7-2013 -2.03%
    8-2013 5.1%
    9-2013 -2.59%
    10-2013 3.39%
    11-2013 3.99%
    12-2013 2.44%
2013 27.36%
    1-2012 NaN%
    2-2012 5.07%
    3-2012 4.11%
    4-2012 2.13%
    5-2012 -0.66%
    6-2012 -6.34%
    7-2012 3.48%
    8-2012 0.98%
    9-2012 2.4%
    10-2012 1.96%
    11-2012 -1.45%
    12-2012 0.81%
2012 13.32%
    1-2011 NaN%
    2-2011 1.93%
    3-2011 3.35%
    4-2011 -0.03%
    5-2011 3.11%
    6-2011 -1.21%
    7-2011 -2.06%
    8-2011 -1.98%
    9-2011 -5.89%
    10-2011 -8.18%
    11-2011 10.83%
    12-2011 -0.54%
2011 -2.17%
