    1-2021 NaN%
    2-2021 -0.3%
    3-2021 2.31%
    4-2021 1.92%
    5-2021 3.65%
    6-2021 1.62%
    7-2021 0.5%
2021 10.56%
    1-2020 NaN%
    2-2020 -1.34%
    3-2020 -6.55%
    4-2020 -13.8%
    5-2020 9.73%
    6-2020 4.63%
    7-2020 2.57%
    8-2020 4.52%
    9-2020 5.05%
    10-2020 -2.93%
    11-2020 -2.05%
    12-2020 11.43%
2020 12.92%
    1-2019 NaN%
    2-2019 7.39%
    3-2019 2.31%
    4-2019 0.76%
    5-2019 3.01%
    6-2019 -5.22%
    7-2019 5.14%
    8-2019 -0.21%
    9-2019 -1.7%
    10-2019 1.44%
    11-2019 2.49%
    12-2019 2.18%
2019 21.31%
    1-2018 NaN%
    2-2018 4.77%
    3-2018 -4.1%
    4-2018 -1.43%
    5-2018 0.42%
    6-2018 0.45%
    7-2018 -1.32%
    8-2018 2.62%
    9-2018 0.59%
    10-2018 -0.31%
    11-2018 -7.18%
    12-2018 1.52%
2018 -11%
    1-2017 NaN%
    2-2017 2.65%
    3-2017 2.38%
    4-2017 0.93%
    5-2017 1.53%
    6-2017 1.85%
    7-2017 -0.05%
    8-2017 2.41%
    9-2017 0.42%
    10-2017 1.39%
    11-2017 1.84%
    12-2017 1.69%
2017 19.39%
    1-2016 NaN%
    2-2016 -4.96%
    3-2016 -0.98%
    4-2016 6.56%
    5-2016 1.32%
    6-2016 0.32%
    7-2016 -0.87%
    8-2016 3.82%
    9-2016 0.4%
    10-2016 0.2%
    11-2016 -1.88%
    12-2016 0.74%
2016 5.42%
    1-2015 NaN%
    2-2015 -0.95%
    3-2015 4.94%
    4-2015 -1.46%
    5-2015 2.42%
    6-2015 0.13%
    7-2015 -2.74%
    8-2015 0.43%
    9-2015 -6.03%
    10-2015 -3.46%
    11-2015 6.34%
    12-2015 -0.38%
2015 -3.96%
    1-2014 NaN%
    2-2014 -3.4%
    3-2014 4.6%
    4-2014 -0.14%
    5-2014 0.68%
    6-2014 1.92%
    7-2014 1.24%
    8-2014 -1.65%
    9-2014 2.45%
    10-2014 -3.73%
    11-2014 1.19%
    12-2014 1.01%
2014 1.8%
    1-2013 NaN%
    2-2013 3.89%
    3-2013 0.07%
    4-2013 1.78%
    5-2013 2.43%
    6-2013 -0.47%
    7-2013 -3.22%
    8-2013 4.53%
    9-2013 -2.1%
    10-2013 4.53%
    11-2013 3.54%
    12-2013 1.27%
2013 18.77%
    1-2012 NaN%
    2-2012 5.65%
    3-2012 4.19%
    4-2012 0.76%
    5-2012 -1.02%
    6-2012 -7.7%
    7-2012 4.19%
    8-2012 0.78%
    9-2012 2.34%
    10-2012 1.79%
    11-2012 -0.54%
    12-2012 1.16%
2012 12.95%
    1-2011 NaN%
    2-2011 1.29%
    3-2011 2.84%
    4-2011 -0.2%
    5-2011 3.8%
    6-2011 -1.71%
    7-2011 -1.72%
    8-2011 -1.58%
    9-2011 -6.39%
    10-2011 -9.16%
    11-2011 9.74%
    12-2011 -1.47%
2011 -7.71%
