    1-2021 NaN%
    2-2021 -0.81%
    3-2021 -0.72%
    4-2021 -0.71%
    5-2021 1.58%
    6-2021 0.27%
    7-2021 0.81%
2021 1.25%
    1-2020 NaN%
    2-2020 1.38%
    3-2020 -0.37%
    4-2020 -3.55%
    5-2020 3.64%
    6-2020 1.33%
    7-2020 0.86%
    8-2020 2.17%
    9-2020 0.37%
    10-2020 -0.8%
    11-2020 -1.05%
    12-2020 3.23%
2020 7.5%
    1-2019 NaN%
    2-2019 2.29%
    3-2019 0.4%
    4-2019 1.53%
    5-2019 0.6%
    6-2019 0.03%
    7-2019 1.98%
    8-2019 0.15%
    9-2019 1.63%
    10-2019 -0.36%
    11-2019 0.47%
    12-2019 0.43%
2019 9.84%
    1-2018 NaN%
    2-2018 0.03%
    3-2018 -1.78%
    4-2018 -0.11%
    5-2018 -0.74%
    6-2018 0.68%
    7-2018 -0.24%
    8-2018 0.48%
    9-2018 0.69%
    10-2018 -0.67%
    11-2018 -2.29%
    12-2018 0.62%
2018 -4.02%
    1-2017 NaN%
    2-2017 0.54%
    3-2017 1.03%
    4-2017 -0.18%
    5-2017 0.71%
    6-2017 0.66%
    7-2017 -0.1%
    8-2017 0.58%
    9-2017 0.57%
    10-2017 -0.22%
    11-2017 0.35%
    12-2017 0.22%
2017 4.74%
    1-2016 NaN%
    2-2016 -0.15%
    3-2016 0.28%
    4-2016 1.95%
    5-2016 0.34%
    6-2016 0.1%
    7-2016 1.28%
    8-2016 1.17%
    9-2016 -0.22%
    10-2016 -0.24%
    11-2016 -1.22%
    12-2016 -1.64%
2016 1.81%
    1-2015 NaN%
    2-2015 1.26%
    3-2015 0.13%
    4-2015 -0.16%
    5-2015 -0.17%
    6-2015 -0.33%
    7-2015 -1.45%
    8-2015 0.68%
    9-2015 -1.7%
    10-2015 -0.28%
    11-2015 1.36%
    12-2015 -0.33%
2015 -2.21%
    1-2014 NaN%
    2-2014 0.37%
    3-2014 1.2%
    4-2014 -0.3%
    5-2014 0.51%
    6-2014 1.09%
    7-2014 0.29%
    8-2014 -0.75%
    9-2014 1.45%
    10-2014 -1.36%
    11-2014 1.02%
    12-2014 0.75%
2014 3.74%
    1-2013 NaN%
    2-2013 0.29%
    3-2013 0.45%
    4-2013 0.36%
    5-2013 1%
    6-2013 -1.26%
    7-2013 -1.95%
    8-2013 1.06%
    9-2013 -1.19%
    10-2013 1.38%
    11-2013 1.27%
    12-2013 0.02%
2013 1.6%
    1-2012 NaN%
    2-2012 1.61%
    3-2012 0.67%
    4-2012 -0.33%
    5-2012 0.56%
    6-2012 -0.86%
    7-2012 0.64%
    8-2012 1.12%
    9-2012 0.37%
    10-2012 0.34%
    11-2012 -0.33%
    12-2012 0.19%
2012 3.47%
    1-2011 NaN%
    2-2011 0.23%
    3-2011 0.61%
    4-2011 -0.24%
    5-2011 1.52%
    6-2011 0.53%
    7-2011 -0.93%
    8-2011 0.63%
    9-2011 -0.34%
    10-2011 -1.3%
    11-2011 2.18%
    12-2011 -0.6%
2011 2.2%
