    1-2021 NaN%
    2-2021 -0.88%
    3-2021 -1.19%
    4-2021 -1.17%
    5-2021 1.17%
    6-2021 0.21%
    7-2021 0.68%
2021 -0.44%
    1-2020 NaN%
    2-2020 1.61%
    3-2020 0.59%
    4-2020 -2.19%
    5-2020 2.52%
    6-2020 0.83%
    7-2020 0.71%
    8-2020 1.76%
    9-2020 -0.44%
    10-2020 -0.43%
    11-2020 -0.91%
    12-2020 2.1%
2020 6.22%
    1-2019 NaN%
    2-2019 1.52%
    3-2019 0.04%
    4-2019 1.62%
    5-2019 0.19%
    6-2019 0.82%
    7-2019 1.43%
    8-2019 0.04%
    9-2019 2.09%
    10-2019 -0.57%
    11-2019 0.25%
    12-2019 0.06%
2019 7.68%
    1-2018 NaN%
    2-2018 -0.63%
    3-2018 -1.52%
    4-2018 0.15%
    5-2018 -0.89%
    6-2018 0.49%
    7-2018 -0.25%
    8-2018 0.14%
    9-2018 0.43%
    10-2018 -0.72%
    11-2018 -1.64%
    12-2018 0.45%
2018 -3.5%
    1-2017 NaN%
    2-2017 0.34%
    3-2017 0.73%
    4-2017 -0.2%
    5-2017 0.65%
    6-2017 0.58%
    7-2017 -0.15%
    8-2017 0.4%
    9-2017 0.61%
    10-2017 -0.48%
    11-2017 0.13%
    12-2017 -0.1%
2017 2.89%
    1-2016 NaN%
    2-2016 0.53%
    3-2016 0.35%
    4-2016 1.36%
    5-2016 0.28%
    6-2016 -0.07%
    7-2016 1.49%
    8-2016 0.82%
    9-2016 -0.28%
    10-2016 -0.24%
    11-2016 -1.1%
    12-2016 -2.3%
2016 0.86%
    1-2015 NaN%
    2-2015 1.72%
    3-2015 -0.57%
    4-2015 0.01%
    5-2015 -0.31%
    6-2015 -0.51%
    7-2015 -1.34%
    8-2015 0.59%
    9-2015 -1.14%
    10-2015 0.13%
    11-2015 0.57%
    12-2015 -0.42%
2015 -2.22%
    1-2014 NaN%
    2-2014 0.83%
    3-2014 0.75%
    4-2014 -0.34%
    5-2014 0.55%
    6-2014 0.96%
    7-2014 0.09%
    8-2014 -0.6%
    9-2014 1.16%
    10-2014 -1.17%
    11-2014 0.85%
    12-2014 0.58%
2014 3.16%
    1-2013 NaN%
    2-2013 -0.33%
    3-2013 0.38%
    4-2013 0.01%
    5-2013 0.88%
    6-2013 -1.63%
    7-2013 -1.93%
    8-2013 0.52%
    9-2013 -1.01%
    10-2013 1.1%
    11-2013 0.91%
    12-2013 -0.3%
2013 -1.78%
    1-2012 NaN%
    2-2012 1.15%
    3-2012 0.21%
    4-2012 -0.65%
    5-2012 0.72%
    6-2012 -0.12%
    7-2012 0.26%
    8-2012 1.14%
    9-2012 0.1%
    10-2012 0.12%
    11-2012 -0.19%
    12-2012 0.11%
2012 2.15%
    1-2011 NaN%
    2-2011 0%
    3-2011 0.25%
    4-2011 -0.27%
    5-2011 1.31%
    6-2011 0.76%
    7-2011 -0.78%
    8-2011 0.98%
    9-2011 0.41%
    10-2011 -0.37%
    11-2011 1.03%
    12-2011 -0.6%
2011 2.82%
