    1-2021 NaN%
    2-2021 -0.66%
    3-2021 0.49%
    4-2021 0.46%
    5-2021 2.65%
    6-2021 0.37%
    7-2021 1.19%
2021 5.61%
    1-2020 NaN%
    2-2020 0.87%
    3-2020 -2.78%
    4-2020 -6.91%
    5-2020 6.56%
    6-2020 2.59%
    7-2020 1.2%
    8-2020 3.23%
    9-2020 2.45%
    10-2020 -1.76%
    11-2020 -1.4%
    12-2020 6.05%
2020 10.88%
    1-2019 NaN%
    2-2019 4.25%
    3-2019 1.34%
    4-2019 1.33%
    5-2019 1.63%
    6-2019 -1.98%
    7-2019 3.39%
    8-2019 0.5%
    9-2019 0.49%
    10-2019 0.16%
    11-2019 1.01%
    12-2019 1.43%
2019 15.44%
    1-2018 NaN%
    2-2018 1.69%
    3-2018 -2.41%
    4-2018 -0.79%
    5-2018 -0.39%
    6-2018 1.27%
    7-2018 -0.15%
    8-2018 1.36%
    9-2018 1.46%
    10-2018 -0.56%
    11-2018 -3.9%
    12-2018 1.06%
2018 -5.1%
    1-2017 NaN%
    2-2017 1.01%
    3-2017 1.83%
    4-2017 -0.19%
    5-2017 0.83%
    6-2017 0.8%
    7-2017 0.06%
    8-2017 1.01%
    9-2017 0.45%
    10-2017 0.47%
    11-2017 0.92%
    12-2017 1.06%
2017 9.28%
    1-2016 NaN%
    2-2016 -1.87%
    3-2016 0.14%
    4-2016 3.41%
    5-2016 0.46%
    6-2016 0.57%
    7-2016 0.79%
    8-2016 2.05%
    9-2016 -0.05%
    10-2016 -0.25%
    11-2016 -1.52%
    12-2016 0.15%
2016 4.34%
    1-2015 NaN%
    2-2015 0.05%
    3-2015 1.89%
    4-2015 -0.58%
    5-2015 0.1%
    6-2015 0.17%
    7-2015 -1.69%
    8-2015 0.94%
    9-2015 -3.07%
    10-2015 -1.28%
    11-2015 3.36%
    12-2015 -0.09%
2015 -2.1%
    1-2014 NaN%
    2-2014 -0.74%
    3-2014 2.32%
    4-2014 -0.19%
    5-2014 0.39%
    6-2014 1.42%
    7-2014 0.85%
    8-2014 -1.13%
    9-2014 2.25%
    10-2014 -1.79%
    11-2014 1.51%
    12-2014 1.22%
2014 5.55%
    1-2013 NaN%
    2-2013 1.88%
    3-2013 0.66%
    4-2013 1.27%
    5-2013 1.25%
    6-2013 -0.23%
    7-2013 -1.93%
    8-2013 2.42%
    9-2013 -1.67%
    10-2013 2%
    11-2013 2.19%
    12-2013 0.86%
2013 10.45%
    1-2012 NaN%
    2-2012 2.74%
    3-2012 1.81%
    4-2012 0.53%
    5-2012 0.17%
    6-2012 -2.62%
    7-2012 1.55%
    8-2012 1.08%
    9-2012 1.04%
    10-2012 0.88%
    11-2012 -0.73%
    12-2012 0.38%
2012 6.74%
    1-2011 NaN%
    2-2011 0.81%
    3-2011 1.54%
    4-2011 -0.16%
    5-2011 2.02%
    6-2011 -0.03%
    7-2011 -1.32%
    8-2011 -0.25%
    9-2011 -2.16%
    10-2011 -3.54%
    11-2011 5.08%
    12-2011 -0.54%
2011 0.96%
