    1-2021 NaN%
    2-2021 -0.69%
    3-2021 0.25%
    4-2021 0.24%
    5-2021 2.44%
    6-2021 0.34%
    7-2021 1.13%
2021 4.76%
    1-2020 NaN%
    2-2020 0.98%
    3-2020 -2.3%
    4-2020 -6.23%
    5-2020 5.99%
    6-2020 2.34%
    7-2020 1.12%
    8-2020 3.02%
    9-2020 2.04%
    10-2020 -1.57%
    11-2020 -1.33%
    12-2020 5.48%
2020 10.24%
    1-2019 NaN%
    2-2019 3.86%
    3-2019 1.16%
    4-2019 1.37%
    5-2019 1.43%
    6-2019 -1.58%
    7-2019 3.11%
    8-2019 0.44%
    9-2019 0.72%
    10-2019 0.05%
    11-2019 0.9%
    12-2019 1.25%
2019 14.36%
    1-2018 NaN%
    2-2018 1.36%
    3-2018 -2.28%
    4-2018 -0.66%
    5-2018 -0.46%
    6-2018 1.17%
    7-2018 -0.15%
    8-2018 1.19%
    9-2018 1.33%
    10-2018 -0.58%
    11-2018 -3.58%
    12-2018 0.97%
2018 -4.85%
    1-2017 NaN%
    2-2017 0.91%
    3-2017 1.68%
    4-2017 -0.2%
    5-2017 0.8%
    6-2017 0.77%
    7-2017 0.03%
    8-2017 0.92%
    9-2017 0.47%
    10-2017 0.34%
    11-2017 0.8%
    12-2017 0.9%
2017 8.35%
    1-2016 NaN%
    2-2016 -1.53%
    3-2016 0.17%
    4-2016 3.11%
    5-2016 0.43%
    6-2016 0.49%
    7-2016 0.89%
    8-2016 1.87%
    9-2016 -0.09%
    10-2016 -0.25%
    11-2016 -1.46%
    12-2016 -0.18%
2016 3.87%
    1-2015 NaN%
    2-2015 0.28%
    3-2015 1.54%
    4-2015 -0.49%
    5-2015 0.03%
    6-2015 0.08%
    7-2015 -1.63%
    8-2015 0.9%
    9-2015 -2.79%
    10-2015 -1.08%
    11-2015 2.97%
    12-2015 -0.13%
2015 -2.11%
    1-2014 NaN%
    2-2014 -0.51%
    3-2014 2.09%
    4-2014 -0.21%
    5-2014 0.41%
    6-2014 1.36%
    7-2014 0.74%
    8-2014 -1.05%
    9-2014 2.1%
    10-2014 -1.69%
    11-2014 1.42%
    12-2014 1.14%
2014 5.26%
    1-2013 NaN%
    2-2013 1.57%
    3-2013 0.63%
    4-2013 1.1%
    5-2013 1.19%
    6-2013 -0.41%
    7-2013 -1.92%
    8-2013 2.15%
    9-2013 -1.58%
    10-2013 1.86%
    11-2013 2.01%
    12-2013 0.7%
2013 8.75%
    1-2012 NaN%
    2-2012 2.5%
    3-2012 1.57%
    4-2012 0.37%
    5-2012 0.25%
    6-2012 -2.25%
    7-2012 1.36%
    8-2012 1.09%
    9-2012 0.91%
    10-2012 0.77%
    11-2012 -0.66%
    12-2012 0.34%
2012 6.08%
    1-2011 NaN%
    2-2011 0.7%
    3-2011 1.36%
    4-2011 -0.18%
    5-2011 1.91%
    6-2011 0.09%
    7-2011 -1.24%
    8-2011 -0.08%
    9-2011 -1.78%
    10-2011 -3.07%
    11-2011 4.51%
    12-2011 -0.54%
2011 1.27%
