    1-2021 NaN%
    2-2021 -0.72%
    3-2021 0.01%
    4-2021 0.01%
    5-2021 2.24%
    6-2021 0.31%
    7-2021 1.06%
2021 3.92%
    1-2020 NaN%
    2-2020 1.1%
    3-2020 -1.83%
    4-2020 -5.55%
    5-2020 5.43%
    6-2020 2.09%
    7-2020 1.05%
    8-2020 2.82%
    9-2020 1.64%
    10-2020 -1.39%
    11-2020 -1.26%
    12-2020 4.92%
2020 9.61%
    1-2019 NaN%
    2-2019 3.47%
    3-2019 0.98%
    4-2019 1.41%
    5-2019 1.23%
    6-2019 -1.18%
    7-2019 2.84%
    8-2019 0.39%
    9-2019 0.95%
    10-2019 -0.06%
    11-2019 0.78%
    12-2019 1.06%
2019 13.28%
    1-2018 NaN%
    2-2018 1.02%
    3-2018 -2.15%
    4-2018 -0.53%
    5-2018 -0.53%
    6-2018 1.07%
    7-2018 -0.16%
    8-2018 1.02%
    9-2018 1.2%
    10-2018 -0.6%
    11-2018 -3.25%
    12-2018 0.89%
2018 -4.59%
    1-2017 NaN%
    2-2017 0.81%
    3-2017 1.53%
    4-2017 -0.21%
    5-2017 0.77%
    6-2017 0.73%
    7-2017 0.01%
    8-2017 0.83%
    9-2017 0.49%
    10-2017 0.2%
    11-2017 0.69%
    12-2017 0.75%
2017 7.42%
    1-2016 NaN%
    2-2016 -1.18%
    3-2016 0.21%
    4-2016 2.81%
    5-2016 0.4%
    6-2016 0.4%
    7-2016 1%
    8-2016 1.69%
    9-2016 -0.12%
    10-2016 -0.25%
    11-2016 -1.4%
    12-2016 -0.51%
2016 3.4%
    1-2015 NaN%
    2-2015 0.51%
    3-2015 1.19%
    4-2015 -0.41%
    5-2015 -0.04%
    6-2015 -0.01%
    7-2015 -1.58%
    8-2015 0.86%
    9-2015 -2.51%
    10-2015 -0.87%
    11-2015 2.58%
    12-2015 -0.17%
2015 -2.11%
    1-2014 NaN%
    2-2014 -0.28%
    3-2014 1.87%
    4-2014 -0.23%
    5-2014 0.43%
    6-2014 1.29%
    7-2014 0.64%
    8-2014 -0.98%
    9-2014 1.96%
    10-2014 -1.59%
    11-2014 1.34%
    12-2014 1.05%
2014 4.97%
    1-2013 NaN%
    2-2013 1.26%
    3-2013 0.6%
    4-2013 0.93%
    5-2013 1.13%
    6-2013 -0.6%
    7-2013 -1.91%
    8-2013 1.88%
    9-2013 -1.49%
    10-2013 1.73%
    11-2013 1.83%
    12-2013 0.55%
2013 7.06%
    1-2012 NaN%
    2-2012 2.27%
    3-2012 1.34%
    4-2012 0.21%
    5-2012 0.33%
    6-2012 -1.88%
    7-2012 1.17%
    8-2012 1.1%
    9-2012 0.77%
    10-2012 0.66%
    11-2012 -0.59%
    12-2012 0.3%
2012 5.42%
    1-2011 NaN%
    2-2011 0.59%
    3-2011 1.18%
    4-2011 -0.19%
    5-2011 1.8%
    6-2011 0.21%
    7-2011 -1.17%
    8-2011 0.1%
    9-2011 -1.41%
    10-2011 -2.61%
    11-2011 3.93%
    12-2011 -0.54%
2011 1.58%
