    1-2021 NaN%
    2-2021 -0.52%
    3-2021 1.38%
    4-2021 1.27%
    5-2021 3.32%
    6-2021 0.67%
    7-2021 1.22%
2021 8.5%
    1-2020 NaN%
    2-2020 0.2%
    3-2020 -4.59%
    4-2020 -9.77%
    5-2020 8.46%
    6-2020 3.55%
    7-2020 1.62%
    8-2020 3.95%
    9-2020 3.88%
    10-2020 -2.41%
    11-2020 -1.68%
    12-2020 8.37%
2020 12.75%
    1-2019 NaN%
    2-2019 5.73%
    3-2019 1.95%
    4-2019 1.12%
    5-2019 2.36%
    6-2019 -3.5%
    7-2019 4.35%
    8-2019 0.5%
    9-2019 -0.45%
    10-2019 0.64%
    11-2019 1.54%
    12-2019 2.02%
2019 19.06%
    1-2018 NaN%
    2-2018 3.04%
    3-2018 -3.03%
    4-2018 -1.22%
    5-2018 -0.07%
    6-2018 1.35%
    7-2018 -0.35%
    8-2018 2%
    9-2018 1.61%
    10-2018 -0.46%
    11-2018 -5.27%
    12-2018 1.34%
2018 -6.78%
    1-2017 NaN%
    2-2017 1.55%
    3-2017 2.29%
    4-2017 0.03%
    5-2017 1.03%
    6-2017 1.08%
    7-2017 0.11%
    8-2017 1.48%
    9-2017 0.39%
    10-2017 0.96%
    11-2017 1.35%
    12-2017 1.56%
2017 13.3%
    1-2016 NaN%
    2-2016 -3.25%
    3-2016 -0.15%
    4-2016 4.68%
    5-2016 0.69%
    6-2016 0.73%
    7-2016 0.23%
    8-2016 2.79%
    9-2016 0.11%
    10-2016 -0.16%
    11-2016 -1.72%
    12-2016 1.04%
2016 5.66%
    1-2015 NaN%
    2-2015 -0.68%
    3-2015 3.27%
    4-2015 -0.94%
    5-2015 0.69%
    6-2015 0.37%
    7-2015 -2%
    8-2015 0.95%
    9-2015 -4.26%
    10-2015 -2.16%
    11-2015 4.84%
    12-2015 -0.04%
2015 -2.44%
    1-2014 NaN%
    2-2014 -1.77%
    3-2014 3.27%
    4-2014 -0.13%
    5-2014 0.4%
    6-2014 1.67%
    7-2014 1.16%
    8-2014 -1.4%
    9-2014 2.64%
    10-2014 -2.37%
    11-2014 1.65%
    12-2014 1.39%
2014 5.56%
    1-2013 NaN%
    2-2013 2.98%
    3-2013 0.64%
    4-2013 1.77%
    5-2013 1.6%
    6-2013 0.17%
    7-2013 -2.19%
    8-2013 3.44%
    9-2013 -1.97%
    10-2013 2.79%
    11-2013 2.86%
    12-2013 1.31%
2013 15.97%
    1-2012 NaN%
    2-2012 3.82%
    3-2012 2.78%
    4-2012 0.95%
    5-2012 -0.24%
    6-2012 -4.42%
    7-2012 2.49%
    8-2012 1%
    9-2012 1.6%
    10-2012 1.3%
    11-2012 -0.87%
    12-2012 0.62%
2012 9.42%
    1-2011 NaN%
    2-2011 1.16%
    3-2011 2.21%
    4-2011 -0.14%
    5-2011 2.6%
    6-2011 -0.62%
    7-2011 -1.57%
    8-2011 -0.9%
    9-2011 -3.81%
    10-2011 -5.65%
    11-2011 7.29%
    12-2011 -0.71%
2011 -1.35%
