    1-2021 NaN%
    2-2021 -0.28%
    3-2021 2.61%
    4-2021 2.27%
    5-2021 4.03%
    6-2021 1.45%
    7-2021 0.83%
2021 11.95%
    1-2020 NaN%
    2-2020 -1.21%
    3-2020 -7.13%
    4-2020 -14.32%
    5-2020 10.68%
    6-2020 4.92%
    7-2020 2.5%
    8-2020 4.84%
    9-2020 5.67%
    10-2020 -3.22%
    11-2020 -2.12%
    12-2020 11.94%
2020 14.32%
    1-2019 NaN%
    2-2019 7.85%
    3-2019 2.63%
    4-2019 0.75%
    5-2019 3.31%
    6-2019 -5.68%
    7-2019 5.56%
    8-2019 0.09%
    9-2019 -1.91%
    10-2019 1.48%
    11-2019 2.5%
    12-2019 2.57%
2019 23.18%
    1-2018 NaN%
    2-2018 5.08%
    3-2018 -4.12%
    4-2018 -1.67%
    5-2018 0.46%
    6-2018 0.91%
    7-2018 -1.06%
    8-2018 2.86%
    9-2018 1.14%
    10-2018 -0.3%
    11-2018 -7.43%
    12-2018 1.67%
2018 -10.51%
    1-2017 NaN%
    2-2017 2.6%
    3-2017 2.7%
    4-2017 0.73%
    5-2017 1.47%
    6-2017 1.74%
    7-2017 0.05%
    8-2017 2.38%
    9-2017 0.36%
    10-2017 1.59%
    11-2017 1.97%
    12-2017 2.02%
2017 19.95%
    1-2016 NaN%
    2-2016 -5.31%
    3-2016 -0.85%
    4-2016 6.75%
    5-2016 1.23%
    6-2016 0.62%
    7-2016 -0.83%
    8-2016 3.96%
    9-2016 0.4%
    10-2016 0.12%
    11-2016 -1.97%
    12-2016 1.57%
2016 6.55%
    1-2015 NaN%
    2-2015 -1.4%
    3-2015 5.31%
    4-2015 -1.52%
    5-2015 2.14%
    6-2015 0.4%
    7-2015 -2.68%
    8-2015 0.66%
    9-2015 -6.21%
    10-2015 -3.6%
    11-2015 6.85%
    12-2015 -0.2%
2015 -3.57%
    1-2014 NaN%
    2-2014 -3.51%
    3-2014 4.77%
    4-2014 -0.09%
    5-2014 0.57%
    6-2014 2%
    7-2014 1.45%
    8-2014 -1.75%
    9-2014 2.83%
    10-2014 -3.6%
    11-2014 1.5%
    12-2014 1.3%
2014 3.41%
    1-2013 NaN%
    2-2013 4.36%
    3-2013 0.29%
    4-2013 2.17%
    5-2013 2.35%
    6-2013 0.12%
    7-2013 -2.98%
    8-2013 4.86%
    9-2013 -2.27%
    10-2013 4.4%
    11-2013 3.77%
    12-2013 1.64%
2013 21.9%
    1-2012 NaN%
    2-2012 5.71%
    3-2012 4.36%
    4-2012 1.17%
    5-2012 -1.01%
    6-2012 -7.71%
    7-2012 4.2%
    8-2012 0.81%
    9-2012 2.46%
    10-2012 1.91%
    11-2012 -0.78%
    12-2012 1.12%
2012 13.55%
    1-2011 NaN%
    2-2011 1.51%
    3-2011 3.09%
    4-2011 -0.15%
    5-2011 3.74%
    6-2011 -1.7%
    7-2011 -1.85%
    8-2011 -1.8%
    9-2011 -6.58%
    10-2011 -9.32%
    11-2011 10.42%
    12-2011 -1.28%
2011 -6.8%
