    1-2021 NaN%
    2-2021 -0.61%
    3-2021 0.64%
    4-2021 0.53%
    5-2021 2.62%
    6-2021 0.67%
    7-2021 0.9%
2021 5.72%
    1-2020 NaN%
    2-2020 0.43%
    3-2020 -3.11%
    4-2020 -7.81%
    5-2020 6.59%
    6-2020 2.78%
    7-2020 1.46%
    8-2020 3.28%
    9-2020 2.56%
    10-2020 -1.81%
    11-2020 -1.48%
    12-2020 6.69%
2020 10.49%
    1-2019 NaN%
    2-2019 4.54%
    3-2019 1.34%
    4-2019 1.23%
    5-2019 1.71%
    6-2019 -2.28%
    7-2019 3.46%
    8-2019 0.22%
    9-2019 0.23%
    10-2019 0.35%
    11-2019 1.25%
    12-2019 1.36%
2019 15.45%
    1-2018 NaN%
    2-2018 2.05%
    3-2018 -2.68%
    4-2018 -0.77%
    5-2018 -0.27%
    6-2018 0.89%
    7-2018 -0.48%
    8-2018 1.45%
    9-2018 1.02%
    10-2018 -0.52%
    11-2018 -4.32%
    12-2018 1.06%
2018 -6.36%
    1-2017 NaN%
    2-2017 1.31%
    3-2017 1.76%
    4-2017 0.11%
    5-2017 0.98%
    6-2017 1.04%
    7-2017 -0.01%
    8-2017 1.26%
    9-2017 0.47%
    10-2017 0.53%
    11-2017 1.01%
    12-2017 1%
2017 10.7%
    1-2016 NaN%
    2-2016 -2.21%
    3-2016 -0.12%
    4-2016 3.84%
    5-2016 0.65%
    6-2016 0.38%
    7-2016 0.49%
    8-2016 2.27%
    9-2016 0.02%
    10-2016 -0.13%
    11-2016 -1.53%
    12-2016 -0.18%
2016 3.93%
    1-2015 NaN%
    2-2015 0.12%
    3-2015 2.21%
    4-2015 -0.7%
    5-2015 0.64%
    6-2015 0.02%
    7-2015 -1.9%
    8-2015 0.74%
    9-2015 -3.47%
    10-2015 -1.58%
    11-2015 3.6%
    12-2015 -0.23%
2015 -2.62%
    1-2014 NaN%
    2-2014 -1.14%
    3-2014 2.61%
    4-2014 -0.2%
    5-2014 0.5%
    6-2014 1.46%
    7-2014 0.8%
    8-2014 -1.16%
    9-2014 2.08%
    10-2014 -2.18%
    11-2014 1.29%
    12-2014 1.04%
2014 4.07%
    1-2013 NaN%
    2-2013 1.98%
    3-2013 0.45%
    4-2013 1.16%
    5-2013 1.49%
    6-2013 -0.57%
    7-2013 -2.27%
    8-2013 2.6%
    9-2013 -1.65%
    10-2013 2.5%
    11-2013 2.29%
    12-2013 0.74%
2013 10.22%
    1-2012 NaN%
    2-2012 3.2%
    3-2012 2.12%
    4-2012 0.36%
    5-2012 -0.04%
    6-2012 -3.48%
    7-2012 2%
    8-2012 1.01%
    9-2012 1.2%
    10-2012 0.97%
    11-2012 -0.57%
    12-2012 0.53%
2012 7.48%
    1-2011 NaN%
    2-2011 0.78%
    3-2011 1.63%
    4-2011 -0.19%
    5-2011 2.35%
    6-2011 -0.32%
    7-2011 -1.32%
    8-2011 -0.36%
    9-2011 -2.77%
    10-2011 -4.4%
    11-2011 5.51%
    12-2011 -0.8%
2011 -0.98%
