    1-2021 NaN%
    2-2021 -0.48%
    3-2021 1.98%
    4-2021 1.96%
    5-2021 4.05%
    6-2021 0.35%
    7-2021 1.83%
2021 11.21%
    1-2020 NaN%
    2-2020 0.42%
    3-2020 -5.74%
    4-2020 -10.84%
    5-2020 10.32%
    6-2020 4.12%
    7-2020 1.5%
    8-2020 4.58%
    9-2020 5.08%
    10-2020 -2.98%
    11-2020 -1.8%
    12-2020 9.39%
2020 15.45%
    1-2019 NaN%
    2-2019 6.64%
    3-2019 2.56%
    4-2019 1.11%
    5-2019 2.93%
    6-2019 -4.43%
    7-2019 5.18%
    8-2019 1.08%
    9-2019 -0.87%
    10-2019 0.73%
    11-2019 1.58%
    12-2019 2.77%
2019 22.69%
    1-2018 NaN%
    2-2018 3.66%
    3-2018 -3.09%
    4-2018 -1.69%
    5-2018 0.02%
    6-2018 2.21%
    7-2018 0.14%
    8-2018 2.47%
    9-2018 2.66%
    10-2018 -0.43%
    11-2018 -5.79%
    12-2018 1.63%
2018 -5.9%
    1-2017 NaN%
    2-2017 1.47%
    3-2017 2.9%
    4-2017 -0.35%
    5-2017 0.93%
    6-2017 0.88%
    7-2017 0.3%
    8-2017 1.45%
    9-2017 0.28%
    10-2017 1.33%
    11-2017 1.61%
    12-2017 2.19%
2017 14.46%
    1-2016 NaN%
    2-2016 -3.93%
    3-2016 0.08%
    4-2016 5.09%
    5-2016 0.53%
    6-2016 1.28%
    7-2016 0.29%
    8-2016 3.07%
    9-2016 0.12%
    10-2016 -0.32%
    11-2016 -1.91%
    12-2016 2.63%
2016 7.84%
    1-2015 NaN%
    2-2015 -1.55%
    3-2015 4%
    4-2015 -1.06%
    5-2015 0.18%
    6-2015 0.88%
    7-2015 -1.89%
    8-2015 1.38%
    9-2015 -4.64%
    10-2015 -2.44%
    11-2015 5.85%
    12-2015 0.3%
2015 -1.71%
    1-2014 NaN%
    2-2014 -2%
    3-2014 3.63%
    4-2014 -0.03%
    5-2014 0.19%
    6-2014 1.84%
    7-2014 1.59%
    8-2014 -1.6%
    9-2014 3.37%
    10-2014 -2.14%
    11-2014 2.24%
    12-2014 1.94%
2014 8.62%
    1-2013 NaN%
    2-2013 3.9%
    3-2013 1.05%
    4-2013 2.51%
    5-2013 1.46%
    6-2013 1.29%
    7-2013 -1.74%
    8-2013 4.09%
    9-2013 -2.31%
    10-2013 2.57%
    11-2013 3.33%
    12-2013 2.02%
2013 22.03%
    1-2012 NaN%
    2-2012 3.97%
    3-2012 3.12%
    4-2012 1.74%
    5-2012 -0.24%
    6-2012 -4.49%
    7-2012 2.52%
    8-2012 1.07%
    9-2012 1.84%
    10-2012 1.54%
    11-2012 -1.34%
    12-2012 0.55%
2012 10.63%
    1-2011 NaN%
    2-2011 1.59%
    3-2011 2.7%
    4-2011 -0.05%
    5-2011 2.5%
    6-2011 -0.61%
    7-2011 -1.82%
    8-2011 -1.34%
    9-2011 -4.22%
    10-2011 -6.02%
    11-2011 8.63%
    12-2011 -0.35%
2011 0.3%
