    1-2021 NaN%
    2-2021 -0.95%
    3-2021 -1.65%
    4-2021 -1.59%
    5-2021 0.81%
    6-2021 0.09%
    7-2021 0.62%
2021 -1.98%
    1-2020 NaN%
    2-2020 1.9%
    3-2020 1.51%
    4-2020 -0.79%
    5-2020 1.5%
    6-2020 0.35%
    7-2020 0.52%
    8-2020 1.38%
    9-2020 -1.19%
    10-2020 -0.09%
    11-2020 -0.77%
    12-2020 0.95%
2020 5.16%
    1-2019 NaN%
    2-2019 0.77%
    3-2019 -0.28%
    4-2019 1.71%
    5-2019 -0.19%
    6-2019 1.59%
    7-2019 0.92%
    8-2019 0%
    9-2019 2.56%
    10-2019 -0.8%
    11-2019 0%
    12-2019 -0.27%
2019 5.74%
    1-2018 NaN%
    2-2018 -1.3%
    3-2018 -1.23%
    4-2018 0.38%
    5-2018 -1.05%
    6-2018 0.38%
    7-2018 -0.19%
    8-2018 -0.19%
    9-2018 0.29%
    10-2018 -0.77%
    11-2018 -0.97%
    12-2018 0.29%
2018 -2.79%
    1-2017 NaN%
    2-2017 0.09%
    3-2017 0.47%
    4-2017 -0.28%
    5-2017 0.56%
    6-2017 0.47%
    7-2017 -0.19%
    8-2017 0.19%
    9-2017 0.65%
    10-2017 -0.74%
    11-2017 -0.09%
    12-2017 -0.37%
2017 0.94%
    1-2016 NaN%
    2-2016 1.22%
    3-2016 0.46%
    4-2016 0.74%
    5-2016 0.18%
    6-2016 -0.18%
    7-2016 1.74%
    8-2016 0.45%
    9-2016 -0.36%
    10-2016 -0.27%
    11-2016 -0.99%
    12-2016 -2.83%
2016 0.09%
    1-2015 NaN%
    2-2015 2.12%
    3-2015 -1.26%
    4-2015 0.18%
    5-2015 -0.55%
    6-2015 -0.64%
    7-2015 -1.2%
    8-2015 0.56%
    9-2015 -0.56%
    10-2015 0.56%
    11-2015 -0.19%
    12-2015 -0.46%
2015 -2.12%
    1-2014 NaN%
    2-2014 1.33%
    3-2014 0.28%
    4-2014 -0.37%
    5-2014 0.56%
    6-2014 0.84%
    7-2014 -0.09%
    8-2014 -0.46%
    9-2014 0.93%
    10-2014 -0.92%
    11-2014 0.74%
    12-2014 0.46%
2014 2.94%
    1-2013 NaN%
    2-2013 -0.9%
    3-2013 0.36%
    4-2013 -0.27%
    5-2013 0.73%
    6-2013 -1.9%
    7-2013 -1.84%
    8-2013 0%
    9-2013 -0.84%
    10-2013 0.76%
    11-2013 0.56%
    12-2013 -0.56%
2013 -4.78%
    1-2012 NaN%
    2-2012 0.64%
    3-2012 -0.27%
    4-2012 -0.91%
    5-2012 0.91%
    6-2012 0.72%
    7-2012 -0.18%
    8-2012 1.17%
    9-2012 -0.18%
    10-2012 -0.09%
    11-2012 -0.09%
    12-2012 0%
2012 0.82%
    1-2011 NaN%
    2-2011 -0.19%
    3-2011 -0.09%
    4-2011 -0.28%
    5-2011 1.04%
    6-2011 1.03%
    7-2011 -0.65%
    8-2011 1.31%
    9-2011 1.2%
    10-2011 0.64%
    11-2011 -0.09%
    12-2011 -0.54%
2011 3.77%
