    1-2021 NaN%
    2-2021 -0.44%
    3-2021 1.78%
    4-2021 1.58%
    5-2021 3.53%
    6-2021 0.96%
    7-2021 1.04%
2021 9.57%
    1-2020 NaN%
    2-2020 -0.31%
    3-2020 -5.42%
    4-2020 -11.32%
    5-2020 9.14%
    6-2020 4%
    7-2020 1.94%
    8-2020 4.23%
    9-2020 4.44%
    10-2020 -2.67%
    11-2020 -1.83%
    12-2020 9.56%
2020 13.16%
    1-2019 NaN%
    2-2019 6.43%
    3-2019 2.15%
    4-2019 0.99%
    5-2019 2.66%
    6-2019 -4.22%
    7-2019 4.73%
    8-2019 0.33%
    9-2019 -0.94%
    10-2019 0.93%
    11-2019 1.88%
    12-2019 2.17%
2019 20.31%
    1-2018 NaN%
    2-2018 3.72%
    3-2018 -3.41%
    4-2018 -1.35%
    5-2018 0.12%
    6-2018 1.15%
    7-2018 -0.62%
    8-2018 2.28%
    9-2018 1.39%
    10-2018 -0.4%
    11-2018 -6%
    12-2018 1.44%
2018 -8.14%
    1-2017 NaN%
    2-2017 1.92%
    3-2017 2.4%
    4-2017 0.3%
    5-2017 1.19%
    6-2017 1.32%
    7-2017 0.08%
    8-2017 1.8%
    9-2017 0.39%
    10-2017 1.16%
    11-2017 1.55%
    12-2017 1.68%
2017 15.58%
    1-2016 NaN%
    2-2016 -3.93%
    3-2016 -0.41%
    4-2016 5.39%
    5-2016 0.89%
    6-2016 0.66%
    7-2016 -0.14%
    8-2016 3.18%
    9-2016 0.21%
    10-2016 -0.05%
    11-2016 -1.8%
    12-2016 1.14%
2016 5.85%
    1-2015 NaN%
    2-2015 -0.88%
    3-2015 3.94%
    4-2015 -1.14%
    5-2015 1.23%
    6-2015 0.36%
    7-2015 -2.25%
    8-2015 0.82%
    9-2015 -4.93%
    10-2015 -2.65%
    11-2015 5.49%
    12-2015 -0.12%
2015 -2.88%
    1-2014 NaN%
    2-2014 -2.37%
    3-2014 3.78%
    4-2014 -0.12%
    5-2014 0.47%
    6-2014 1.78%
    7-2014 1.24%
    8-2014 -1.51%
    9-2014 2.66%
    10-2014 -2.81%
    11-2014 1.57%
    12-2014 1.32%
2014 4.64%
    1-2013 NaN%
    2-2013 3.42%
    3-2013 0.49%
    4-2013 1.87%
    5-2013 1.87%
    6-2013 0.09%
    7-2013 -2.49%
    8-2013 3.9%
    9-2013 -2.06%
    10-2013 3.37%
    11-2013 3.15%
    12-2013 1.39%
2013 17.72%
    1-2012 NaN%
    2-2012 4.47%
    3-2012 3.32%
    4-2012 0.99%
    5-2012 -0.51%
    6-2012 -5.57%
    7-2012 3.09%
    8-2012 0.93%
    9-2012 1.89%
    10-2012 1.5%
    11-2012 -0.81%
    12-2012 0.8%
2012 10.81%
    1-2011 NaN%
    2-2011 1.26%
    3-2011 2.49%
    4-2011 -0.15%
    5-2011 3.01%
    6-2011 -1%
    7-2011 -1.65%
    8-2011 -1.19%
    9-2011 -4.76%
    10-2011 -6.92%
    11-2011 8.32%
    12-2011 -0.93%
2011 -3.36%
