    1-2021 NaN%
    2-2021 -0.62%
    3-2021 0.68%
    4-2021 0.61%
    5-2021 2.74%
    6-2021 0.53%
    7-2021 1.08%
2021 6.08%
    1-2020 NaN%
    2-2020 0.59%
    3-2020 -3.18%
    4-2020 -7.7%
    5-2020 6.86%
    6-2020 2.81%
    7-2020 1.37%
    8-2020 3.36%
    9-2020 2.71%
    10-2020 -1.88%
    11-2020 -1.47%
    12-2020 6.66%
2020 11%
    1-2019 NaN%
    2-2019 4.59%
    3-2019 1.43%
    4-2019 1.26%
    5-2019 1.77%
    6-2019 -2.33%
    7-2019 3.56%
    8-2019 0.38%
    9-2019 0.24%
    10-2019 0.31%
    11-2019 1.19%
    12-2019 1.49%
2019 15.98%
    1-2018 NaN%
    2-2018 2.03%
    3-2018 -2.61%
    4-2018 -0.85%
    5-2018 -0.29%
    6-2018 1.13%
    7-2018 -0.31%
    8-2018 1.5%
    9-2018 1.3%
    10-2018 -0.53%
    11-2018 -4.28%
    12-2018 1.1%
2018 -5.86%
    1-2017 NaN%
    2-2017 1.21%
    3-2017 1.87%
    4-2017 -0.04%
    5-2017 0.92%
    6-2017 0.94%
    7-2017 0.04%
    8-2017 1.18%
    9-2017 0.45%
    10-2017 0.56%
    11-2017 1.02%
    12-2017 1.11%
2017 10.45%
    1-2016 NaN%
    2-2016 -2.21%
    3-2016 -0.01%
    4-2016 3.77%
    5-2016 0.57%
    6-2016 0.52%
    7-2016 0.58%
    8-2016 2.25%
    9-2016 -0%
    10-2016 -0.18%
    11-2016 -1.56%
    12-2016 0.15%
2016 4.37%
    1-2015 NaN%
    2-2015 -0.03%
    3-2015 2.22%
    4-2015 -0.68%
    5-2015 0.4%
    6-2015 0.14%
    7-2015 -1.82%
    8-2015 0.86%
    9-2015 -3.41%
    10-2015 -1.53%
    11-2015 3.68%
    12-2015 -0.14%
2015 -2.36%
    1-2014 NaN%
    2-2014 -1.05%
    3-2014 2.58%
    4-2014 -0.18%
    5-2014 0.44%
    6-2014 1.48%
    7-2014 0.87%
    8-2014 -1.18%
    9-2014 2.24%
    10-2014 -2.03%
    11-2014 1.44%
    12-2014 1.17%
2014 4.96%
    1-2013 NaN%
    2-2013 2.08%
    3-2013 0.57%
    4-2013 1.3%
    5-2013 1.4%
    6-2013 -0.31%
    7-2013 -2.11%
    8-2013 2.64%
    9-2013 -1.71%
    10-2013 2.32%
    11-2013 2.33%
    12-2013 0.88%
2013 11.18%
    1-2012 NaN%
    2-2012 3.08%
    3-2012 2.08%
    4-2012 0.52%
    5-2012 0.02%
    6-2012 -3.23%
    7-2012 1.87%
    8-2012 1.04%
    9-2012 1.19%
    10-2012 0.98%
    11-2012 -0.69%
    12-2012 0.48%
2012 7.44%
    1-2011 NaN%
    2-2011 0.85%
    3-2011 1.67%
    4-2011 -0.17%
    5-2011 2.24%
    6-2011 -0.24%
    7-2011 -1.35%
    8-2011 -0.39%
    9-2011 -2.65%
    10-2011 -4.2%
    11-2011 5.58%
    12-2011 -0.67%
2011 -0.17%
