    1-2021 NaN%
    2-2021 -0.92%
    3-2021 -1.41%
    4-2021 -1.35%
    5-2021 1.02%
    6-2021 0.11%
    7-2021 0.7%
2021 -1.1%
    1-2020 NaN%
    2-2020 1.8%
    3-2020 1.03%
    4-2020 -1.46%
    5-2020 2.09%
    6-2020 0.6%
    7-2020 0.58%
    8-2020 1.59%
    9-2020 -0.77%
    10-2020 -0.28%
    11-2020 -0.84%
    12-2020 1.52%
2020 5.84%
    1-2019 NaN%
    2-2019 1.16%
    3-2019 -0.09%
    4-2019 1.67%
    5-2019 0.02%
    6-2019 1.19%
    7-2019 1.21%
    8-2019 0.07%
    9-2019 2.33%
    10-2019 -0.7%
    11-2019 0.11%
    12-2019 -0.07%
2019 6.87%
    1-2018 NaN%
    2-2018 -0.97%
    3-2018 -1.35%
    4-2018 0.24%
    5-2018 -0.97%
    6-2018 0.51%
    7-2018 -0.17%
    8-2018 -0.01%
    9-2018 0.45%
    10-2018 -0.74%
    11-2018 -1.29%
    12-2018 0.38%
2018 -3%
    1-2017 NaN%
    2-2017 0.19%
    3-2017 0.63%
    4-2017 -0.28%
    5-2017 0.59%
    6-2017 0.49%
    7-2017 -0.15%
    8-2017 0.27%
    9-2017 0.62%
    10-2017 -0.6%
    11-2017 0.02%
    12-2017 -0.2%
2017 1.84%
    1-2016 NaN%
    2-2016 0.88%
    3-2016 0.44%
    4-2016 1.03%
    5-2016 0.21%
    6-2016 -0.09%
    7-2016 1.65%
    8-2016 0.63%
    9-2016 -0.33%
    10-2016 -0.27%
    11-2016 -1.05%
    12-2016 -2.46%
2016 0.61%
    1-2015 NaN%
    2-2015 1.87%
    3-2015 -0.91%
    4-2015 0.1%
    5-2015 -0.5%
    6-2015 -0.54%
    7-2015 -1.24%
    8-2015 0.61%
    9-2015 -0.83%
    10-2015 0.36%
    11-2015 0.22%
    12-2015 -0.41%
2015 -2.09%
    1-2014 NaN%
    2-2014 1.1%
    3-2014 0.5%
    4-2014 -0.35%
    5-2014 0.54%
    6-2014 0.9%
    7-2014 0.02%
    8-2014 -0.54%
    9-2014 1.09%
    10-2014 -1%
    11-2014 0.84%
    12-2014 0.56%
2014 3.31%
    1-2013 NaN%
    2-2013 -0.58%
    3-2013 0.41%
    4-2013 -0.09%
    5-2013 0.78%
    6-2013 -1.68%
    7-2013 -1.83%
    8-2013 0.27%
    9-2013 -0.94%
    10-2013 0.88%
    11-2013 0.75%
    12-2013 -0.39%
2013 -2.99%
    1-2012 NaN%
    2-2012 0.86%
    3-2012 -0.04%
    4-2012 -0.73%
    5-2012 0.84%
    6-2012 0.38%
    7-2012 -0%
    8-2012 1.16%
    9-2012 -0.04%
    10-2012 0.02%
    11-2012 -0.17%
    12-2012 0.04%
2012 1.47%
    1-2011 NaN%
    2-2011 -0.07%
    3-2011 0.09%
    4-2011 -0.27%
    5-2011 1.14%
    6-2011 0.92%
    7-2011 -0.73%
    8-2011 1.13%
    9-2011 0.84%
    10-2011 0.19%
    11-2011 0.49%
    12-2011 -0.53%
2011 3.54%
