    1-2021 NaN%
    2-2021 -0.74%
    3-2021 -0.28%
    4-2021 -0.32%
    5-2021 1.9%
    6-2021 0.44%
    7-2021 0.79%
2021 2.64%
    1-2020 NaN%
    2-2020 1.02%
    3-2020 -1.26%
    4-2020 -5%
    5-2020 4.56%
    6-2020 1.81%
    7-2020 1.09%
    8-2020 2.52%
    9-2020 1.06%
    10-2020 -1.12%
    11-2020 -1.2%
    12-2020 4.4%
2020 8.36%
    1-2019 NaN%
    2-2019 3.03%
    3-2019 0.69%
    4-2019 1.43%
    5-2019 0.95%
    6-2019 -0.73%
    7-2019 2.45%
    8-2019 0.13%
    9-2019 1.16%
    10-2019 -0.11%
    11-2019 0.75%
    12-2019 0.71%
2019 11.57%
    1-2018 NaN%
    2-2018 0.71%
    3-2018 -2.1%
    4-2018 -0.31%
    5-2018 -0.58%
    6-2018 0.69%
    7-2018 -0.36%
    8-2018 0.8%
    9-2018 0.73%
    10-2018 -0.62%
    11-2018 -2.98%
    12-2018 0.75%
2018 -4.93%
    1-2017 NaN%
    2-2017 0.82%
    3-2017 1.24%
    4-2017 -0.05%
    5-2017 0.81%
    6-2017 0.81%
    7-2017 -0.08%
    8-2017 0.83%
    9-2017 0.54%
    10-2017 0.02%
    11-2017 0.57%
    12-2017 0.45%
2017 6.79%
    1-2016 NaN%
    2-2016 -0.84%
    3-2016 0.12%
    4-2016 2.6%
    5-2016 0.47%
    6-2016 0.15%
    7-2016 0.99%
    8-2016 1.54%
    9-2016 -0.13%
    10-2016 -0.18%
    11-2016 -1.32%
    12-2016 -1.24%
2016 2.4%
    1-2015 NaN%
    2-2015 0.92%
    3-2015 0.82%
    4-2015 -0.34%
    5-2015 0.16%
    6-2015 -0.24%
    7-2015 -1.62%
    8-2015 0.67%
    9-2015 -2.3%
    10-2015 -0.72%
    11-2015 2.09%
    12-2015 -0.33%
2015 -2.42%
    1-2014 NaN%
    2-2014 -0.15%
    3-2014 1.68%
    4-2014 -0.27%
    5-2014 0.52%
    6-2014 1.21%
    7-2014 0.44%
    8-2014 -0.88%
    9-2014 1.62%
    10-2014 -1.68%
    11-2014 1.07%
    12-2014 0.81%
2014 3.62%
    1-2013 NaN%
    2-2013 0.83%
    3-2013 0.42%
    4-2013 0.58%
    5-2013 1.18%
    6-2013 -1.1%
    7-2013 -2.1%
    8-2013 1.56%
    9-2013 -1.33%
    10-2013 1.8%
    11-2013 1.6%
    12-2013 0.22%
2013 4.22%
    1-2012 NaN%
    2-2012 2.17%
    3-2012 1.16%
    4-2012 -0.15%
    5-2012 0.34%
    6-2012 -1.8%
    7-2012 1.13%
    8-2012 1.08%
    9-2012 0.65%
    10-2012 0.55%
    11-2012 -0.38%
    12-2012 0.32%
2012 4.81%
    1-2011 NaN%
    2-2011 0.39%
    3-2011 0.94%
    4-2011 -0.23%
    5-2011 1.83%
    6-2011 0.22%
    7-2011 -1.05%
    8-2011 0.31%
    9-2011 -1.18%
    10-2011 -2.39%
    11-2011 3.27%
    12-2011 -0.7%
2011 0.92%
