    1-2021 NaN%
    2-2021 -0.57%
    3-2021 1.25%
    4-2021 1.25%
    5-2021 3.4%
    6-2021 0.3%
    7-2021 1.59%
2021 8.57%
    1-2020 NaN%
    2-2020 0.72%
    3-2020 -4.29%
    4-2020 -8.83%
    5-2020 8.56%
    6-2020 3.36%
    7-2020 1.31%
    8-2020 3.94%
    9-2020 3.83%
    10-2020 -2.4%
    11-2020 -1.6%
    12-2020 7.7%
2020 13.39%
    1-2019 NaN%
    2-2019 5.47%
    3-2019 1.99%
    4-2019 1.23%
    5-2019 2.31%
    6-2019 -3.22%
    7-2019 4.33%
    8-2019 0.86%
    9-2019 -0.18%
    10-2019 0.42%
    11-2019 1.27%
    12-2019 2.16%
2019 19.3%
    1-2018 NaN%
    2-2018 2.67%
    3-2018 -2.72%
    4-2018 -1.28%
    5-2018 -0.19%
    6-2018 1.85%
    7-2018 0.07%
    8-2018 1.93%
    9-2018 2.19%
    10-2018 -0.5%
    11-2018 -4.83%
    12-2018 1.36%
2018 -5.28%
    1-2017 NaN%
    2-2017 1.19%
    3-2017 2.41%
    4-2017 -0.33%
    5-2017 0.85%
    6-2017 0.8%
    7-2017 0.2%
    8-2017 1.19%
    9-2017 0.36%
    10-2017 0.92%
    11-2017 1.27%
    12-2017 1.68%
2017 11.76%
    1-2016 NaN%
    2-2016 -2.9%
    3-2016 0.16%
    4-2016 4.22%
    5-2016 0.46%
    6-2016 0.99%
    7-2016 0.58%
    8-2016 2.55%
    9-2016 0.02%
    10-2016 -0.31%
    11-2016 -1.73%
    12-2016 1.54%
2016 6.29%
    1-2015 NaN%
    2-2015 -0.82%
    3-2015 2.95%
    4-2015 -0.81%
    5-2015 0.03%
    6-2015 0.58%
    7-2015 -1.75%
    8-2015 1.21%
    9-2015 -3.83%
    10-2015 -1.84%
    11-2015 4.64%
    12-2015 0.15%
2015 -1.79%
    1-2014 NaN%
    2-2014 -1.33%
    3-2014 2.96%
    4-2014 -0.1%
    5-2014 0.26%
    6-2014 1.64%
    7-2014 1.25%
    8-2014 -1.37%
    9-2014 2.88%
    10-2014 -1.9%
    11-2014 1.94%
    12-2014 1.64%
2014 7.48%
    1-2013 NaN%
    2-2013 2.94%
    3-2013 0.91%
    4-2013 1.95%
    5-2013 1.31%
    6-2013 0.65%
    7-2013 -1.76%
    8-2013 3.27%
    9-2013 -2.02%
    10-2013 2.2%
    11-2013 2.77%
    12-2013 1.5%
2013 16.67%
    1-2012 NaN%
    2-2012 3.3%
    3-2012 2.45%
    4-2012 1.21%
    5-2012 -0.01%
    6-2012 -3.45%
    7-2012 1.98%
    8-2012 1.09%
    9-2012 1.43%
    10-2012 1.21%
    11-2012 -1.09%
    12-2012 0.44%
2012 8.67%
    1-2011 NaN%
    2-2011 1.24%
    3-2011 2.14%
    4-2011 -0.1%
    5-2011 2.21%
    6-2011 -0.28%
    7-2011 -1.58%
    8-2011 -0.81%
    9-2011 -3.13%
    10-2011 -4.69%
    11-2011 6.89%
    12-2011 -0.39%
2011 1%
