    1-2021 NaN%
    2-2021 -0.91%
    3-2021 -1.42%
    4-2021 -1.38%
    5-2021 0.99%
    6-2021 0.15%
    7-2021 0.65%
2021 -1.21%
    1-2020 NaN%
    2-2020 1.75%
    3-2020 1.05%
    4-2020 -1.49%
    5-2020 2.01%
    6-2020 0.59%
    7-2020 0.61%
    8-2020 1.57%
    9-2020 -0.81%
    10-2020 -0.26%
    11-2020 -0.84%
    12-2020 1.53%
2020 5.69%
    1-2019 NaN%
    2-2019 1.14%
    3-2019 -0.12%
    4-2019 1.67%
    5-2019 0%
    6-2019 1.21%
    7-2019 1.18%
    8-2019 0.02%
    9-2019 2.33%
    10-2019 -0.69%
    11-2019 0.13%
    12-2019 -0.11%
2019 6.71%
    1-2018 NaN%
    2-2018 -0.97%
    3-2018 -1.37%
    4-2018 0.27%
    5-2018 -0.97%
    6-2018 0.44%
    7-2018 -0.22%
    8-2018 -0.03%
    9-2018 0.36%
    10-2018 -0.74%
    11-2018 -1.3%
    12-2018 0.37%
2018 -3.15%
    1-2017 NaN%
    2-2017 0.22%
    3-2017 0.6%
    4-2017 -0.24%
    5-2017 0.6%
    6-2017 0.52%
    7-2017 -0.17%
    8-2017 0.29%
    9-2017 0.63%
    10-2017 -0.61%
    11-2017 0.02%
    12-2017 -0.23%
2017 1.91%
    1-2016 NaN%
    2-2016 0.88%
    3-2016 0.41%
    4-2016 1.05%
    5-2016 0.23%
    6-2016 -0.13%
    7-2016 1.62%
    8-2016 0.63%
    9-2016 -0.32%
    10-2016 -0.26%
    11-2016 -1.05%
    12-2016 -2.56%
2016 0.48%
    1-2015 NaN%
    2-2015 1.92%
    3-2015 -0.91%
    4-2015 0.09%
    5-2015 -0.43%
    6-2015 -0.57%
    7-2015 -1.27%
    8-2015 0.58%
    9-2015 -0.85%
    10-2015 0.35%
    11-2015 0.19%
    12-2015 -0.44%
2015 -2.17%
    1-2014 NaN%
    2-2014 1.08%
    3-2014 0.51%
    4-2014 -0.36%
    5-2014 0.56%
    6-2014 0.9%
    7-2014 -0%
    8-2014 -0.53%
    9-2014 1.04%
    10-2014 -1.05%
    11-2014 0.8%
    12-2014 0.52%
2014 3.05%
    1-2013 NaN%
    2-2013 -0.61%
    3-2013 0.37%
    4-2013 -0.13%
    5-2013 0.8%
    6-2013 -1.76%
    7-2013 -1.88%
    8-2013 0.26%
    9-2013 -0.92%
    10-2013 0.93%
    11-2013 0.74%
    12-2013 -0.43%
2013 -3.28%
    1-2012 NaN%
    2-2012 0.89%
    3-2012 -0.03%
    4-2012 -0.78%
    5-2012 0.82%
    6-2012 0.3%
    7-2012 0.04%
    8-2012 1.16%
    9-2012 -0.04%
    10-2012 0.02%
    11-2012 -0.14%
    12-2012 0.05%
2012 1.48%
    1-2011 NaN%
    2-2011 -0.09%
    3-2011 0.08%
    4-2011 -0.27%
    5-2011 1.17%
    6-2011 0.9%
    7-2011 -0.72%
    8-2011 1.14%
    9-2011 0.8%
    10-2011 0.13%
    11-2011 0.47%
    12-2011 -0.57%
2011 3.3%
