    1-2021 NaN%
    2-2021 -0.48%
    3-2021 1.61%
    4-2021 1.49%
    5-2021 3.51%
    6-2021 0.71%
    7-2021 1.26%
2021 9.31%
    1-2020 NaN%
    2-2020 0.06%
    3-2020 -5.06%
    4-2020 -10.47%
    5-2020 9%
    6-2020 3.79%
    7-2020 1.71%
    8-2020 4.15%
    9-2020 4.26%
    10-2020 -2.59%
    11-2020 -1.75%
    12-2020 8.94%
2020 13.34%
    1-2019 NaN%
    2-2019 6.12%
    3-2019 2.12%
    4-2019 1.08%
    5-2019 2.56%
    6-2019 -3.9%
    7-2019 4.62%
    8-2019 0.54%
    9-2019 -0.69%
    10-2019 0.75%
    11-2019 1.66%
    12-2019 2.19%
2019 20.08%
    1-2018 NaN%
    2-2018 3.37%
    3-2018 -3.16%
    4-2018 -1.34%
    5-2018 0.01%
    6-2018 1.43%
    7-2018 -0.36%
    8-2018 2.17%
    9-2018 1.71%
    10-2018 -0.44%
    11-2018 -5.6%
    12-2018 1.42%
2018 -7.09%
    1-2017 NaN%
    2-2017 1.66%
    3-2017 2.43%
    4-2017 0.06%
    5-2017 1.07%
    6-2017 1.13%
    7-2017 0.13%
    8-2017 1.58%
    9-2017 0.37%
    10-2017 1.09%
    11-2017 1.46%
    12-2017 1.7%
2017 14.25%
    1-2016 NaN%
    2-2016 -3.59%
    3-2016 -0.2%
    4-2016 4.98%
    5-2016 0.73%
    6-2016 0.8%
    7-2016 0.12%
    8-2016 2.97%
    9-2016 0.14%
    10-2016 -0.15%
    11-2016 -1.78%
    12-2016 1.34%
2016 6.09%
    1-2015 NaN%
    2-2015 -0.89%
    3-2015 3.62%
    4-2015 -1.02%
    5-2015 0.78%
    6-2015 0.45%
    7-2015 -2.07%
    8-2015 0.98%
    9-2015 -4.55%
    10-2015 -2.37%
    11-2015 5.23%
    12-2015 -0.01%
2015 -2.46%
    1-2014 NaN%
    2-2014 -2.01%
    3-2014 3.5%
    4-2014 -0.11%
    5-2014 0.39%
    6-2014 1.73%
    7-2014 1.26%
    8-2014 -1.47%
    9-2014 2.77%
    10-2014 -2.48%
    11-2014 1.72%
    12-2014 1.46%
2014 5.77%
    1-2013 NaN%
    2-2013 3.28%
    3-2013 0.66%
    4-2013 1.93%
    5-2013 1.67%
    6-2013 0.33%
    7-2013 -2.21%
    8-2013 3.7%
    9-2013 -2.06%
    10-2013 2.94%
    11-2013 3.03%
    12-2013 1.46%
2013 17.56%
    1-2012 NaN%
    2-2012 4.06%
    3-2012 3.02%
    4-2012 1.1%
    5-2012 -0.33%
    6-2012 -4.82%
    7-2012 2.69%
    8-2012 0.99%
    9-2012 1.73%
    10-2012 1.41%
    11-2012 -0.93%
    12-2012 0.67%
2012 10.09%
    1-2011 NaN%
    2-2011 1.27%
    3-2011 2.38%
    4-2011 -0.12%
    5-2011 2.72%
    6-2011 -0.74%
    7-2011 -1.64%
    8-2011 -1.07%
    9-2011 -4.19%
    10-2011 -6.14%
    11-2011 7.85%
    12-2011 -0.72%
2011 -1.74%
