    1-2021 NaN%
    2-2021 -0.35%
    3-2021 2.16%
    4-2021 1.87%
    5-2021 3.69%
    6-2021 1.31%
    7-2021 0.8%
2021 10.48%
    1-2020 NaN%
    2-2020 -0.88%
    3-2020 -6.22%
    4-2020 -12.9%
    5-2020 9.72%
    6-2020 4.44%
    7-2020 2.29%
    8-2020 4.47%
    9-2020 4.95%
    10-2020 -2.89%
    11-2020 -1.97%
    12-2020 10.78%
2020 13.35%
    1-2019 NaN%
    2-2019 7.1%
    3-2019 2.32%
    4-2019 0.85%
    5-2019 2.94%
    6-2019 -4.92%
    7-2019 5.07%
    8-2019 0.08%
    9-2019 -1.44%
    10-2019 1.24%
    11-2019 2.24%
    12-2019 2.27%
2019 21.35%
    1-2018 NaN%
    2-2018 4.41%
    3-2018 -3.82%
    4-2018 -1.46%
    5-2018 0.31%
    6-2018 0.85%
    7-2018 -0.97%
    8-2018 2.54%
    9-2018 1.05%
    10-2018 -0.35%
    11-2018 -6.75%
    12-2018 1.52%
2018 -9.69%
    1-2017 NaN%
    2-2017 2.34%
    3-2017 2.47%
    4-2017 0.62%
    5-2017 1.37%
    6-2017 1.6%
    7-2017 0.03%
    8-2017 2.15%
    9-2017 0.39%
    10-2017 1.34%
    11-2017 1.75%
    12-2017 1.77%
2017 17.95%
    1-2016 NaN%
    2-2016 -4.62%
    3-2016 -0.71%
    4-2016 6.12%
    5-2016 1.12%
    6-2016 0.53%
    7-2016 -0.56%
    8-2016 3.59%
    9-2016 0.32%
    10-2016 0.07%
    11-2016 -1.87%
    12-2016 1.11%
2016 5.87%
    1-2015 NaN%
    2-2015 -1.03%
    3-2015 4.62%
    4-2015 -1.34%
    5-2015 1.86%
    6-2015 0.29%
    7-2015 -2.52%
    8-2015 0.65%
    9-2015 -5.62%
    10-2015 -3.16%
    11-2015 6.11%
    12-2015 -0.23%
2015 -3.42%
    1-2014 NaN%
    2-2014 -3%
    3-2014 4.3%
    4-2014 -0.12%
    5-2014 0.57%
    6-2014 1.88%
    7-2014 1.29%
    8-2014 -1.62%
    9-2014 2.63%
    10-2014 -3.32%
    11-2014 1.42%
    12-2014 1.21%
2014 3.36%
    1-2013 NaN%
    2-2013 3.81%
    3-2013 0.3%
    4-2013 1.91%
    5-2013 2.18%
    6-2013 -0.1%
    7-2013 -2.86%
    8-2013 4.35%
    9-2013 -2.12%
    10-2013 4.02%
    11-2013 3.44%
    12-2013 1.41%
2013 19.09%
    1-2012 NaN%
    2-2012 5.18%
    3-2012 3.87%
    4-2012 0.95%
    5-2012 -0.81%
    6-2012 -6.82%
    7-2012 3.74%
    8-2012 0.85%
    9-2012 2.18%
    10-2012 1.7%
    11-2012 -0.71%
    12-2012 1%
2012 12.21%
    1-2011 NaN%
    2-2011 1.33%
    3-2011 2.76%
    4-2011 -0.16%
    5-2011 3.46%
    6-2011 -1.41%
    7-2011 -1.72%
    8-2011 -1.47%
    9-2011 -5.76%
    10-2011 -8.27%
    11-2011 9.32%
    12-2011 -1.2%
2011 -5.69%
