    1-2021 NaN%
    2-2021 -0.81%
    3-2021 -0.75%
    4-2021 -0.78%
    5-2021 1.49%
    6-2021 0.38%
    7-2021 0.67%
2021 0.95%
    1-2020 NaN%
    2-2020 1.25%
    3-2020 -0.31%
    4-2020 -3.64%
    5-2020 3.43%
    6-2020 1.31%
    7-2020 0.94%
    8-2020 2.11%
    9-2020 0.25%
    10-2020 -0.75%
    11-2020 -1.06%
    12-2020 3.27%
2020 7.09%
    1-2019 NaN%
    2-2019 2.26%
    3-2019 0.33%
    4-2019 1.51%
    5-2019 0.55%
    6-2019 0.06%
    7-2019 1.9%
    8-2019 0.02%
    9-2019 1.62%
    10-2019 -0.32%
    11-2019 0.53%
    12-2019 0.33%
2019 9.41%
    1-2018 NaN%
    2-2018 0.04%
    3-2018 -1.84%
    4-2018 -0.05%
    5-2018 -0.73%
    6-2018 0.49%
    7-2018 -0.37%
    8-2018 0.45%
    9-2018 0.47%
    10-2018 -0.67%
    11-2018 -2.33%
    12-2018 0.58%
2018 -4.42%
    1-2017 NaN%
    2-2017 0.62%
    3-2017 0.94%
    4-2017 -0.07%
    5-2017 0.75%
    6-2017 0.73%
    7-2017 -0.14%
    8-2017 0.65%
    9-2017 0.59%
    10-2017 -0.25%
    11-2017 0.34%
    12-2017 0.13%
2017 4.94%
    1-2016 NaN%
    2-2016 -0.15%
    3-2016 0.19%
    4-2016 2.01%
    5-2016 0.4%
    6-2016 -0.02%
    7-2016 1.2%
    8-2016 1.19%
    9-2016 -0.2%
    10-2016 -0.19%
    11-2016 -1.2%
    12-2016 -1.9%
2016 1.45%
    1-2015 NaN%
    2-2015 1.38%
    3-2015 0.12%
    4-2015 -0.18%
    5-2015 0.02%
    6-2015 -0.42%
    7-2015 -1.51%
    8-2015 0.58%
    9-2015 -1.75%
    10-2015 -0.32%
    11-2015 1.3%
    12-2015 -0.41%
2015 -2.42%
    1-2014 NaN%
    2-2014 0.31%
    3-2014 1.23%
    4-2014 -0.31%
    5-2014 0.56%
    6-2014 1.08%
    7-2014 0.23%
    8-2014 -0.73%
    9-2014 1.33%
    10-2014 -1.48%
    11-2014 0.9%
    12-2014 0.64%
2014 3.04%
    1-2013 NaN%
    2-2013 0.21%
    3-2013 0.35%
    4-2013 0.24%
    5-2013 1.07%
    6-2013 -1.47%
    7-2013 -2.08%
    8-2013 1.02%
    9-2013 -1.14%
    10-2013 1.52%
    11-2013 1.24%
    12-2013 -0.1%
2013 0.84%
    1-2012 NaN%
    2-2012 1.7%
    3-2012 0.7%
    4-2012 -0.47%
    5-2012 0.51%
    6-2012 -1.05%
    7-2012 0.74%
    8-2012 1.1%
    9-2012 0.38%
    10-2012 0.33%
    11-2012 -0.24%
    12-2012 0.24%
2012 3.5%
    1-2011 NaN%
    2-2011 0.17%
    3-2011 0.58%
    4-2011 -0.26%
    5-2011 1.61%
    6-2011 0.46%
    7-2011 -0.9%
    8-2011 0.66%
    9-2011 -0.44%
    10-2011 -1.46%
    11-2011 2.12%
    12-2011 -0.7%
2011 1.55%
