    1-2021 NaN%
    2-2021 -0.88%
    3-2021 -1.18%
    4-2021 -1.13%
    5-2021 1.22%
    6-2021 0.15%
    7-2021 0.75%
2021 -0.29%
    1-2020 NaN%
    2-2020 1.67%
    3-2020 0.56%
    4-2020 -2.15%
    5-2020 2.62%
    6-2020 0.84%
    7-2020 0.67%
    8-2020 1.79%
    9-2020 -0.38%
    10-2020 -0.46%
    11-2020 -0.91%
    12-2020 2.09%
2020 6.43%
    1-2019 NaN%
    2-2019 1.54%
    3-2019 0.08%
    4-2019 1.63%
    5-2019 0.22%
    6-2019 0.8%
    7-2019 1.47%
    8-2019 0.11%
    9-2019 2.1%
    10-2019 -0.59%
    11-2019 0.22%
    12-2019 0.11%
2019 7.9%
    1-2018 NaN%
    2-2018 -0.64%
    3-2018 -1.49%
    4-2018 0.12%
    5-2018 -0.9%
    6-2018 0.58%
    7-2018 -0.18%
    8-2018 0.15%
    9-2018 0.55%
    10-2018 -0.72%
    11-2018 -1.62%
    12-2018 0.46%
2018 -3.3%
    1-2017 NaN%
    2-2017 0.3%
    3-2017 0.77%
    4-2017 -0.26%
    5-2017 0.62%
    6-2017 0.54%
    7-2017 -0.13%
    8-2017 0.37%
    9-2017 0.6%
    10-2017 -0.47%
    11-2017 0.13%
    12-2017 -0.05%
2017 2.79%
    1-2016 NaN%
    2-2016 0.53%
    3-2016 0.39%
    4-2016 1.33%
    5-2016 0.25%
    6-2016 -0.02%
    7-2016 1.53%
    8-2016 0.81%
    9-2016 -0.29%
    10-2016 -0.26%
    11-2016 -1.11%
    12-2016 -2.17%
2016 1.04%
    1-2015 NaN%
    2-2015 1.66%
    3-2015 -0.56%
    4-2015 0.01%
    5-2015 -0.4%
    6-2015 -0.46%
    7-2015 -1.31%
    8-2015 0.64%
    9-2015 -1.11%
    10-2015 0.15%
    11-2015 0.6%
    12-2015 -0.38%
2015 -2.11%
    1-2014 NaN%
    2-2014 0.87%
    3-2014 0.73%
    4-2014 -0.33%
    5-2014 0.52%
    6-2014 0.97%
    7-2014 0.12%
    8-2014 -0.61%
    9-2014 1.22%
    10-2014 -1.11%
    11-2014 0.91%
    12-2014 0.63%
2014 3.52%
    1-2013 NaN%
    2-2013 -0.28%
    3-2013 0.43%
    4-2013 0.07%
    5-2013 0.84%
    6-2013 -1.52%
    7-2013 -1.86%
    8-2013 0.54%
    9-2013 -1.03%
    10-2013 1.03%
    11-2013 0.92%
    12-2013 -0.24%
2013 -1.4%
    1-2012 NaN%
    2-2012 1.1%
    3-2012 0.19%
    4-2012 -0.59%
    5-2012 0.75%
    6-2012 -0.02%
    7-2012 0.2%
    8-2012 1.15%
    9-2012 0.09%
    10-2012 0.13%
    11-2012 -0.23%
    12-2012 0.08%
2012 2.13%
    1-2011 NaN%
    2-2011 0.03%
    3-2011 0.27%
    4-2011 -0.26%
    5-2011 1.26%
    6-2011 0.8%
    7-2011 -0.8%
    8-2011 0.96%
    9-2011 0.45%
    10-2011 -0.29%
    11-2011 1.06%
    12-2011 -0.54%
2011 3.15%
