    1-2021 NaN%
    2-2021 -0.79%
    3-2021 -0.44%
    4-2021 -0.41%
    5-2021 1.89%
    6-2021 0.18%
    7-2021 1.03%
2021 2.42%
    1-2020 NaN%
    2-2020 1.41%
    3-2020 -0.91%
    4-2020 -4.14%
    5-2020 4.44%
    6-2020 1.6%
    7-2020 0.85%
    8-2020 2.45%
    9-2020 0.9%
    10-2020 -1.05%
    11-2020 -1.12%
    12-2020 3.77%
2020 8.59%
    1-2019 NaN%
    2-2019 2.72%
    3-2019 0.67%
    4-2019 1.51%
    5-2019 0.85%
    6-2019 -0.41%
    7-2019 2.34%
    8-2019 0.36%
    9-2019 1.42%
    10-2019 -0.29%
    11-2019 0.53%
    12-2019 0.74%
2019 11.39%
    1-2018 NaN%
    2-2018 0.35%
    3-2018 -1.85%
    4-2018 -0.31%
    5-2018 -0.69%
    6-2018 0.99%
    7-2018 -0.08%
    8-2018 0.69%
    9-2018 1.08%
    10-2018 -0.65%
    11-2018 -2.57%
    12-2018 0.74%
2018 -3.83%
    1-2017 NaN%
    2-2017 0.55%
    3-2017 1.28%
    4-2017 -0.3%
    5-2017 0.68%
    6-2017 0.6%
    7-2017 -0.02%
    8-2017 0.61%
    9-2017 0.53%
    10-2017 -0.05%
    11-2017 0.47%
    12-2017 0.48%
2017 5.45%
    1-2016 NaN%
    2-2016 -0.5%
    3-2016 0.34%
    4-2016 2.19%
    5-2016 0.3%
    6-2016 0.31%
    7-2016 1.26%
    8-2016 1.33%
    9-2016 -0.2%
    10-2016 -0.29%
    11-2016 -1.3%
    12-2016 -1.01%
2016 2.67%
    1-2015 NaN%
    2-2015 0.89%
    3-2015 0.49%
    4-2015 -0.23%
    5-2015 -0.3%
    6-2015 -0.13%
    7-2015 -1.43%
    8-2015 0.83%
    9-2015 -1.92%
    10-2015 -0.44%
    11-2015 1.83%
    12-2015 -0.21%
2015 -1.98%
    1-2014 NaN%
    2-2014 0.22%
    3-2014 1.4%
    4-2014 -0.26%
    5-2014 0.44%
    6-2014 1.17%
    7-2014 0.47%
    8-2014 -0.84%
    9-2014 1.74%
    10-2014 -1.33%
    11-2014 1.24%
    12-2014 0.95%
2014 4.83%
    1-2013 NaN%
    2-2013 0.7%
    3-2013 0.59%
    4-2013 0.66%
    5-2013 0.97%
    6-2013 -0.84%
    7-2013 -1.81%
    8-2013 1.36%
    9-2013 -1.33%
    10-2013 1.36%
    11-2013 1.48%
    12-2013 0.3%
2013 4.16%
    1-2012 NaN%
    2-2012 1.75%
    3-2012 0.86%
    4-2012 -0.02%
    5-2012 0.53%
    6-2012 -1.02%
    7-2012 0.72%
    8-2012 1.14%
    9-2012 0.49%
    10-2012 0.45%
    11-2012 -0.51%
    12-2012 0.18%
2012 4.09%
    1-2011 NaN%
    2-2011 0.4%
    3-2011 0.84%
    4-2011 -0.21%
    5-2011 1.53%
    6-2011 0.48%
    7-2011 -1.04%
    8-2011 0.43%
    9-2011 -0.61%
    10-2011 -1.58%
    11-2011 2.82%
    12-2011 -0.48%
2011 2.62%
