    1-2021 NaN%
    2-2021 -0.75%
    3-2021 -0.23%
    4-2021 -0.22%
    5-2021 2.04%
    6-2021 0.27%
    7-2021 1%
2021 3.08%
    1-2020 NaN%
    2-2020 1.21%
    3-2020 -1.35%
    4-2020 -4.87%
    5-2020 4.87%
    6-2020 1.84%
    7-2020 0.97%
    8-2020 2.61%
    9-2020 1.23%
    10-2020 -1.2%
    11-2020 -1.19%
    12-2020 4.35%
2020 8.97%
    1-2019 NaN%
    2-2019 3.09%
    3-2019 0.8%
    4-2019 1.46%
    5-2019 1.03%
    6-2019 -0.79%
    7-2019 2.57%
    8-2019 0.33%
    9-2019 1.18%
    10-2019 -0.16%
    11-2019 0.67%
    12-2019 0.87%
2019 12.2%
    1-2018 NaN%
    2-2018 0.69%
    3-2018 -2.01%
    4-2018 -0.4%
    5-2018 -0.61%
    6-2018 0.97%
    7-2018 -0.16%
    8-2018 0.85%
    9-2018 1.07%
    10-2018 -0.63%
    11-2018 -2.92%
    12-2018 0.8%
2018 -4.33%
    1-2017 NaN%
    2-2017 0.7%
    3-2017 1.37%
    4-2017 -0.22%
    5-2017 0.74%
    6-2017 0.69%
    7-2017 -0.02%
    8-2017 0.74%
    9-2017 0.52%
    10-2017 0.07%
    11-2017 0.58%
    12-2017 0.59%
2017 6.5%
    1-2016 NaN%
    2-2016 -0.84%
    3-2016 0.25%
    4-2016 2.52%
    5-2016 0.37%
    6-2016 0.32%
    7-2016 1.1%
    8-2016 1.51%
    9-2016 -0.16%
    10-2016 -0.25%
    11-2016 -1.35%
    12-2016 -0.84%
2016 2.93%
    1-2015 NaN%
    2-2015 0.74%
    3-2015 0.84%
    4-2015 -0.32%
    5-2015 -0.12%
    6-2015 -0.1%
    7-2015 -1.52%
    8-2015 0.81%
    9-2015 -2.23%
    10-2015 -0.67%
    11-2015 2.18%
    12-2015 -0.21%
2015 -2.11%
    1-2014 NaN%
    2-2014 -0.05%
    3-2014 1.64%
    4-2014 -0.25%
    5-2014 0.45%
    6-2014 1.23%
    7-2014 0.53%
    8-2014 -0.9%
    9-2014 1.81%
    10-2014 -1.5%
    11-2014 1.25%
    12-2014 0.97%
2014 4.68%
    1-2013 NaN%
    2-2013 0.95%
    3-2013 0.56%
    4-2013 0.76%
    5-2013 1.07%
    6-2013 -0.78%
    7-2013 -1.9%
    8-2013 1.61%
    9-2013 -1.4%
    10-2013 1.59%
    11-2013 1.65%
    12-2013 0.39%
2013 5.37%
    1-2012 NaN%
    2-2012 2.04%
    3-2012 1.11%
    4-2012 0.05%
    5-2012 0.42%
    6-2012 -1.51%
    7-2012 0.97%
    8-2012 1.11%
    9-2012 0.63%
    10-2012 0.56%
    11-2012 -0.52%
    12-2012 0.25%
2012 4.77%
    1-2011 NaN%
    2-2011 0.48%
    3-2011 0.99%
    4-2011 -0.2%
    5-2011 1.69%
    6-2011 0.32%
    7-2011 -1.09%
    8-2011 0.27%
    9-2011 -1.04%
    10-2011 -2.14%
    11-2011 3.36%
    12-2011 -0.54%
2011 1.9%
