    1-2021 NaN%
    2-2021 -0.64%
    3-2021 0.41%
    4-2021 0.31%
    5-2021 2.44%
    6-2021 0.61%
    7-2021 0.88%
2021 4.95%
    1-2020 NaN%
    2-2020 0.57%
    3-2020 -2.65%
    4-2020 -7.1%
    5-2020 6.08%
    6-2020 2.54%
    7-2020 1.37%
    8-2020 3.09%
    9-2020 2.19%
    10-2020 -1.63%
    11-2020 -1.41%
    12-2020 6.12%
2020 9.96%
    1-2019 NaN%
    2-2019 4.16%
    3-2019 1.18%
    4-2019 1.28%
    5-2019 1.52%
    6-2019 -1.89%
    7-2019 3.21%
    8-2019 0.2%
    9-2019 0.46%
    10-2019 0.24%
    11-2019 1.13%
    12-2019 1.19%
2019 14.48%
    1-2018 NaN%
    2-2018 1.71%
    3-2018 -2.54%
    4-2018 -0.66%
    5-2018 -0.35%
    6-2018 0.84%
    7-2018 -0.45%
    8-2018 1.29%
    9-2018 0.95%
    10-2018 -0.55%
    11-2018 -3.99%
    12-2018 0.98%
2018 -6%
    1-2017 NaN%
    2-2017 1.19%
    3-2017 1.63%
    4-2017 0.07%
    5-2017 0.94%
    6-2017 0.98%
    7-2017 -0.03%
    8-2017 1.15%
    9-2017 0.49%
    10-2017 0.4%
    11-2017 0.9%
    12-2017 0.86%
2017 9.72%
    1-2016 NaN%
    2-2016 -1.87%
    3-2016 -0.06%
    4-2016 3.53%
    5-2016 0.61%
    6-2016 0.32%
    7-2016 0.61%
    8-2016 2.09%
    9-2016 -0.02%
    10-2016 -0.14%
    11-2016 -1.48%
    12-2016 -0.45%
2016 3.55%
    1-2015 NaN%
    2-2015 0.32%
    3-2015 1.86%
    4-2015 -0.61%
    5-2015 0.52%
    6-2015 -0.04%
    7-2015 -1.83%
    8-2015 0.72%
    9-2015 -3.18%
    10-2015 -1.37%
    11-2015 3.22%
    12-2015 -0.26%
2015 -2.57%
    1-2014 NaN%
    2-2014 -0.89%
    3-2014 2.38%
    4-2014 -0.22%
    5-2014 0.51%
    6-2014 1.4%
    7-2014 0.71%
    8-2014 -1.09%
    9-2014 1.97%
    10-2014 -2.05%
    11-2014 1.24%
    12-2014 0.98%
2014 3.96%
    1-2013 NaN%
    2-2013 1.69%
    3-2013 0.44%
    4-2013 1.01%
    5-2013 1.41%
    6-2013 -0.7%
    7-2013 -2.23%
    8-2013 2.34%
    9-2013 -1.57%
    10-2013 2.32%
    11-2013 2.12%
    12-2013 0.61%
2013 8.72%
    1-2012 NaN%
    2-2012 2.94%
    3-2012 1.88%
    4-2012 0.23%
    5-2012 0.06%
    6-2012 -3.06%
    7-2012 1.78%
    8-2012 1.03%
    9-2012 1.06%
    10-2012 0.87%
    11-2012 -0.52%
    12-2012 0.48%
2012 6.81%
    1-2011 NaN%
    2-2011 0.68%
    3-2011 1.46%
    4-2011 -0.2%
    5-2011 2.22%
    6-2011 -0.19%
    7-2011 -1.25%
    8-2011 -0.19%
    9-2011 -2.38%
    10-2011 -3.9%
    11-2011 4.95%
    12-2011 -0.78%
2011 -0.5%
