    1-2021 NaN%
    2-2021 -0.67%
    3-2021 0.14%
    4-2021 0.04%
    5-2021 2.16%
    6-2021 0.66%
    7-2021 0.71%
2021 3.89%
    1-2020 NaN%
    2-2020 0.59%
    3-2020 -2.13%
    4-2020 -6.49%
    5-2020 5.37%
    6-2020 2.27%
    7-2020 1.35%
    8-2020 2.84%
    9-2020 1.7%
    10-2020 -1.41%
    11-2020 -1.34%
    12-2020 5.58%
2020 9.01%
    1-2019 NaN%
    2-2019 3.75%
    3-2019 0.94%
    4-2019 1.31%
    5-2019 1.28%
    6-2019 -1.47%
    7-2019 2.88%
    8-2019 0.04%
    9-2019 0.68%
    10-2019 0.16%
    11-2019 1.05%
    12-2019 0.92%
2019 13.09%
    1-2018 NaN%
    2-2018 1.39%
    3-2018 -2.45%
    4-2018 -0.48%
    5-2018 -0.41%
    6-2018 0.6%
    7-2018 -0.56%
    8-2018 1.09%
    9-2018 0.65%
    10-2018 -0.57%
    11-2018 -3.69%
    12-2018 0.87%
2018 -6.04%
    1-2017 NaN%
    2-2017 1.15%
    3-2017 1.41%
    4-2017 0.14%
    5-2017 0.94%
    6-2017 1%
    7-2017 -0.09%
    8-2017 1.11%
    9-2017 0.53%
    10-2017 0.24%
    11-2017 0.78%
    12-2017 0.64%
2017 8.94%
    1-2016 NaN%
    2-2016 -1.53%
    3-2016 -0.09%
    4-2016 3.27%
    5-2016 0.62%
    6-2016 0.15%
    7-2016 0.66%
    8-2016 1.93%
    9-2016 -0.04%
    10-2016 -0.11%
    11-2016 -1.41%
    12-2016 -0.98%
2016 2.81%
    1-2015 NaN%
    2-2015 0.64%
    3-2015 1.5%
    4-2015 -0.53%
    5-2015 0.59%
    6-2015 -0.2%
    7-2015 -1.82%
    8-2015 0.6%
    9-2015 -2.94%
    10-2015 -1.19%
    11-2015 2.78%
    12-2015 -0.35%
2015 -2.73%
    1-2014 NaN%
    2-2014 -0.71%
    3-2014 2.17%
    4-2014 -0.25%
    5-2014 0.56%
    6-2014 1.33%
    7-2014 0.56%
    8-2014 -1%
    9-2014 1.73%
    10-2014 -2.05%
    11-2014 1.06%
    12-2014 0.81%
2014 3.14%
    1-2013 NaN%
    2-2013 1.31%
    3-2013 0.33%
    4-2013 0.76%
    5-2013 1.41%
    6-2013 -1.05%
    7-2013 -2.32%
    8-2013 2.05%
    9-2013 -1.45%
    10-2013 2.29%
    11-2013 1.91%
    12-2013 0.37%
2013 6.46%
    1-2012 NaN%
    2-2012 2.77%
    3-2012 1.68%
    4-2012 -0.03%
    5-2012 0.1%
    6-2012 -2.83%
    7-2012 1.66%
    8-2012 1.02%
    9-2012 0.93%
    10-2012 0.75%
    11-2012 -0.38%
    12-2012 0.47%
2012 6.18%
    1-2011 NaN%
    2-2011 0.53%
    3-2011 1.25%
    4-2011 -0.23%
    5-2011 2.18%
    6-2011 -0.12%
    7-2011 -1.16%
    8-2011 0%
    9-2011 -2.07%
    10-2011 -3.55%
    11-2011 4.34%
    12-2011 -0.85%
2011 -0.68%
