    1-2021 NaN%
    2-2021 -0.5%
    3-2021 1.67%
    4-2021 1.6%
    5-2021 3.67%
    6-2021 0.52%
    7-2021 1.51%
2021 9.82%
    1-2020 NaN%
    2-2020 0.29%
    3-2020 -5.16%
    4-2020 -10.32%
    5-2020 9.36%
    6-2020 3.83%
    7-2020 1.57%
    8-2020 4.26%
    9-2020 4.46%
    10-2020 -2.69%
    11-2020 -1.74%
    12-2020 8.88%
2020 14.05%
    1-2019 NaN%
    2-2019 6.18%
    3-2019 2.25%
    4-2019 1.11%
    5-2019 2.64%
    6-2019 -3.96%
    7-2019 4.76%
    8-2019 0.77%
    9-2019 -0.66%
    10-2019 0.69%
    11-2019 1.57%
    12-2019 2.38%
2019 20.82%
    1-2018 NaN%
    2-2018 3.35%
    3-2018 -3.07%
    4-2018 -1.45%
    5-2018 -0.02%
    6-2018 1.76%
    7-2018 -0.12%
    8-2018 2.23%
    9-2018 2.11%
    10-2018 -0.44%
    11-2018 -5.53%
    12-2018 1.48%
2018 -6.39%
    1-2017 NaN%
    2-2017 1.52%
    3-2017 2.58%
    4-2017 -0.14%
    5-2017 0.98%
    6-2017 0.99%
    7-2017 0.2%
    8-2017 1.47%
    9-2017 0.34%
    10-2017 1.14%
    11-2017 1.48%
    12-2017 1.86%
2017 13.91%
    1-2016 NaN%
    2-2016 -3.59%
    3-2016 -0.04%
    4-2016 4.89%
    5-2016 0.62%
    6-2016 0.99%
    7-2016 0.25%
    8-2016 2.93%
    9-2016 0.11%
    10-2016 -0.23%
    11-2016 -1.81%
    12-2016 1.8%
2016 6.7%
    1-2015 NaN%
    2-2015 -1.1%
    3-2015 3.63%
    4-2015 -1%
    5-2015 0.46%
    6-2015 0.62%
    7-2015 -1.96%
    8-2015 1.15%
    9-2015 -4.46%
    10-2015 -2.3%
    11-2015 5.34%
    12-2015 0.12%
2015 -2.1%
    1-2014 NaN%
    2-2014 -1.89%
    3-2014 3.46%
    4-2014 -0.08%
    5-2014 0.3%
    6-2014 1.75%
    7-2014 1.37%
    8-2014 -1.5%
    9-2014 2.99%
    10-2014 -2.27%
    11-2014 1.93%
    12-2014 1.65%
2014 7%
    1-2013 NaN%
    2-2013 3.43%
    3-2013 0.83%
    4-2013 2.13%
    5-2013 1.54%
    6-2013 0.7%
    7-2013 -1.98%
    8-2013 3.76%
    9-2013 -2.13%
    10-2013 2.7%
    11-2013 3.09%
    12-2013 1.65%
2013 18.9%
    1-2012 NaN%
    2-2012 3.9%
    3-2012 2.96%
    4-2012 1.33%
    5-2012 -0.25%
    6-2012 -4.48%
    7-2012 2.51%
    8-2012 1.03%
    9-2012 1.72%
    10-2012 1.42%
    11-2012 -1.09%
    12-2012 0.59%
2012 10.03%
    1-2011 NaN%
    2-2011 1.37%
    3-2011 2.45%
    4-2011 -0.09%
    5-2011 2.56%
    6-2011 -0.62%
    7-2011 -1.69%
    8-2011 -1.12%
    9-2011 -4.02%
    10-2011 -5.86%
    11-2011 7.95%
    12-2011 -0.54%
2011 -0.6%
