    1-2021 NaN%
    2-2021 -0.35%
    3-2021 2.55%
    4-2021 2.37%
    5-2021 4.28%
    6-2021 0.89%
    7-2021 1.44%
2021 12.53%
    1-2020 NaN%
    2-2020 -0.46%
    3-2020 -6.94%
    4-2020 -13.23%
    5-2020 11.14%
    6-2020 4.78%
    7-2020 2.05%
    8-2020 4.94%
    9-2020 5.82%
    10-2020 -3.31%
    11-2020 -2.03%
    12-2020 11.22%
2020 15.67%
    1-2019 NaN%
    2-2019 7.65%
    3-2019 2.81%
    4-2019 0.89%
    5-2019 3.34%
    6-2019 -5.46%
    7-2019 5.67%
    8-2019 0.69%
    9-2019 -1.61%
    10-2019 1.2%
    11-2019 2.14%
    12-2019 2.9%
2019 24.18%
    1-2018 NaN%
    2-2018 4.7%
    3-2018 -3.72%
    4-2018 -1.83%
    5-2018 0.31%
    6-2018 1.73%
    7-2018 -0.4%
    8-2018 2.85%
    9-2018 2.12%
    10-2018 -0.34%
    11-2018 -6.92%
    12-2018 1.75%
2018 -8.31%
    1-2017 NaN%
    2-2017 2.1%
    3-2017 2.98%
    4-2017 0.16%
    5-2017 1.21%
    6-2017 1.32%
    7-2017 0.22%
    8-2017 1.98%
    9-2017 0.29%
    10-2017 1.61%
    11-2017 1.9%
    12-2017 2.3%
2017 18.06%
    1-2016 NaN%
    2-2016 -4.96%
    3-2016 -0.39%
    4-2016 6.2%
    5-2016 0.89%
    6-2016 1.07%
    7-2016 -0.35%
    8-2016 3.69%
    9-2016 0.29%
    10-2016 -0.11%
    11-2016 -2.01%
    12-2016 2.53%
2016 7.8%
    1-2015 NaN%
    2-2015 -1.75%
    3-2015 5.01%
    4-2015 -1.37%
    5-2015 1.16%
    6-2015 0.77%
    7-2015 -2.31%
    8-2015 1.1%
    9-2015 -5.69%
    10-2015 -3.21%
    11-2015 6.77%
    12-2015 0.12%
2015 -2.56%
    1-2014 NaN%
    2-2014 -2.96%
    3-2014 4.42%
    4-2014 -0.03%
    5-2014 0.34%
    6-2014 1.99%
    7-2014 1.65%
    8-2014 -1.76%
    9-2014 3.29%
    10-2014 -2.92%
    11-2014 2%
    12-2014 1.74%
2014 6.57%
    1-2013 NaN%
    2-2013 4.47%
    3-2013 0.74%
    4-2013 2.55%
    5-2013 1.93%
    6-2013 0.97%
    7-2013 -2.32%
    8-2013 4.76%
    9-2013 -2.4%
    10-2013 3.57%
    11-2013 3.74%
    12-2013 2.03%
2013 23.95%
    1-2012 NaN%
    2-2012 5.04%
    3-2012 3.96%
    4-2012 1.67%
    5-2012 -0.69%
    6-2012 -6.4%
    7-2012 3.51%
    8-2012 0.94%
    9-2012 2.28%
    10-2012 1.83%
    11-2012 -1.17%
    12-2012 0.86%
2012 12.73%
    1-2011 NaN%
    2-2011 1.68%
    3-2011 3.09%
    4-2011 -0.08%
    5-2011 3.2%
    6-2011 -1.25%
    7-2011 -1.92%
    8-2011 -1.75%
    9-2011 -5.73%
    10-2011 -8.07%
    11-2011 10.12%
    12-2011 -0.78%
2011 -3.32%
