    1-2021 NaN%
    2-2021 -0.33%
    3-2021 2.09%
    4-2021 1.72%
    5-2021 3.49%
    6-2021 1.54%
    7-2021 0.51%
2021 9.86%
    1-2020 NaN%
    2-2020 -1.16%
    3-2020 -6.1%
    4-2020 -13.08%
    5-2020 9.27%
    6-2020 4.4%
    7-2020 2.45%
    8-2020 4.34%
    9-2020 4.7%
    10-2020 -2.77%
    11-2020 -1.98%
    12-2020 10.85%
2020 12.49%
    1-2019 NaN%
    2-2019 7.02%
    3-2019 2.17%
    4-2019 0.81%
    5-2019 2.84%
    6-2019 -4.84%
    7-2019 4.9%
    8-2019 -0.2%
    9-2019 -1.46%
    10-2019 1.32%
    11-2019 2.35%
    12-2019 2.04%
2019 20.45%
    1-2018 NaN%
    2-2018 4.43%
    3-2018 -3.94%
    4-2018 -1.33%
    5-2018 0.34%
    6-2018 0.45%
    7-2018 -1.26%
    8-2018 2.46%
    9-2018 0.57%
    10-2018 -0.34%
    11-2018 -6.83%
    12-2018 1.45%
2018 -10.54%
    1-2017 NaN%
    2-2017 2.51%
    3-2017 2.28%
    4-2017 0.86%
    5-2017 1.47%
    6-2017 1.77%
    7-2017 -0.06%
    8-2017 2.28%
    9-2017 0.43%
    10-2017 1.28%
    11-2017 1.73%
    12-2017 1.58%
2017 18.37%
    1-2016 NaN%
    2-2016 -4.62%
    3-2016 -0.9%
    4-2016 6.23%
    5-2016 1.25%
    6-2016 0.29%
    7-2016 -0.73%
    8-2016 3.63%
    9-2016 0.35%
    10-2016 0.17%
    11-2016 -1.83%
    12-2016 0.55%
2016 5.12%
    1-2015 NaN%
    2-2015 -0.78%
    3-2015 4.59%
    4-2015 -1.37%
    5-2015 2.25%
    6-2015 0.09%
    7-2015 -2.66%
    8-2015 0.44%
    9-2015 -5.73%
    10-2015 -3.24%
    11-2015 5.98%
    12-2015 -0.39%
2015 -3.86%
    1-2014 NaN%
    2-2014 -3.14%
    3-2014 4.36%
    4-2014 -0.16%
    5-2014 0.67%
    6-2014 1.86%
    7-2014 1.16%
    8-2014 -1.58%
    9-2014 2.36%
    10-2014 -3.57%
    11-2014 1.17%
    12-2014 0.98%
2014 1.86%
    1-2013 NaN%
    2-2013 3.63%
    3-2013 0.09%
    4-2013 1.67%
    5-2013 2.33%
    6-2013 -0.55%
    7-2013 -3.14%
    8-2013 4.28%
    9-2013 -2.03%
    10-2013 4.32%
    11-2013 3.37%
    12-2013 1.17%
2013 17.47%
    1-2012 NaN%
    2-2012 5.37%
    3-2012 3.94%
    4-2012 0.67%
    5-2012 -0.91%
    6-2012 -7.23%
    7-2012 3.95%
    8-2012 0.8%
    9-2012 2.2%
    10-2012 1.69%
    11-2012 -0.51%
    12-2012 1.09%
2012 12.28%
    1-2011 NaN%
    2-2011 1.21%
    3-2011 2.68%
    4-2011 -0.2%
    5-2011 3.65%
    6-2011 -1.56%
    7-2011 -1.66%
    8-2011 -1.42%
    9-2011 -5.96%
    10-2011 -8.61%
    11-2011 9.2%
    12-2011 -1.42%
2011 -7.07%
