    1-2021 NaN%
    2-2021 -0.37%
    3-2021 2.63%
    4-2021 2.52%
    5-2021 4.49%
    6-2021 0.65%
    7-2021 1.76%
2021 13.19%
    1-2020 NaN%
    2-2020 -0.17%
    3-2020 -7.07%
    4-2020 -13.04%
    5-2020 11.61%
    6-2020 4.82%
    7-2020 1.87%
    8-2020 5.08%
    9-2020 6.08%
    10-2020 -3.44%
    11-2020 -2.02%
    12-2020 11.14%
2020 16.59%
    1-2019 NaN%
    2-2019 7.73%
    3-2019 2.97%
    4-2019 0.94%
    5-2019 3.45%
    6-2019 -5.55%
    7-2019 5.85%
    8-2019 0.99%
    9-2019 -1.58%
    10-2019 1.12%
    11-2019 2.02%
    12-2019 3.14%
2019 25.13%
    1-2018 NaN%
    2-2018 4.68%
    3-2018 -3.59%
    4-2018 -1.97%
    5-2018 0.27%
    6-2018 2.15%
    7-2018 -0.1%
    8-2018 2.92%
    9-2018 2.63%
    10-2018 -0.35%
    11-2018 -6.84%
    12-2018 1.82%
2018 -7.42%
    1-2017 NaN%
    2-2017 1.92%
    3-2017 3.18%
    4-2017 -0.1%
    5-2017 1.11%
    6-2017 1.14%
    7-2017 0.31%
    8-2017 1.84%
    9-2017 0.25%
    10-2017 1.68%
    11-2017 1.93%
    12-2017 2.5%
2017 17.61%
    1-2016 NaN%
    2-2016 -4.96%
    3-2016 -0.19%
    4-2016 6.08%
    5-2016 0.74%
    6-2016 1.33%
    7-2016 -0.17%
    8-2016 3.64%
    9-2016 0.25%
    10-2016 -0.22%
    11-2016 -2.05%
    12-2016 3.13%
2016 8.59%
    1-2015 NaN%
    2-2015 -2.02%
    3-2015 5.03%
    4-2015 -1.34%
    5-2015 0.74%
    6-2015 0.98%
    7-2015 -2.17%
    8-2015 1.32%
    9-2015 -5.57%
    10-2015 -3.12%
    11-2015 6.91%
    12-2015 0.29%
2015 -2.09%
    1-2014 NaN%
    2-2014 -2.81%
    3-2014 4.36%
    4-2014 0%
    5-2014 0.23%
    6-2014 2.01%
    7-2014 1.78%
    8-2014 -1.79%
    9-2014 3.57%
    10-2014 -2.65%
    11-2014 2.27%
    12-2014 1.99%
2014 8.17%
    1-2013 NaN%
    2-2013 4.66%
    3-2013 0.96%
    4-2013 2.81%
    5-2013 1.77%
    6-2013 1.44%
    7-2013 -2.02%
    8-2013 4.83%
    9-2013 -2.5%
    10-2013 3.25%
    11-2013 3.81%
    12-2013 2.28%
2013 25.67%
    1-2012 NaN%
    2-2012 4.84%
    3-2012 3.88%
    4-2012 1.97%
    5-2012 -0.58%
    6-2012 -5.97%
    7-2012 3.28%
    8-2012 0.99%
    9-2012 2.26%
    10-2012 1.85%
    11-2012 -1.38%
    12-2012 0.76%
2012 12.66%
    1-2011 NaN%
    2-2011 1.82%
    3-2011 3.17%
    4-2011 -0.04%
    5-2011 3%
    6-2011 -1.1%
    7-2011 -1.98%
    8-2011 -1.81%
    9-2011 -5.52%
    10-2011 -7.71%
    11-2011 10.25%
    12-2011 -0.54%
2011 -1.86%
