    1-2021 NaN%
    2-2021 -0.72%
    3-2021 -0.02%
    4-2021 -0.05%
    5-2021 2.16%
    6-2021 0.4%
    7-2021 0.94%
2021 3.66%
    1-2020 NaN%
    2-2020 0.98%
    3-2020 -1.77%
    4-2020 -5.63%
    5-2020 5.25%
    6-2020 2.07%
    7-2020 1.11%
    8-2020 2.76%
    9-2020 1.54%
    10-2020 -1.34%
    11-2020 -1.26%
    12-2020 4.94%
2020 9.25%
    1-2019 NaN%
    2-2019 3.44%
    3-2019 0.92%
    4-2019 1.39%
    5-2019 1.18%
    6-2019 -1.15%
    7-2019 2.77%
    8-2019 0.27%
    9-2019 0.94%
    10-2019 -0.03%
    11-2019 0.83%
    12-2019 0.96%
2019 12.91%
    1-2018 NaN%
    2-2018 1.03%
    3-2018 -2.19%
    4-2018 -0.48%
    5-2018 -0.52%
    6-2018 0.91%
    7-2018 -0.27%
    8-2018 0.99%
    9-2018 1%
    10-2018 -0.6%
    11-2018 -3.28%
    12-2018 0.86%
2018 -4.94%
    1-2017 NaN%
    2-2017 0.88%
    3-2017 1.45%
    4-2017 -0.11%
    5-2017 0.81%
    6-2017 0.8%
    7-2017 -0.03%
    8-2017 0.88%
    9-2017 0.51%
    10-2017 0.17%
    11-2017 0.68%
    12-2017 0.67%
2017 7.6%
    1-2016 NaN%
    2-2016 -1.18%
    3-2016 0.13%
    4-2016 2.86%
    5-2016 0.46%
    6-2016 0.31%
    7-2016 0.93%
    8-2016 1.71%
    9-2016 -0.11%
    10-2016 -0.21%
    11-2016 -1.39%
    12-2016 -0.74%
2016 3.09%
    1-2015 NaN%
    2-2015 0.61%
    3-2015 1.18%
    4-2015 -0.42%
    5-2015 0.12%
    6-2015 -0.09%
    7-2015 -1.63%
    8-2015 0.77%
    9-2015 -2.55%
    10-2015 -0.9%
    11-2015 2.52%
    12-2015 -0.24%
2015 -2.29%
    1-2014 NaN%
    2-2014 -0.34%
    3-2014 1.89%
    4-2014 -0.24%
    5-2014 0.47%
    6-2014 1.28%
    7-2014 0.58%
    8-2014 -0.96%
    9-2014 1.85%
    10-2014 -1.7%
    11-2014 1.23%
    12-2014 0.96%
2014 4.35%
    1-2013 NaN%
    2-2013 1.19%
    3-2013 0.51%
    4-2013 0.83%
    5-2013 1.2%
    6-2013 -0.78%
    7-2013 -2.03%
    8-2013 1.85%
    9-2013 -1.45%
    10-2013 1.85%
    11-2013 1.8%
    12-2013 0.45%
2013 6.39%
    1-2012 NaN%
    2-2012 2.35%
    3-2012 1.37%
    4-2012 0.1%
    5-2012 0.29%
    6-2012 -2.05%
    7-2012 1.26%
    8-2012 1.08%
    9-2012 0.78%
    10-2012 0.66%
    11-2012 -0.51%
    12-2012 0.34%
2012 5.45%
    1-2011 NaN%
    2-2011 0.54%
    3-2011 1.14%
    4-2011 -0.2%
    5-2011 1.88%
    6-2011 0.15%
    7-2011 -1.14%
    8-2011 0.12%
    9-2011 -1.5%
    10-2011 -2.75%
    11-2011 3.88%
    12-2011 -0.63%
2011 1.02%
